site,st,ed,dtH,Obs,DEHM_noBD,DEHM_BD
DK0012R,2011-01-01 00:00:00,2011-01-01 01:00:02,1.0005555556977777,0.658,0.3826024458932877,0.3886360915660858
DK0012R,2011-01-01 01:59:57,2011-01-01 03:00:00,1.0008333333333335,0.896,0.3462026587486267,0.3501084999132156
DK0012R,2011-01-01 03:00:00,2011-01-01 04:00:02,1.0005555556977777,0.56,0.3483170663881302,0.3507868268537521
DK0012R,2011-01-01 04:59:57,2011-01-01 06:00:00,1.0008333333333335,0.762,0.473671213388443,0.4749943044018745
DK0012R,2011-01-01 07:59:57,2011-01-01 09:00:00,1.0008333333333335,1.864,0.5741770851445198,0.5758202870893478
DK0012R,2011-01-01 09:00:00,2011-01-01 10:00:02,1.0005555556977777,1.333,0.5571250098323822,0.5577130227899552
DK0012R,2011-01-01 10:59:57,2011-01-01 12:00:00,1.0008333333333335,0.543,0.6021225821113586,0.6044090988636017
DK0012R,2011-01-01 12:00:00,2011-01-01 13:00:02,1.0005555556977777,0.466,0.7015805112075806,0.7069410967826844
DK0012R,2011-01-01 13:59:57,2011-01-01 15:00:00,1.0008333333333335,0.551,0.9112085621738434,0.9178630236911773
DK0012R,2011-01-01 15:00:00,2011-01-01 16:00:02,1.0005555556977777,0.551,1.1036524249076844,1.109621277809143
DK0012R,2011-01-01 16:59:57,2011-01-01 18:00:00,1.0008333333333335,0.669,1.2272276162052154,1.2332166881275177
DK0012R,2011-01-01 18:00:00,2011-01-01 19:00:02,1.0005555556977777,1.122,1.30844593832016,1.315809479484558
DK0012R,2011-01-01 19:59:57,2011-01-01 21:00:00,1.0008333333333335,0.974,1.3694209909057617,1.3775991606616973
DK0012R,2011-01-01 21:00:00,2011-01-01 22:00:02,1.0005555556977777,0.999,1.3196024546813965,1.3271917984771728
DK0012R,2011-01-01 22:59:57,2011-01-02 00:00:00,1.0008333333333335,2.384,1.14745813539505,1.1556786873292926
DK0012R,2011-01-02 00:00:00,2011-01-02 01:00:02,1.0005555556977777,3.096,1.0485827403259278,1.0609670319843292
DK0012R,2011-01-02 01:59:57,2011-01-02 03:00:00,1.0008333333333335,4.142,0.9433788624286652,0.9612688076019287
DK0012R,2011-01-02 03:00:00,2011-01-02 04:00:02,1.0005555556977777,2.867,0.9285335765933992,0.9423271198654176
DK0012R,2011-01-02 04:59:57,2011-01-02 06:00:00,1.0008333333333335,1.532,1.2404251932334898,1.2552950105381013
DK0012R,2011-01-02 06:00:00,2011-01-02 07:00:02,1.0005555556977777,2.049,1.5055142304611209,1.5171984208488465
DK0012R,2011-01-02 07:59:57,2011-01-02 09:00:00,1.0008333333333335,4.051,1.3728223109436035,1.3816323604488372
DK0012R,2011-01-02 09:00:00,2011-01-02 10:00:02,1.0005555556977777,2.769,1.0987500193119049,1.104559311618805
DK0012R,2011-01-02 10:59:57,2011-01-02 12:00:00,1.0008333333333335,2.514,1.2111807832431793,1.2168439118242265
DK0012R,2011-01-02 12:00:00,2011-01-02 13:00:02,1.0005555556977777,2.167,1.684013119354248,1.6864945446395874
DK0012R,2011-01-02 13:59:57,2011-01-02 15:00:00,1.0008333333333335,0.956,2.1762369810676576,2.175830338382721
DK0012R,2011-01-02 15:00:00,2011-01-02 16:00:02,1.0005555556977777,3.844,2.286823006782532,2.2960435872459413
DK0012R,2011-01-02 16:59:57,2011-01-02 18:00:00,1.0008333333333335,4.464,1.8566595914554596,1.874801284646988
DK0012R,2011-01-02 18:00:00,2011-01-02 19:00:02,1.0005555556977777,3.639,1.5400543979072572,1.5769329021835328
DK0012R,2011-01-02 19:59:57,2011-01-02 21:00:00,1.0008333333333335,3.749,1.405673836669922,1.4516015546035765
DK0012R,2011-01-02 21:00:00,2011-01-02 22:00:02,1.0005555556977777,5.797,1.3006544043159485,1.3454887398147584
DK0012R,2011-01-02 22:59:57,2011-01-03 00:00:00,1.0008333333333335,2.577,1.1550687233018873,1.1950480194425581
DK0012R,2011-01-03 00:00:00,2011-01-03 01:00:02,1.0005555556977777,1.585,1.1297316390895842,1.1658710179710388
DK0012R,2011-01-03 01:59:57,2011-01-03 03:00:00,1.0008333333333335,1.957,1.191405944595337,1.221225960416794
DK0012R,2011-01-03 03:00:00,2011-01-03 04:00:02,1.0005555556977777,2.085,1.293415853462219,1.3205159868049623
DK0012R,2011-01-03 06:00:00,2011-01-03 07:00:02,1.0005555556977777,3.857,1.869992480392456,1.8911510494422916
DK0012R,2011-01-03 07:59:57,2011-01-03 09:00:00,1.0008333333333335,6.543,2.0767712754249574,2.0978580174636843
DK0012R,2011-01-03 09:00:00,2011-01-03 10:00:02,1.0005555556977777,6.497,2.33041281206131,2.3471738147735595
DK0012R,2011-01-03 10:59:57,2011-01-03 12:00:00,1.0008333333333335,7.468,3.0708221854019166,3.0806489123153686
DK0012R,2011-01-03 12:00:00,2011-01-03 13:00:02,1.0005555556977777,6.898,3.2279217150878905,3.2361111254882813
DK0012R,2011-01-03 13:59:57,2011-01-03 15:00:00,1.0008333333333335,6.183,3.8907085707092284,3.8945945816802983
DK0012R,2011-01-03 15:00:00,2011-01-03 16:00:02,1.0005555556977777,7.781,5.029440431213379,5.030379272460937
DK0012R,2011-01-03 16:59:57,2011-01-03 18:00:00,1.0008333333333335,16.443,3.6503949036026,3.6504494808197023
DK0012R,2011-01-03 18:00:00,2011-01-03 19:00:02,1.0005555556977777,9.312,2.3950626363372804,2.3969075159454345
DK0012R,2011-01-03 19:59:57,2011-01-03 21:00:00,1.0008333333333335,6.638,1.7271289794731142,1.7261201493072513
DK0012R,2011-01-03 21:00:00,2011-01-03 22:00:02,1.0005555556977777,7.19,1.33791636302948,1.339077472114563
DK0012R,2011-01-03 22:59:57,2011-01-04 00:00:00,1.0008333333333335,5.486,1.1680104872989654,1.1664027923583988
DK0012R,2011-01-04 00:00:00,2011-01-04 01:00:02,1.0005555556977777,3.979,1.1178218581581116,1.1183475527000428
DK0012R,2011-01-04 01:59:57,2011-01-04 03:00:00,1.0008333333333335,1.841,0.9485779786205292,0.9478163719367981
DK0012R,2011-01-04 03:00:00,2011-01-04 04:00:02,1.0005555556977777,1.151,0.8121409450149537,0.8135890793609619
DK0012R,2011-01-04 04:59:57,2011-01-04 06:00:00,1.0008333333333335,0.896,1.0508395648097992,1.0557228825187683
DK0012R,2011-01-04 07:59:57,2011-01-04 09:00:00,1.0008333333333335,1.964,1.5096848630332946,1.5175330244350436
DK0012R,2011-01-04 09:00:00,2011-01-04 10:00:02,1.0005555556977777,2.886,1.6729633537673951,1.689502654209137
DK0012R,2011-01-04 10:59:57,2011-01-04 12:00:00,1.0008333333333335,2.837,2.19617039056778,2.2467933751773836
DK0012R,2011-01-04 12:00:00,2011-01-04 13:00:02,1.0005555556977777,2.094,3.0895710147857667,3.1953843618392943
DK0012R,2011-01-04 13:59:57,2011-01-04 15:00:00,1.0008333333333335,4.766,4.316934013595581,4.473425275955201
DK0012R,2011-01-04 15:00:00,2011-01-04 16:00:02,1.0005555556977777,7.122,5.558113249053955,5.725408538131713
DK0012R,2011-01-04 16:59:57,2011-01-04 18:00:00,1.0008333333333335,6.092,5.375659067230226,5.540874483604432
DK0012R,2011-01-04 18:00:00,2011-01-04 19:00:02,1.0005555556977777,5.742,6.348447343826294,6.577180177917481
DK0012R,2011-01-04 19:59:57,2011-01-04 21:00:00,1.0008333333333335,6.104,5.311362580947876,5.521671221122742
DK0012R,2011-01-04 21:00:00,2011-01-04 22:00:02,1.0005555556977777,4.896,3.90485085674286,4.042814426422119
