site,st,ed,dtH,Obs,DEHM_noBD,DEHM_BD
DK0012R,2011-01-01 00:00:00,2011-01-01 01:00:02,1.0005555556977777,72.694,69.05989012939453,69.06748359375
DK0012R,2011-01-01 01:59:57,2011-01-01 03:00:00,1.0008333333333335,70.005,71.81877645263671,71.8444499633789
DK0012R,2011-01-01 04:59:57,2011-01-01 06:00:00,1.0008333333333335,83.218,70.68198287109375,70.75133625366212
DK0012R,2011-01-01 07:59:57,2011-01-01 09:00:00,1.0008333333333335,76.842,69.74809922241212,69.84427405517579
DK0012R,2011-01-01 09:00:00,2011-01-01 10:00:02,1.0005555556977777,77.351,67.62097129394532,67.70745457031249
DK0012R,2011-01-01 10:59:57,2011-01-01 12:00:00,1.0008333333333335,79.21,64.19498477783203,64.23813333984374
DK0012R,2011-01-01 12:00:00,2011-01-01 13:00:02,1.0005555556977777,79.91,61.37120109375,61.37304710449219
DK0012R,2011-01-01 13:59:57,2011-01-01 15:00:00,1.0008333333333335,80.07,58.902425441894536,58.8914734790039
DK0012R,2011-01-01 15:00:00,2011-01-01 16:00:02,1.0005555556977777,80.25,56.85770482910157,56.84434064208984
DK0012R,2011-01-01 16:59:57,2011-01-01 18:00:00,1.0008333333333335,76.252,55.82294406188965,55.80852113342285
DK0012R,2011-01-01 18:00:00,2011-01-01 19:00:02,1.0005555556977777,73.673,55.550845568847656,55.52448562133789
DK0012R,2011-01-01 19:59:57,2011-01-01 21:00:00,1.0008333333333335,70.974,55.80289972045898,55.768015546875
DK0012R,2011-01-01 21:00:00,2011-01-01 22:00:02,1.0005555556977777,70.075,56.22602787597656,56.18947996582031
DK0012R,2011-01-01 22:59:57,2011-01-02 00:00:00,1.0008333333333335,58.011,56.88279661376953,56.84145528076172
DK0012R,2011-01-02 00:00:00,2011-01-02 01:00:02,1.0005555556977777,55.722,56.63671097167969,56.565825710449225
DK0012R,2011-01-02 01:59:57,2011-01-02 03:00:00,1.0008333333333335,52.854,56.13500713623047,56.02169853149414
DK0012R,2011-01-02 03:00:00,2011-01-02 04:00:02,1.0005555556977777,57.061,55.22259693603515,55.1133526574707
DK0012R,2011-01-02 04:59:57,2011-01-02 06:00:00,1.0008333333333335,63.088,53.42813875854492,53.34074023315429
DK0012R,2011-01-02 06:00:00,2011-01-02 07:00:02,1.0005555556977777,59.09,52.595902045898434,52.51850145263671
DK0012R,2011-01-02 07:59:57,2011-01-02 09:00:00,1.0008333333333335,53.603,53.95708870422364,53.90815584594726
DK0012R,2011-01-02 09:00:00,2011-01-02 10:00:02,1.0005555556977777,57.351,55.73908824829101,55.71752947998047
DK0012R,2011-01-02 10:59:57,2011-01-02 12:00:00,1.0008333333333335,60.07,56.13115223144531,56.120803324584955
DK0012R,2011-01-02 12:00:00,2011-01-02 13:00:02,1.0005555556977777,61.959,54.68539617553711,54.694312097167966
DK0012R,2011-01-02 13:59:57,2011-01-02 15:00:00,1.0008333333333335,68.126,53.69467595031738,53.6888606286621
DK0012R,2011-01-02 15:00:00,2011-01-02 16:00:02,1.0005555556977777,58.681,53.6573233190918,53.65505846557617
DK0012R,2011-01-02 16:59:57,2011-01-02 18:00:00,1.0008333333333335,52.284,55.68263173278809,55.634552072753905
DK0012R,2011-01-02 18:00:00,2011-01-02 19:00:02,1.0005555556977777,52.884,57.3528467944336,57.21237546020509
DK0012R,2011-01-02 19:59:57,2011-01-02 21:00:00,1.0008333333333335,50.765,58.337038114013666,58.123228573608394
DK0012R,2011-01-02 21:00:00,2011-01-02 22:00:02,1.0005555556977777,43.518,58.81748567871094,58.61091087158203
DK0012R,2011-01-02 22:59:57,2011-01-03 00:00:00,1.0008333333333335,56.912,59.32904395385742,59.133044926757805
DK0012R,2011-01-03 00:00:00,2011-01-03 01:00:02,1.0005555556977777,61.009,59.15571673095703,58.92485679931641
DK0012R,2011-01-03 03:00:00,2011-01-03 04:00:02,1.0005555556977777,58.221,57.640459921875,57.45637852294922
DK0012R,2011-01-03 06:00:00,2011-01-03 07:00:02,1.0005555556977777,47.126,57.03798949584961,56.85223660400391
DK0012R,2011-01-03 07:59:57,2011-01-03 09:00:00,1.0008333333333335,36.052,57.822902792358406,57.68075996520996
DK0012R,2011-01-03 09:00:00,2011-01-03 10:00:02,1.0005555556977777,38.671,57.68066494995117,57.60602173828125
DK0012R,2011-01-03 10:59:57,2011-01-03 12:00:00,1.0008333333333335,40.86,55.35750115173339,55.32156793212891
DK0012R,2011-01-03 12:00:00,2011-01-03 13:00:02,1.0005555556977777,45.987,54.776591433105466,54.75924823974609
DK0012R,2011-01-03 13:59:57,2011-01-03 15:00:00,1.0008333333333335,47.656,51.282044620971675,51.280487534179684
DK0012R,2011-01-03 15:00:00,2011-01-03 16:00:02,1.0005555556977777,43.558,46.1659751586914,46.19063258789063
DK0012R,2011-01-03 16:59:57,2011-01-03 18:00:00,1.0008333333333335,14.503,51.76861000488281,51.77263748840332
DK0012R,2011-01-03 18:00:00,2011-01-03 19:00:02,1.0005555556977777,26.277,60.96096398803711,60.97488275390625
DK0012R,2011-01-03 19:59:57,2011-01-03 21:00:00,1.0008333333333335,35.822,69.38462125854493,69.42310825561523
DK0012R,2011-01-03 21:00:00,2011-01-03 22:00:02,1.0005555556977777,33.423,73.21790522460937,73.25310353027344
DK0012R,2011-01-03 22:59:57,2011-01-04 00:00:00,1.0008333333333335,43.468,73.57161406860351,73.62106466308595
DK0012R,2011-01-04 00:00:00,2011-01-04 01:00:02,1.0005555556977777,52.404,73.16700807128906,73.22933032470704
DK0012R,2011-01-04 01:59:57,2011-01-04 03:00:00,1.0008333333333335,64.198,73.3960491394043,73.48113239501953
DK0012R,2011-01-04 04:59:57,2011-01-04 06:00:00,1.0008333333333335,77.271,73.46423906982423,73.47390735717774
DK0012R,2011-01-04 07:59:57,2011-01-04 09:00:00,1.0008333333333335,70.045,72.41112872314453,72.38823974121094
DK0012R,2011-01-04 09:00:00,2011-01-04 10:00:02,1.0005555556977777,65.297,71.59571165039063,71.52972064453125
DK0012R,2011-01-04 10:59:57,2011-01-04 12:00:00,1.0008333333333335,66.627,66.45378834228515,66.21517206298827
DK0012R,2011-01-04 12:00:00,2011-01-04 13:00:02,1.0005555556977777,64.718,59.39845163085938,58.949467690429685
DK0012R,2011-01-04 13:59:57,2011-01-04 15:00:00,1.0008333333333335,52.054,52.12697071838379,51.44629109985351
DK0012R,2011-01-04 15:00:00,2011-01-04 16:00:02,1.0005555556977777,41.459,41.56138059082031,40.84853345947266
DK0012R,2011-01-04 16:59:57,2011-01-04 18:00:00,1.0008333333333335,44.168,37.529524429321285,36.87156509216309
DK0012R,2011-01-04 18:00:00,2011-01-04 19:00:02,1.0005555556977777,46.027,32.029281128540035,31.289215034179687
DK0012R,2011-01-04 19:59:57,2011-01-04 21:00:00,1.0008333333333335,40.32,37.29260097290039,36.55321743713379
DK0012R,2011-01-04 21:00:00,2011-01-04 22:00:02,1.0005555556977777,47.116,44.92596010253906,44.35674501708984
DK0012R,2011-01-04 22:59:57,2011-01-05 00:00:00,1.0008333333333335,48.756,46.05795638305664,45.499813483886726
DK0012R,2011-01-05 00:00:00,2011-01-05 01:00:02,1.0005555556977777,47.446,42.46539842285157,41.66201532348633
DK0012R,2011-01-05 01:59:57,2011-01-05 03:00:00,1.0008333333333335,35.202,34.68505068786621,33.26450857910156
DK0012R,2011-01-05 03:00:00,2011-01-05 04:00:02,1.0005555556977777,31.524,30.31051326965332,28.55225590576172
DK0012R,2011-01-05 04:59:57,2011-01-05 06:00:00,1.0008333333333335,35.952,30.224384846191406,28.664950789489748
DK0012R,2011-01-05 06:00:00,2011-01-05 07:00:02,1.0005555556977777,33.323,30.96925793701172,29.6295233972168
DK0012R,2011-01-05 07:59:57,2011-01-05 09:00:00,1.0008333333333335,35.612,35.812232215576174,34.624694668579096
DK0012R,2011-01-05 09:00:00,2011-01-05 10:00:02,1.0005555556977777,36.682,40.47501878173828,39.42508078125
DK0012R,2011-01-05 10:59:57,2011-01-05 12:00:00,1.0008333333333335,44.378,41.611397398681646,40.56199070800781
DK0012R,2011-01-05 12:00:00,2011-01-05 13:00:02,1.0005555556977777,49.975,40.95378709716797,39.92718019042969
DK0012R,2011-01-05 13:59:57,2011-01-05 15:00:00,1.0008333333333335,48.576,34.800684257812506,33.72069816650391
DK0012R,2011-01-05 15:00:00,2011-01-05 16:00:02,1.0005555556977777,43.638,30.174798515625,28.996772189941407
DK0012R,2011-01-05 16:59:57,2011-01-05 18:00:00,1.0008333333333335,42.579,33.779336154785156,32.067862171325686
DK0012R,2011-01-05 18:00:00,2011-01-05 19:00:02,1.0005555556977777,45.417,43.03625785400391,41.18902936523438
DK0012R,2011-01-05 19:59:57,2011-01-05 21:00:00,1.0008333333333335,54.563,47.87295530822754,46.137656733398444
DK0012R,2011-01-05 21:00:00,2011-01-05 22:00:02,1.0005555556977777,50.905,49.022998670654296,47.33984408203125
DK0012R,2011-01-05 22:59:57,2011-01-06 00:00:00,1.0008333333333335,49.145,48.83559949401855,46.999361749877934
DK0012R,2011-01-06 00:00:00,2011-01-06 01:00:02,1.0005555556977777,48.476,53.270339743652336,51.493282932128906
DK0012R,2011-01-06 03:00:00,2011-01-06 04:00:02,1.0005555556977777,45.997,49.93520332763672,47.99038059448242
DK0012R,2011-01-06 06:00:00,2011-01-06 07:00:02,1.0005555556977777,36.322,48.43665369140625,47.94593284423828
DK0012R,2011-01-06 07:59:57,2011-01-06 09:00:00,1.0008333333333335,31.294,45.64095186401367,45.372741240234376
DK0012R,2011-01-06 09:00:00,2011-01-06 10:00:02,1.0005555556977777,35.232,42.92917371826172,42.66481412109374
DK0012R,2011-01-06 10:59:57,2011-01-06 12:00:00,1.0008333333333335,38.631,39.42470459838867,39.14881131225586
DK0012R,2011-01-06 12:00:00,2011-01-06 13:00:02,1.0005555556977777,37.021,39.06904891113281,38.78563972412109
DK0012R,2011-01-06 13:59:57,2011-01-06 15:00:00,1.0008333333333335,38.301,37.28049137512207,36.98868788085937
DK0012R,2011-01-06 15:00:00,2011-01-06 16:00:02,1.0005555556977777,37.441,37.62696160766602,37.3094516381836
DK0012R,2011-01-06 16:59:57,2011-01-06 18:00:00,1.0008333333333335,36.372,37.107561665039064,36.7067330090332
DK0012R,2011-01-06 18:00:00,2011-01-06 19:00:02,1.0005555556977777,27.476,32.87223905273437,32.35575549682617
DK0012R,2011-01-06 19:59:57,2011-01-06 21:00:00,1.0008333333333335,18.061,29.879112969360353,29.269404901428224
DK0012R,2011-01-06 21:00:00,2011-01-06 22:00:02,1.0005555556977777,14.303,27.3994745526123,26.746087582397458
DK0012R,2011-01-06 22:59:57,2011-01-07 00:00:00,1.0008333333333335,6.897,29.853218402709963,29.117655837707524
DK0012R,2011-01-07 00:00:00,2011-01-07 01:00:02,1.0005555556977777,5.087,29.94089809570313,29.19174350097656
DK0012R,2011-01-07 01:59:57,2011-01-07 03:00:00,1.0008333333333335,3.088,33.34445907165528,32.74442607788086
DK0012R,2011-01-07 04:59:57,2011-01-07 06:00:00,1.0008333333333335,19.33,48.20605359741211,48.01665134399414
DK0012R,2011-01-07 07:59:57,2011-01-07 09:00:00,1.0008333333333335,39.01,67.98641549194336,68.09284421630859
DK0012R,2011-01-07 09:00:00,2011-01-07 10:00:02,1.0005555556977777,45.707,72.4382759399414,72.55901124755859
DK0012R,2011-01-07 10:59:57,2011-01-07 12:00:00,1.0008333333333335,56.932,72.74052917358398,72.85534250976562
DK0012R,2011-01-07 12:00:00,2011-01-07 13:00:02,1.0005555556977777,60.989,70.753031015625,70.87268819091797
DK0012R,2011-01-07 13:59:57,2011-01-07 15:00:00,1.0008333333333335,52.604,66.56299383911133,66.70158425903321
DK0012R,2011-01-07 15:00:00,2011-01-07 16:00:02,1.0005555556977777,49.155,62.78399267211914,62.89329124511719
DK0012R,2011-01-07 16:59:57,2011-01-07 18:00:00,1.0008333333333335,14.753,58.653884915771485,58.76158180297851
DK0012R,2011-01-07 18:00:00,2011-01-07 19:00:02,1.0005555556977777,25.357,63.02034021972656,63.1302864477539
DK0012R,2011-01-07 19:59:57,2011-01-07 21:00:00,1.0008333333333335,18.191,54.191198545532224,54.159661235961906
DK0012R,2011-01-07 21:00:00,2011-01-07 22:00:02,1.0005555556977777,29.545,52.285939002685545,51.92596302978516
DK0012R,2011-01-07 22:59:57,2011-01-08 00:00:00,1.0008333333333335,40.98,51.47201308776855,51.238397713623044
DK0012R,2011-01-08 00:00:00,2011-01-08 01:00:02,1.0005555556977777,45.417,37.690784714355466,37.110202701416014
DK0012R,2011-01-08 01:59:57,2011-01-08 03:00:00,1.0008333333333335,50.545,28.53653475860596,27.84666386810303
DK0012R,2011-01-08 03:00:00,2011-01-08 04:00:02,1.0005555556977777,45.707,21.769209656982422,20.91481693725586
DK0012R,2011-01-08 04:59:57,2011-01-08 06:00:00,1.0008333333333335,42.219,18.09185348693848,16.99628780181885
DK0012R,2011-01-08 06:00:00,2011-01-08 07:00:02,1.0005555556977777,33.793,17.532789521484375,16.477821529541014
DK0012R,2011-01-08 07:59:57,2011-01-08 09:00:00,1.0008333333333335,20.05,25.229996965942384,24.57710543243408
DK0012R,2011-01-08 09:00:00,2011-01-08 10:00:02,1.0005555556977777,16.942,31.978459599609376,31.654905496215825
DK0012R,2011-01-08 10:59:57,2011-01-08 12:00:00,1.0008333333333335,13.903,36.028079736328124,35.7710615222168
DK0012R,2011-01-08 12:00:00,2011-01-08 13:00:02,1.0005555556977777,17.701,36.45955760009765,36.18248534912109
DK0012R,2011-01-08 13:59:57,2011-01-08 15:00:00,1.0008333333333335,20.33,39.304942712402344,38.8656445111084
DK0012R,2011-01-08 15:00:00,2011-01-08 16:00:02,1.0005555556977777,19.61,42.56684369384766,42.05450202758789
DK0012R,2011-01-08 16:59:57,2011-01-08 18:00:00,1.0008333333333335,22.359,45.85591710021973,45.29375641296387
DK0012R,2011-01-08 18:00:00,2011-01-08 19:00:02,1.0005555556977777,26.607,46.67984870361328,46.02497639282228
DK0012R,2011-01-08 19:59:57,2011-01-08 21:00:00,1.0008333333333335,47.576,46.204423374023435,45.58521474975585
DK0012R,2011-01-08 21:00:00,2011-01-08 22:00:02,1.0005555556977777,53.683,44.51232959472656,44.01034265258789
DK0012R,2011-01-08 22:59:57,2011-01-09 00:00:00,1.0008333333333335,49.115,40.91303524658203,40.489480491943354
DK0012R,2011-01-09 00:00:00,2011-01-09 01:00:02,1.0005555556977777,35.582,36.436145064697264,36.01573938720703
DK0012R,2011-01-09 03:00:00,2011-01-09 04:00:02,1.0005555556977777,33.653,37.11968871459961,36.74404879760741
DK0012R,2011-01-09 06:00:00,2011-01-09 07:00:02,1.0005555556977777,30.015,40.58909138671875,40.26617912109374
DK0012R,2011-01-09 07:59:57,2011-01-09 09:00:00,1.0008333333333335,28.426,44.00752128112793,43.71232244567871
DK0012R,2011-01-09 09:00:00,2011-01-09 10:00:02,1.0005555556977777,29.295,43.76696009765625,43.456093439941405
