site,st,ed,dtH,Obs,DEHM_noBD,DEHM_BD
SE0014R,2012-01-01 06:00:00,2012-01-02 06:00:00,24.0,0.05,0.04008567060679189,0.04128101499881589
SE0014R,2012-01-02 06:00:00,2012-01-03 06:00:00,24.0,0.05,0.031178593863882043,0.0326817323177866
SE0014R,2012-01-03 06:00:00,2012-01-04 06:00:00,24.0,0.04,0.0339216275163646,0.034676172966100205
SE0014R,2012-01-04 06:00:00,2012-01-05 06:00:00,24.0,0.03,0.011374899515546787,0.011279301107823764
SE0014R,2012-01-05 06:00:00,2012-01-06 06:00:00,24.0,0.05,0.01373405450948506,0.014104963903520172
SE0014R,2012-01-06 06:00:00,2012-01-07 06:00:00,24.0,0.03,0.02093556244960047,0.022345984365343977
SE0014R,2012-01-07 06:00:00,2012-01-08 06:00:00,24.0,0.02,0.031201603806987343,0.03209415218835689
SE0014R,2012-01-08 06:00:00,2012-01-09 06:00:00,24.0,0.03,0.007566723105735071,0.008696885582667228
SE0014R,2012-01-09 06:00:00,2012-01-10 06:00:00,24.0,0.06,0.027652540777483886,0.029963158702356666
SE0014R,2012-01-10 06:00:00,2012-01-11 06:00:00,24.0,0.06,0.028583045917935604,0.02943817823020735
SE0014R,2012-01-11 06:00:00,2012-01-12 06:00:00,24.0,0.04,0.01942553363308303,0.01942360700934186
SE0014R,2012-01-14 06:00:00,2012-01-15 06:00:00,24.0,0.03,0.010532035653479313,0.011640716427583167
SE0014R,2012-01-15 06:00:00,2012-01-16 06:00:00,24.0,0.08,0.07546069618224159,0.08361945248672731
SE0014R,2012-01-16 06:00:00,2012-01-17 06:00:00,24.0,0.14,0.06938365131847553,0.07501569755505764
SE0014R,2012-01-17 06:00:00,2012-01-18 06:00:00,24.0,0.32,0.09673126384058028,0.10071109838925296
SE0014R,2012-01-18 06:00:00,2012-01-19 06:00:00,24.0,0.19,0.08685437242608512,0.0886194826911389
SE0014R,2012-01-19 06:00:00,2012-01-20 06:00:00,24.0,0.03,0.03566228715667494,0.03637774213584132
SE0014R,2012-01-20 06:00:00,2012-01-21 06:00:00,24.0,0.09,0.02235917457748197,0.026533619940318096
SE0014R,2012-01-21 06:00:00,2012-01-22 06:00:00,24.0,0.06,0.039182825205232884,0.03982778728181489
SE0014R,2012-01-22 06:00:00,2012-01-23 06:00:00,24.0,0.07,0.020543235380602917,0.022326753383818926
SE0014R,2012-01-23 06:00:00,2012-01-24 06:00:00,24.0,0.1,0.01125934544753276,0.013676287232981907
SE0014R,2012-01-24 06:00:00,2012-01-25 06:00:00,24.0,0.1,0.011918451164048086,0.01438494171522551
SE0014R,2012-01-25 06:00:00,2012-01-26 06:00:00,24.0,0.08,0.02904158296667032,0.03164568925607943
SE0014R,2012-01-26 06:00:00,2012-01-27 06:00:00,24.0,0.17,0.05939516979889937,0.06091707984920584
SE0014R,2012-01-27 06:00:00,2012-01-28 06:00:00,24.0,0.26,0.12308850246936076,0.1289049288003146
SE0014R,2012-01-28 06:00:00,2012-01-29 06:00:00,24.0,0.16,0.05123061539690935,0.053501370098330024
SE0014R,2012-01-29 06:00:00,2012-01-30 06:00:00,24.0,0.12,0.08500082217112177,0.08873511260993772
SE0014R,2012-01-30 06:00:00,2012-01-31 06:00:00,24.0,0.11,0.0359830420373007,0.03756125118196003
SE0014R,2012-01-31 06:00:00,2012-02-01 06:00:00,24.0,0.12,0.030270538254426705,0.032900206695552846
SE0014R,2012-02-01 06:00:00,2012-02-02 06:00:00,24.0,0.1,0.025592333080274907,0.029109634053911943
SE0014R,2012-02-02 06:00:00,2012-02-03 06:00:00,24.0,0.11,0.016628524437881927,0.019593179332166834
SE0014R,2012-02-03 06:00:00,2012-02-04 06:00:00,24.0,0.1,0.02194939732894759,0.026229485368127872
SE0014R,2012-02-04 06:00:00,2012-02-05 06:00:00,24.0,0.13,0.03886604231907047,0.045786358581781324
SE0014R,2012-02-05 06:00:00,2012-02-06 06:00:00,24.0,0.48,0.04827150469791138,0.062402147083766686
SE0014R,2012-02-06 06:00:00,2012-02-07 06:00:00,24.0,0.28,0.03149554805867367,0.038662512248866195
SE0014R,2012-02-07 06:00:00,2012-02-08 06:00:00,24.0,0.16,0.0803815796137228,0.0934302882465347
SE0014R,2012-02-08 06:00:00,2012-02-09 06:00:00,24.0,0.15,0.01258400087189387,0.014000401778677408
SE0014R,2012-02-09 06:00:00,2012-02-10 06:00:00,24.0,0.07,0.021659476816411987,0.024116705632368025
