site,st,ed,dtH,Obs,DEHM_noBD,DEHM_BD
DK0012R,2013-01-02 07:00:00,2013-01-03 07:00:00,24.0,0.073,0.15093146800637233,0.15119980893611898
DK0012R,2013-01-03 07:00:00,2013-01-04 07:00:00,24.0,0.041,0.10192154491186134,0.10279604659914961
DK0012R,2013-01-04 07:00:00,2013-01-05 07:00:00,24.0,0.249,0.19302128267168986,0.19367517703294748
DK0012R,2013-01-05 07:00:00,2013-01-06 07:00:00,24.0,0.025,0.26047958398461335,0.2607964201819896
DK0012R,2013-01-06 07:00:00,2013-01-07 07:00:00,24.0,0.104,0.36836442754268645,0.36640102293014526
DK0012R,2013-01-07 07:00:00,2013-01-08 07:00:00,24.0,0.068,0.4593030683350563,0.44394946736097324
DK0012R,2013-01-08 07:00:00,2013-01-09 07:00:00,24.0,0.158,0.4246098737716674,0.4202785225391387
DK0012R,2013-01-09 07:00:00,2013-01-10 07:00:00,24.0,0.087,0.2331562730157375,0.22870513435244555
DK0012R,2013-01-10 07:00:00,2013-01-11 07:00:00,24.0,0.026,0.28558968414485447,0.284516905350089
DK0012R,2013-01-11 07:00:00,2013-01-12 07:00:00,24.0,0.05,0.9712507388973236,0.968599815196991
DK0012R,2013-01-12 07:00:00,2013-01-13 07:00:00,24.0,0.071,1.3618860762023928,1.3598103004932405
DK0012R,2013-01-13 07:00:00,2013-01-14 07:00:00,24.0,0.486,1.810655319986343,1.7980305613517762
DK0012R,2013-01-14 07:00:00,2013-01-15 07:00:00,24.0,1.932,3.7779255797195432,3.741651383800507
DK0012R,2013-01-15 07:00:00,2013-01-16 07:00:00,24.0,0.887,4.577924824295044,4.553806622848511
DK0012R,2013-01-16 07:00:00,2013-01-17 07:00:00,24.0,0.185,3.0489174769163134,3.03538023144722
DK0012R,2013-01-17 07:00:00,2013-01-18 07:00:00,24.0,0.21,0.798194951133728,0.7917728114175797
DK0012R,2013-01-18 07:00:00,2013-01-19 07:00:00,24.0,0.166,0.7913221891641617,0.7912732289028167
DK0012R,2013-01-19 07:00:00,2013-01-20 07:00:00,24.0,0.202,0.8290139299964906,0.8275640282535554
DK0012R,2013-01-20 07:00:00,2013-01-21 07:00:00,24.0,0.402,0.3426975302314758,0.34315368275403973
DK0012R,2013-01-21 07:00:00,2013-01-22 07:00:00,24.0,0.1,0.26505660970211026,0.26520425635814665
DK0012R,2013-01-22 07:00:00,2013-01-23 07:00:00,24.0,0.142,0.5149273460817337,0.5156342812871934
DK0012R,2013-01-23 07:00:00,2013-01-24 07:00:00,24.0,0.124,0.5192095771455766,0.5216618521642684
DK0012R,2013-01-24 07:00:00,2013-01-25 07:00:00,24.0,0.13,0.5713436558294296,0.5713989181232452
DK0012R,2013-01-25 07:00:00,2013-01-26 07:00:00,24.0,0.455,1.2291727880144119,1.2305984932518006
DK0012R,2013-01-26 07:00:00,2013-01-27 07:00:00,24.0,2.435,3.008884979603291,3.008461566846371
