site,st,ed,dtH,Obs,DEHM_noBD,DEHM_BD
DK0012R,2013-01-02 07:00:00,2013-01-03 07:00:00,24.0,0.424,0.09087550158506942,0.09086358262139559
DK0012R,2013-01-03 07:00:00,2013-01-04 07:00:00,24.0,0.124,0.07825164528223712,0.07706008900970122
DK0012R,2013-01-04 07:00:00,2013-01-05 07:00:00,24.0,0.278,0.09220676816335512,0.0921373338651827
DK0012R,2013-01-05 07:00:00,2013-01-06 07:00:00,24.0,0.232,0.17654445543169484,0.17715536998731077
DK0012R,2013-01-06 07:00:00,2013-01-07 07:00:00,24.0,0.353,0.24107863991606662,0.24075291334065288
DK0012R,2013-01-07 07:00:00,2013-01-08 07:00:00,24.0,0.372,0.3522684262228852,0.3496504474991588
DK0012R,2013-01-08 07:00:00,2013-01-09 07:00:00,24.0,0.727,0.6005581698032717,0.5958749988283262
DK0012R,2013-01-09 07:00:00,2013-01-10 07:00:00,24.0,0.234,0.21373185561090238,0.21195579592434757
DK0012R,2013-01-10 07:00:00,2013-01-11 07:00:00,24.0,0.101,0.06409916433899092,0.06488158393974128
DK0012R,2013-01-11 07:00:00,2013-01-12 07:00:00,24.0,0.204,0.30116504293114604,0.3020677680403356
DK0012R,2013-01-12 07:00:00,2013-01-13 07:00:00,24.0,0.372,0.6683369879369606,0.6696357764020059
DK0012R,2013-01-13 07:00:00,2013-01-14 07:00:00,24.0,1.036,0.7130422802132604,0.7135109958001739
DK0012R,2013-01-14 07:00:00,2013-01-15 07:00:00,24.0,1.935,0.9271004580833551,0.9227178121367317
DK0012R,2013-01-16 07:00:00,2013-01-17 07:00:00,24.0,0.956,0.7909718423061202,0.7845765096873559
DK0012R,2013-01-17 07:00:00,2013-01-18 07:00:00,24.0,0.757,0.5660662212678885,0.5649923205803425
DK0012R,2013-01-18 07:00:00,2013-01-19 07:00:00,24.0,0.545,0.6527979834753929,0.6525706109118703
DK0012R,2013-01-19 07:00:00,2013-01-20 07:00:00,24.0,0.675,0.6407187639936006,0.6431336366851805
DK0012R,2013-01-20 07:00:00,2013-01-21 07:00:00,24.0,0.44,0.34200599872623955,0.34492701026261335
DK0012R,2013-01-21 07:00:00,2013-01-22 07:00:00,24.0,0.27,0.25446947768112943,0.2575671189756023
DK0012R,2013-01-22 07:00:00,2013-01-23 07:00:00,24.0,0.432,0.2319393264545442,0.235136800911017
DK0012R,2013-01-23 07:00:00,2013-01-24 07:00:00,24.0,0.26,0.2445546588833524,0.2487047673841766
DK0012R,2013-01-24 07:00:00,2013-01-25 07:00:00,24.0,0.429,0.253318747540258,0.2556258654736911
DK0012R,2013-01-25 07:00:00,2013-01-26 07:00:00,24.0,0.483,0.31840192155319497,0.32092041496303886
DK0012R,2013-01-26 07:00:00,2013-01-27 07:00:00,24.0,2.541,0.5363616252806145,0.5399778431262446
DK0012R,2013-01-27 07:00:00,2013-01-28 07:00:00,24.0,0.858,0.2769200038491076,0.27801527700929296
DK0012R,2013-01-28 07:00:00,2013-01-29 07:00:00,24.0,0.675,0.23428543570205237,0.2352107336397281
DK0012R,2013-01-29 07:00:00,2013-01-30 07:00:00,24.0,0.321,0.13222059388124016,0.13310247053417648
DK0012R,2013-01-30 07:00:00,2013-01-31 07:00:00,24.0,0.146,0.08984996682593405,0.0907633380546553
DK0012R,2013-01-31 07:00:00,2013-02-01 07:00:00,24.0,0.211,0.1137979345912985,0.11477429657628262
DK0012R,2013-02-01 07:00:00,2013-02-02 07:00:00,24.0,0.313,0.15736664422027516,0.15785316609083636
DK0012R,2013-02-02 07:00:00,2013-02-03 07:00:00,24.0,0.263,0.1964855083151457,0.19807889664629927
DK0012R,2013-02-03 07:00:00,2013-02-04 07:00:00,24.0,0.204,0.10804217772974849,0.10896618201297226
DK0012R,2013-02-04 07:00:00,2013-02-05 07:00:00,24.0,0.095,0.08347568552260516,0.08388686064097957
