site,st,ed,dtH,Obs,DEHM_noBD,DEHM_BD
DK0012R,2016-01-01 07:00:00,2016-01-02 07:00:00,24.0,1.788,3.5301721127918113,2.9150101318205723
DK0012R,2016-01-02 07:00:00,2016-01-03 07:00:00,24.0,0.882,1.3956845946636738,1.2726415015987083
DK0012R,2016-01-03 07:00:00,2016-01-04 07:00:00,24.0,0.525,1.8258305156351853,1.6495292076543688
DK0012R,2016-01-05 07:00:00,2016-01-06 07:00:00,24.0,0.368,0.6187713915460078,0.5088386861239593
DK0012R,2016-01-06 07:00:00,2016-01-07 07:00:00,24.0,0.468,0.5701032807132181,0.5302070920981
DK0012R,2016-01-07 07:00:00,2016-01-08 07:00:00,24.0,1.161,1.8024471318380346,1.4574873170468443
DK0012R,2016-01-11 07:00:00,2016-01-12 07:00:00,24.0,1.067,2.060234975493683,1.7436671550809857
DK0012R,2016-01-12 07:00:00,2016-01-13 07:00:00,24.0,0.94,0.7823877544660881,0.7182389308502547
DK0012R,2016-01-13 07:00:00,2016-01-14 07:00:00,24.0,0.428,0.5763161815631608,0.5550693869777211
DK0012R,2016-01-14 07:00:00,2016-01-15 07:00:00,24.0,0.799,0.5831524294653329,0.5504569753790601
DK0012R,2016-01-16 07:00:00,2016-01-17 07:00:00,24.0,1.719,0.8647421888399363,0.8188036177946927
DK0012R,2016-01-17 07:00:00,2016-01-18 07:00:00,24.0,0.628,0.4887902900519749,0.46772485425036797
DK0012R,2016-01-18 07:00:00,2016-01-19 07:00:00,24.0,1.109,1.49823588498477,1.4249512111239335
DK0012R,2016-01-19 07:00:00,2016-01-20 07:00:00,24.0,1.162,0.8264810502233114,0.7593657109512094
DK0012R,2016-01-20 07:00:00,2016-01-21 07:00:00,24.0,0.673,0.440889028847542,0.41858780307300075
DK0012R,2016-01-21 07:00:00,2016-01-22 07:00:00,24.0,2.116,1.4233648217522308,1.3953733233267218
DK0012R,2016-01-22 07:00:00,2016-01-23 07:00:00,24.0,1.782,3.2360088354709586,3.1323259838725015
DK0012R,2016-01-23 07:00:00,2016-01-24 07:00:00,24.0,2.005,1.7013033743662709,1.5434289173965638
DK0012R,2016-01-24 07:00:00,2016-01-25 07:00:00,24.0,1.713,1.198393635457503,1.178280017622012
DK0012R,2016-01-25 07:00:00,2016-01-26 07:00:00,24.0,1.171,1.5311139414296921,1.4045800216255568
DK0012R,2016-01-26 07:00:00,2016-01-27 07:00:00,24.0,0.718,0.572273437835425,0.5332451467217493
DK0012R,2016-01-27 07:00:00,2016-01-28 07:00:00,24.0,0.309,0.19228582126578941,0.17217380687816541
DK0012R,2016-01-28 07:00:00,2016-01-29 07:00:00,24.0,0.398,0.24988136205902411,0.21670417052312244
DK0012R,2016-01-29 07:00:00,2016-01-30 07:00:00,24.0,0.343,0.18667646046141573,0.16286287194332927
DK0012R,2016-01-31 07:00:00,2016-02-01 07:00:00,24.0,0.118,0.09988150816065922,0.10066714076381182
DK0012R,2016-02-01 07:00:00,2016-02-02 07:00:00,24.0,0.251,0.14592876966980514,0.13966923166754694
DK0012R,2016-02-02 07:00:00,2016-02-03 07:00:00,24.0,0.138,0.04742868095194547,0.048088039379444426
DK0012R,2016-02-03 07:00:00,2016-02-04 07:00:00,24.0,0.11,0.0891594403899033,0.08908503332555973
DK0012R,2016-02-04 07:00:00,2016-02-05 07:00:00,24.0,0.147,0.17644814994967883,0.1687762657932551
DK0012R,2016-02-05 07:00:00,2016-02-06 07:00:00,24.0,1.132,0.8987976082502908,0.816846564282137
DK0012R,2016-02-06 07:00:00,2016-02-07 07:00:00,24.0,1.369,2.587491720527993,2.3008051249562342
DK0012R,2016-02-07 07:00:00,2016-02-08 07:00:00,24.0,0.478,1.3345683240590887,1.1189771233608592
DK0012R,2016-02-08 07:00:00,2016-02-09 07:00:00,24.0,0.246,0.25354338033909257,0.16989001994364106
DK0012R,2016-02-09 07:00:00,2016-02-10 07:00:00,24.0,0.357,0.4242740620841425,0.33703567122809525
DK0012R,2016-02-10 07:00:00,2016-02-11 07:00:00,24.0,1.568,0.7817288131038769,0.6947565173222712
DK0012R,2016-02-11 07:00:00,2016-02-12 07:00:00,24.0,0.682,0.13481798140425083,0.11614835244045489
DK0012R,2016-02-12 07:00:00,2016-02-13 07:00:00,24.0,0.293,0.24677324242888546,0.23996219265886387
DK0012R,2016-02-13 07:00:00,2016-02-14 07:00:00,24.0,1.213,1.9487274269264805,1.7676319256436883
DK0012R,2016-02-14 07:00:00,2016-02-15 07:00:00,24.0,1.134,1.2976542914719984,1.148228840483596
DK0012R,2016-02-15 07:00:00,2016-02-16 07:00:00,24.0,0.281,0.5230493302959325,0.4882377597029257
DK0012R,2016-02-16 07:00:00,2016-02-17 07:00:00,24.0,0.744,0.9514415027384366,0.888780325028035
DK0012R,2016-02-17 07:00:00,2016-02-18 07:00:00,24.0,1.06,1.2388813788899995,1.1323952891020534
DK0012R,2016-02-18 07:00:00,2016-02-19 07:00:00,24.0,4.606,4.894608491708296,4.506672310640309
DK0012R,2016-02-19 07:00:00,2016-02-20 07:00:00,24.0,5.1,5.186462873365141,4.753334762181958
DK0012R,2016-02-20 07:00:00,2016-02-21 07:00:00,24.0,0.671,0.1513496844632112,0.1404362315153833
DK0012R,2016-02-21 07:00:00,2016-02-22 07:00:00,24.0,0.181,0.0429538901008136,0.043974185390533806
DK0012R,2016-02-22 07:00:00,2016-02-23 07:00:00,24.0,0.133,0.038041139868919834,0.03842645495040306
DK0012R,2016-02-23 07:00:00,2016-02-24 07:00:00,24.0,0.118,0.05818573625273606,0.05499607169026354
DK0012R,2016-02-24 07:00:00,2016-02-25 07:00:00,24.0,0.08,0.07120146435073363,0.06721432065776312
DK0012R,2016-02-25 07:00:00,2016-02-26 07:00:00,24.0,0.285,0.2579712751985493,0.22776950388429237
DK0012R,2016-02-26 07:00:00,2016-02-27 07:00:00,24.0,0.589,0.3727490072879256,0.33596215533990814
DK0012R,2016-02-27 07:00:00,2016-02-28 07:00:00,24.0,0.737,0.81180299439206,0.7571278115818968
DK0012R,2016-02-28 07:00:00,2016-02-29 07:00:00,24.0,0.898,1.278013650971937,1.1742130298959637
DK0012R,2016-02-29 07:00:00,2016-03-01 07:00:00,24.0,1.326,0.8915003490275918,0.8292641778409546
DK0012R,2016-03-01 07:00:00,2016-03-02 07:00:00,24.0,1.228,1.4762066305091093,1.3653708546559231
DK0012R,2016-03-02 07:00:00,2016-03-03 07:00:00,24.0,0.687,0.8592782899606313,0.8109583972559227
DK0012R,2016-03-03 07:00:00,2016-03-04 07:00:00,24.0,1.286,2.013716596903199,1.861164035261855
DK0012R,2016-03-04 07:00:00,2016-03-05 07:00:00,24.0,2.493,3.822517891324137,3.6042700272442603
DK0012R,2016-03-05 07:00:00,2016-03-06 07:00:00,24.0,2.792,3.7574428574400707,3.38707834050047
DK0012R,2016-03-06 07:00:00,2016-03-07 07:00:00,24.0,1.103,1.3051739369204454,1.1385931882054499
DK0012R,2016-03-07 07:00:00,2016-03-08 07:00:00,24.0,0.806,1.1968569768080464,1.1247490741472015
DK0012R,2016-03-08 07:00:00,2016-03-09 07:00:00,24.0,0.823,1.2786754346984228,1.2300592759712028
DK0012R,2016-03-09 07:00:00,2016-03-10 07:00:00,24.0,2.848,4.269133118294246,4.092353297016044
DK0012R,2016-03-11 07:00:00,2016-03-12 07:00:00,24.0,1.01,2.9266315924726154,2.575817268771827
DK0012R,2016-03-13 07:00:00,2016-03-14 07:00:00,24.0,1.76,3.1465074858271116,2.78409182019808
DK0012R,2016-03-14 07:00:00,2016-03-15 07:00:00,24.0,1.469,1.110607834323772,0.9784589412589804
DK0012R,2016-03-15 07:00:00,2016-03-16 07:00:00,24.0,0.611,0.4602111049407689,0.42510420062753407
DK0012R,2016-03-16 07:00:00,2016-03-17 07:00:00,24.0,1.167,1.2563907184477598,1.1438989380738975
DK0012R,2016-03-17 07:00:00,2016-03-18 07:00:00,24.0,1.291,0.9910188702701749,0.8850224886458671
DK0012R,2016-03-18 07:00:00,2016-03-19 07:00:00,24.0,0.939,0.7009778656616309,0.601192063839282
DK0012R,2016-03-19 07:00:00,2016-03-20 07:00:00,24.0,1.187,1.745883908653748,1.626004071990842
DK0012R,2016-03-20 07:00:00,2016-03-21 07:00:00,24.0,0.783,0.7497397476404305,0.6861672832148186
DK0012R,2016-03-21 07:00:00,2016-03-22 07:00:00,24.0,0.446,0.228646690235956,0.21079279181461918
DK0012R,2016-03-22 07:00:00,2016-03-23 07:00:00,24.0,0.6,0.568511292938256,0.5309813868668299
DK0012R,2016-03-24 07:00:00,2016-03-25 07:00:00,24.0,2.209,2.493832810945633,2.2989109039995164
DK0012R,2016-03-25 07:00:00,2016-03-26 07:00:00,24.0,1.767,1.4762962900138206,1.346976380947643
DK0012R,2016-03-26 07:00:00,2016-03-27 07:00:00,24.0,1.24,1.4998517397768045,1.3398059608078778
DK0012R,2016-03-27 07:00:00,2016-03-28 07:00:00,24.0,1.198,1.8223492464121296,1.6503782054725402
DK0012R,2016-03-28 07:00:00,2016-03-29 07:00:00,24.0,1.082,1.4521434267646198,1.30502376385464
DK0012R,2016-03-29 07:00:00,2016-03-30 07:00:00,24.0,0.917,1.514277091024842,1.38240986974888
DK0012R,2016-03-30 07:00:00,2016-03-31 07:00:00,24.0,0.854,1.6930332131178556,1.5372379940540422
DK0012R,2016-03-31 07:00:00,2016-04-01 07:00:00,24.0,0.491,0.35155848648330146,0.3242086768623636
DK0012R,2016-04-01 07:00:00,2016-04-02 07:00:00,24.0,0.554,0.9805490179809683,0.9583738660963634
DK0012R,2016-04-02 07:00:00,2016-04-03 07:00:00,24.0,1.675,1.6228518606321032,1.5600586914536765
DK0012R,2016-04-03 07:00:00,2016-04-04 07:00:00,24.0,2.686,3.303810967714735,3.058125548126537
DK0012R,2016-04-04 07:00:00,2016-04-05 07:00:00,24.0,3.238,3.7855871167302624,3.4995896328423357
DK0012R,2016-04-05 07:00:00,2016-04-06 07:00:00,24.0,1.692,1.5580351436904032,1.415675883525629
DK0012R,2016-04-06 07:00:00,2016-04-07 07:00:00,24.0,1.196,1.893737023543217,1.719700162453962
DK0012R,2016-04-07 07:00:00,2016-04-08 07:00:00,24.0,0.586,0.41765756417536504,0.3514920657579787
DK0012R,2016-04-08 07:00:00,2016-04-09 07:00:00,24.0,0.49,0.3709226773607069,0.3494670401258486
DK0012R,2016-04-09 07:00:00,2016-04-10 07:00:00,24.0,0.772,0.6006391653130475,0.5768943484928625
DK0012R,2016-04-10 07:00:00,2016-04-11 07:00:00,24.0,0.468,0.629143639520576,0.5483878649051835
DK0012R,2016-04-11 07:00:00,2016-04-12 07:00:00,24.0,0.378,0.4812082128766712,0.40481529660039234
DK0012R,2016-04-12 07:00:00,2016-04-13 07:00:00,24.0,0.479,1.1376076915418987,0.9115954746085347
DK0012R,2016-04-13 07:00:00,2016-04-14 07:00:00,24.0,0.576,0.6542760271503075,0.5069726990035955
DK0012R,2016-04-14 07:00:00,2016-04-15 07:00:00,24.0,0.754,1.3296597815100057,1.2086957680598642
DK0012R,2016-04-15 07:00:00,2016-04-16 07:00:00,24.0,3.25,3.2394276235998642,2.9378454530231637
DK0012R,2016-04-16 07:00:00,2016-04-17 07:00:00,24.0,1.15,2.309242516179808,2.102136268922894
DK0012R,2016-04-17 07:00:00,2016-04-18 07:00:00,24.0,0.319,0.24738692896036515,0.20626756358267948
DK0012R,2016-04-18 07:00:00,2016-04-19 07:00:00,24.0,0.502,0.29343505796752095,0.24764289383671523
DK0012R,2016-04-19 07:00:00,2016-04-20 07:00:00,24.0,0.224,0.10294224342700832,0.09543289767720099
DK0012R,2016-04-20 07:00:00,2016-04-21 07:00:00,24.0,0.365,0.40481728762958413,0.3727228523680283
DK0012R,2016-04-21 07:00:00,2016-04-22 07:00:00,24.0,0.381,0.2835449723196615,0.26496283732664266
DK0012R,2016-04-22 07:00:00,2016-04-23 07:00:00,24.0,0.279,0.22918981537820912,0.208533678069983
DK0012R,2016-04-23 07:00:00,2016-04-24 07:00:00,24.0,0.228,0.11602894819080893,0.09985505162571406
DK0012R,2016-04-24 07:00:00,2016-04-25 07:00:00,24.0,0.235,0.18701261212265188,0.1551551748568725
DK0012R,2016-04-25 07:00:00,2016-04-26 07:00:00,24.0,0.621,0.9310373979587606,0.821643171496261
DK0012R,2016-04-26 07:00:00,2016-04-27 07:00:00,24.0,0.51,1.1314088799847124,0.9242682753429611
DK0012R,2016-04-27 07:00:00,2016-04-28 07:00:00,24.0,0.865,1.3979595398502027,1.1682238948973283
DK0012R,2016-04-28 07:00:00,2016-04-29 07:00:00,24.0,0.736,1.6272755824029954,1.3893105522025457
DK0012R,2016-04-29 07:00:00,2016-04-30 07:00:00,24.0,1.7,2.5428331388971643,2.2619339731499153
DK0012R,2016-04-30 07:00:00,2016-05-01 07:00:00,24.0,1.343,1.8109349700556663,1.5557911922315641
DK0012R,2016-05-01 07:00:00,2016-05-02 07:00:00,24.0,0.635,0.6908210507891471,0.6176910500300486
DK0012R,2016-05-02 07:00:00,2016-05-03 07:00:00,24.0,1.152,1.3251836429360857,1.0847898443990378
DK0012R,2016-05-03 07:00:00,2016-05-04 07:00:00,24.0,0.686,0.9274860148668312,0.8055702794306937
DK0012R,2016-05-04 07:00:00,2016-05-05 07:00:00,24.0,0.464,0.27847134339804525,0.2303010914776995
DK0012R,2016-05-05 07:00:00,2016-05-06 07:00:00,24.0,0.742,0.8043136156391562,0.7263943614401098
DK0012R,2016-05-06 07:00:00,2016-05-07 07:00:00,24.0,0.636,0.5253858155858099,0.41775203551540807
DK0012R,2016-05-07 07:00:00,2016-05-08 07:00:00,24.0,0.811,0.8558280668286008,0.6646016772608311
DK0012R,2016-05-08 07:00:00,2016-05-09 07:00:00,24.0,0.861,0.5064609041691699,0.4447552884085708
DK0012R,2016-05-09 07:00:00,2016-05-10 07:00:00,24.0,0.82,0.41165572509612475,0.3557957100049521
DK0012R,2016-05-10 07:00:00,2016-05-11 07:00:00,24.0,1.428,0.9738118035704364,0.8186218158241784
DK0012R,2016-05-11 07:00:00,2016-05-12 07:00:00,24.0,0.634,0.3439959336405682,0.3197036582569821
DK0012R,2016-05-12 07:00:00,2016-05-13 07:00:00,24.0,0.388,0.3287686080956716,0.28470909836739206
DK0012R,2016-05-13 07:00:00,2016-05-14 07:00:00,24.0,0.661,0.8389584579279177,0.7106505341008909
DK0012R,2016-05-16 07:00:00,2016-05-17 07:00:00,24.0,0.054,0.1608591333822971,0.13816393026250162
DK0012R,2016-05-17 07:00:00,2016-05-18 07:00:00,24.0,0.474,0.34683787855108045,0.30182097745727354
DK0012R,2016-05-18 07:00:00,2016-05-19 07:00:00,24.0,0.879,1.4119695704031778,1.1989185334927728
DK0012R,2016-05-19 07:00:00,2016-05-20 07:00:00,24.0,2.762,3.161966540466848,2.6720425625212254
DK0012R,2016-05-20 07:00:00,2016-05-21 07:00:00,24.0,2.347,1.3605757403303844,1.0845283027928663
DK0012R,2016-05-21 07:00:00,2016-05-22 07:00:00,24.0,2.361,1.3535810327254838,0.9114914669515524
