site,st,ed,dtH,Obs,DEHM_noBD,DEHM_BD
SE0014R,2017-01-01 06:00:00,2017-01-02 06:00:00,24.0,0.02,0.03133110631883136,0.03176242554694406
SE0014R,2017-01-02 06:00:00,2017-01-03 06:00:00,24.0,0.11,0.051576267239041566,0.037531104361191316
SE0014R,2017-01-03 06:00:00,2017-01-04 06:00:00,24.0,0.02,0.018980691010896042,0.017252012043464843
SE0014R,2017-01-04 06:00:00,2017-01-05 06:00:00,24.0,0.03,0.030592705832906002,0.022012980963755324
SE0014R,2017-01-05 06:00:00,2017-01-06 06:00:00,24.0,0.06,0.016810784047162085,0.014732527188551536
SE0014R,2017-01-06 06:00:00,2017-01-07 06:00:00,24.0,0.1,0.051358043656740265,0.04273061499554657
SE0014R,2017-01-07 06:00:00,2017-01-08 06:00:00,24.0,0.1,0.015003306516213259,0.013220938563700685
SE0014R,2017-01-08 06:00:00,2017-01-09 06:00:00,24.0,0.06,0.03791476803246877,0.026649448369089435
SE0014R,2017-01-09 06:00:00,2017-01-10 06:00:00,24.0,0.16,0.09552474961504336,0.08733525351431216
SE0014R,2017-01-10 06:00:00,2017-01-11 06:00:00,24.0,0.31,0.08658426916226737,0.07957273510478431
SE0014R,2017-01-11 06:00:00,2017-01-12 06:00:00,24.0,0.05,0.019903594894744366,0.019253487875079658
SE0014R,2017-01-13 06:00:00,2017-01-14 06:00:00,24.0,0.03,0.025602056087683806,0.02149119025183834
SE0014R,2017-01-14 06:00:00,2017-01-15 06:00:00,24.0,0.04,0.015319989733155742,0.009173329578335313
SE0014R,2017-01-15 06:00:00,2017-01-16 06:00:00,24.0,0.04,0.01306667426859952,0.00924807333517812
SE0014R,2017-01-16 06:00:00,2017-01-17 06:00:00,24.0,0.1,0.008162487985896805,0.006705467326929704
SE0014R,2017-01-17 06:00:00,2017-01-18 06:00:00,24.0,0.11,0.07965170396436,0.07055635434329503
SE0014R,2017-01-18 06:00:00,2017-01-19 06:00:00,24.0,0.11,0.05925428290352219,0.05101861282166086
SE0014R,2017-01-19 06:00:00,2017-01-20 06:00:00,24.0,0.05,0.02848717457626007,0.023541227546278312
SE0014R,2017-01-20 06:00:00,2017-01-21 06:00:00,24.0,0.05,0.059250728134401055,0.04224184413697565
SE0014R,2017-01-21 06:00:00,2017-01-22 06:00:00,24.0,0.05,0.10320827523149544,0.05729234390225254
SE0014R,2017-01-22 06:00:00,2017-01-23 06:00:00,24.0,0.07,0.09317112222403283,0.0802784996859356
SE0014R,2017-01-23 06:00:00,2017-01-24 06:00:00,24.0,0.39,0.1370906996517628,0.1251861025322973
SE0014R,2017-01-24 06:00:00,2017-01-25 06:00:00,24.0,0.07,0.08675650990925722,0.07721546190530056
SE0014R,2017-01-25 06:00:00,2017-01-26 06:00:00,24.0,0.13,0.27046486807405945,0.2526585653285682
SE0014R,2017-01-26 06:00:00,2017-01-27 06:00:00,24.0,0.45,0.16171975406918673,0.13970462355494492
SE0014R,2017-01-27 06:00:00,2017-01-28 06:00:00,24.0,0.17,0.15391026119500392,0.13237735950119786
SE0014R,2017-01-28 06:00:00,2017-01-29 06:00:00,24.0,0.35,0.18020382693313056,0.20177411275401705
SE0014R,2017-01-29 06:00:00,2017-01-30 06:00:00,24.0,0.31,0.09828096130579704,0.09565455626644188
SE0014R,2017-01-30 06:00:00,2017-01-31 06:00:00,24.0,0.16,0.041777625091224846,0.03521040463352569
SE0014R,2017-01-31 06:00:00,2017-02-01 06:00:00,24.0,0.28,0.08722638711057597,0.07980859717033795
SE0014R,2017-02-01 06:00:00,2017-02-02 06:00:00,24.0,0.7,0.28753588362172244,0.2738995933866501
