site,st,ed,dtH,Obs,DEHM_noBD,DEHM_BD,EMEP_noBD,EMEP_BD
SE0014R,2018-01-01 06:00:00,2018-01-02,18.0,0.06,0.006777620777171023,0.014445254073987323,0.0053,0.005405555555555556
SE0014R,2018-01-02 00:00:00,2018-01-03,24.0,0.07,0.01528136750770725,0.024516590946707797,0.015470833333333335,0.014887499999999998
SE0014R,2018-01-03 00:00:00,2018-01-04,24.0,0.06,0.04489601562641554,0.04766102665256703,0.038870833333333334,0.039
SE0014R,2018-01-04 00:00:00,2018-01-05,24.0,0.03,0.04072859787560991,0.0418238028464838,0.03984583333333333,0.04015833333333333
SE0014R,2018-01-05 00:00:00,2018-01-06,24.0,0.03,0.013660123237436567,0.015308192059500072,0.057499999999999996,0.05961249999999999
SE0014R,2018-01-06 00:00:00,2018-01-07,24.0,0.03,0.004578232648891775,0.005764853234121025,0.0205,0.021054166666666665
SE0014R,2018-01-07 00:00:00,2018-01-08,24.0,0.03,0.010682958889505751,0.01474978990434662,0.016420833333333332,0.0162375
SE0014R,2018-01-08 00:00:00,2018-01-09,24.0,0.08,0.039295201502777564,0.04612084323689334,0.058225,0.05512916666666667
SE0014R,2018-01-09 00:00:00,2018-01-10,24.0,0.03,0.0335973062910884,0.0424457469714432,0.029141666666666666,0.028595833333333334
SE0014R,2018-01-10 00:00:00,2018-01-11,24.0,0.05,0.04926041510373349,0.058646042824536476,0.06436666666666667,0.06472499999999999
SE0014R,2018-01-11 00:00:00,2018-01-12,24.0,0.03,0.031451794122606444,0.04130593934576952,0.043670833333333325,0.045691666666666665
SE0014R,2018-01-12 00:00:00,2018-01-13,24.0,0.06,0.018820422030761758,0.02522136122900984,0.045099999999999994,0.048808333333333336
SE0014R,2018-01-13 00:00:00,2018-01-14,24.0,0.07,0.017483668647864756,0.024340785120781427,0.09806666666666668,0.10189166666666667
SE0014R,2018-01-14 00:00:00,2018-01-15,24.0,0.14,0.01579902518032112,0.023859352227300335,0.13486666666666666,0.13592083333333332
SE0014R,2018-01-15 00:00:00,2018-01-16,24.0,0.21,0.04085727863993488,0.06048891229484225,0.1193875,0.118125
SE0014R,2018-01-16 00:00:00,2018-01-17,24.0,0.09,0.02798317280646406,0.029807290609609266,0.028499999999999998,0.0275875
SE0014R,2018-01-17 00:00:00,2018-01-18,24.0,0.07,0.021183303539697,0.022616862660329723,0.05137083333333334,0.05154999999999999
SE0014R,2018-01-18 00:00:00,2018-01-19,24.0,0.06,0.02029127891075791,0.021809205276006743,0.07959999999999999,0.08102083333333332
SE0014R,2018-01-19 00:00:00,2018-01-20,24.0,0.07,0.011635608512386597,0.013076553902355863,0.09492916666666666,0.09842916666666668
SE0014R,2018-01-20 00:00:00,2018-01-21,24.0,0.09,0.018639052770696503,0.01999563268804914,0.08768333333333334,0.09202083333333333
SE0014R,2018-01-21 00:00:00,2018-01-22,24.0,0.08,0.03125955707440146,0.03264510002478951,0.2094208333333333,0.2167125
SE0014R,2018-01-22 00:00:00,2018-01-23,24.0,0.17,0.0712331565357744,0.08011786236003036,0.22004583333333336,0.22775
SE0014R,2018-01-23 00:00:00,2018-01-24,24.0,0.26,0.08978217414878302,0.10400831644680346,0.30674583333333333,0.30785
SE0014R,2018-01-24 00:00:00,2018-01-25,24.0,0.11,0.031054394049104223,0.03282033245928578,0.013620833333333332,0.013966666666666664
SE0014R,2018-01-25 00:00:00,2018-01-26,24.0,0.1,0.0288698780078999,0.031142328351773243,0.024658333333333334,0.025958333333333333
SE0014R,2018-01-26 00:00:00,2018-01-27,24.0,0.09,0.03089483865547917,0.03206123345404855,0.0362125,0.033820833333333335
SE0014R,2018-01-27 00:00:00,2018-01-28,24.0,0.09,0.04181542299170038,0.04295216570256271,0.04364583333333333,0.043737500000000006
SE0014R,2018-01-28 00:00:00,2018-01-29,24.0,0.03,0.010051375789036905,0.009692956644315187,0.0011708333333333334,0.0011916666666666666
SE0014R,2018-01-29 00:00:00,2018-01-30,24.0,0.03,0.020885375165706432,0.02028546150536269,0.012133333333333331,0.012054166666666666
SE0014R,2018-01-30 00:00:00,2018-01-31,24.0,0.03,0.02636084050547323,0.026238874123496857,0.012525,0.012520833333333335
SE0014R,2018-01-31 00:00:00,2018-02-01,24.0,0.11,0.03557608145104715,0.036485887588914405,0.044845833333333335,0.04577916666666667
SE0014R,2018-02-01 00:00:00,2018-02-02,24.0,0.03,0.013446648406740203,0.014640387712391012,0.04332916666666667,0.04420416666666666
SE0014R,2018-02-02 00:00:00,2018-02-03,24.0,0.1,0.010368992596585228,0.012109708049127296,0.06095416666666667,0.061883333333333325
SE0014R,2018-02-03 00:00:00,2018-02-04,24.0,0.07,0.013147134093176494,0.013546628462998138,0.0332,0.033279166666666665
SE0014R,2018-02-04 00:00:00,2018-02-05,24.0,0.03,0.008856173461896759,0.009373710333621044,0.03147083333333333,0.03145833333333333
SE0014R,2018-02-05 00:00:00,2018-02-06,24.0,0.1,0.006853941141823233,0.008635421529691583,0.024212499999999998,0.024704166666666666
