site,st,ed,dtH,Obs,DEHM_noBD,DEHM_BD,EMEP_noBD,EMEP_BD,MATCH_noBD,MATCH_BD
SE0014R,2018-01-01 06:00:00,2018-01-02 00:00:00,18.0,0.06,0.03050761226793122,0.029789218316326478,0.0053,0.005405555555555556,0.03088420533333332,0.03115107333333332
SE0014R,2018-01-02 00:00:00,2018-01-03 00:00:00,24.0,0.07,0.04642228530183427,0.04905493643239132,0.015470833333333335,0.014887499999999998,0.04309176899999998,0.04560230499999998
SE0014R,2018-01-03 00:00:00,2018-01-04 00:00:00,24.0,0.06,0.06922015421546988,0.06979577799674117,0.038870833333333334,0.039,0.049098769999999986,0.049681925999999994
SE0014R,2018-01-04 00:00:00,2018-01-05 00:00:00,24.0,0.03,0.05998438196290277,0.06125877723276607,0.03984583333333333,0.04015833333333333,0.04151032899999999,0.043363578999999985
SE0014R,2018-01-05 00:00:00,2018-01-06 00:00:00,24.0,0.03,0.023213504012878916,0.02708576702920713,0.057499999999999996,0.05961249999999999,0.019283683999999992,0.020917014999999994
SE0014R,2018-01-06 00:00:00,2018-01-07 00:00:00,24.0,0.03,0.013212398975817405,0.017284428059207203,0.0205,0.021054166666666665,0.010360902999999996,0.012555151
SE0014R,2018-01-07 00:00:00,2018-01-08 00:00:00,24.0,0.03,0.034376117295175715,0.03865339551843696,0.016420833333333332,0.0162375,0.02241938299999999,0.023007480999999996
SE0014R,2018-01-08 00:00:00,2018-01-09 00:00:00,24.0,0.08,0.07996359511926764,0.08298681040942663,0.058225,0.05512916666666667,0.030324111999999997,0.032903836
SE0014R,2018-01-09 00:00:00,2018-01-10 00:00:00,24.0,0.03,0.06264639047693454,0.07301046644221985,0.029141666666666666,0.028595833333333334,0.038216485999999994,0.04404557499999998
SE0014R,2018-01-10 00:00:00,2018-01-11 00:00:00,24.0,0.05,0.07973574506901199,0.08761274762704963,0.06436666666666667,0.06472499999999999,0.03198462399999999,0.03188084199999999
SE0014R,2018-01-11 00:00:00,2018-01-12 00:00:00,24.0,0.03,0.051169847227707455,0.06607773601111018,0.043670833333333325,0.045691666666666665,0.05037380599999999,0.051685906999999996
SE0014R,2018-01-12 00:00:00,2018-01-13 00:00:00,24.0,0.06,0.0274216102326288,0.05084649524014436,0.045099999999999994,0.048808333333333336,0.033336260999999985,0.031898138999999985
SE0014R,2018-01-13 00:00:00,2018-01-14 00:00:00,24.0,0.07,0.03127393194876604,0.05020724991017945,0.09806666666666668,0.10189166666666667,0.11420467799999999,0.11788646800000001
SE0014R,2018-01-14 00:00:00,2018-01-15 00:00:00,24.0,0.14,0.043645948483198804,0.053296893320120775,0.13486666666666666,0.13592083333333332,0.18285894199999997,0.18749453800000002
SE0014R,2018-01-15 00:00:00,2018-01-16 00:00:00,24.0,0.21,0.10242894772406659,0.1320602286587655,0.1193875,0.118125,0.25096958599999997,0.253724751
SE0014R,2018-01-16 00:00:00,2018-01-17 00:00:00,24.0,0.09,0.04250412823427462,0.043506667295545254,0.028499999999999998,0.0275875,0.04463120199999998,0.044865946999999996
SE0014R,2018-01-17 00:00:00,2018-01-18 00:00:00,24.0,0.07,0.04862639164924615,0.051030820563621744,0.05137083333333334,0.05154999999999999,0.04701571699999999,0.048651519
SE0014R,2018-01-18 00:00:00,2018-01-19 00:00:00,24.0,0.06,0.029748503121640457,0.032648372930921536,0.07959999999999999,0.08102083333333332,0.06641553799999998,0.07398668199999998
SE0014R,2018-01-19 00:00:00,2018-01-20 00:00:00,24.0,0.07,0.018916634183176722,0.02095941472533616,0.09492916666666666,0.09842916666666668,0.02428004599999999,0.033479578999999995
SE0014R,2018-01-20 00:00:00,2018-01-21 00:00:00,24.0,0.09,0.027827479934552608,0.02962243460679421,0.08768333333333334,0.09202083333333333,0.09726597299999999,0.107992584
SE0014R,2018-01-21 00:00:00,2018-01-22 00:00:00,24.0,0.08,0.03919837797600769,0.04075557967510067,0.2094208333333333,0.2167125,0.124306126,0.12839563099999998
SE0014R,2018-01-22 00:00:00,2018-01-23 00:00:00,24.0,0.17,0.09596641465086485,0.10097960427604609,0.22004583333333336,0.22775,0.35805778400000005,0.366444358
SE0014R,2018-01-23 00:00:00,2018-01-24 00:00:00,24.0,0.26,0.13451030437290665,0.1409376717703789,0.30674583333333333,0.30785,0.35278961200000003,0.35284644499999995
SE0014R,2018-01-24 00:00:00,2018-01-25 00:00:00,24.0,0.11,0.04695780353296541,0.05033979772977524,0.013620833333333332,0.013966666666666664,0.11919856899999999,0.12026109899999998
SE0014R,2018-01-25 00:00:00,2018-01-26 00:00:00,24.0,0.1,0.060190226540639914,0.061801430684626034,0.024658333333333334,0.025958333333333333,0.075535999,0.081589949
SE0014R,2018-01-26 00:00:00,2018-01-27 00:00:00,24.0,0.09,0.06076404987834389,0.0653980655727535,0.0362125,0.033820833333333335,0.11169167099999999,0.123226299
SE0014R,2018-01-27 00:00:00,2018-01-28 00:00:00,24.0,0.09,0.04856423055034124,0.052297777439746944,0.04364583333333333,0.043737500000000006,0.073008166,0.07532102199999999
SE0014R,2018-01-28 00:00:00,2018-01-29 00:00:00,24.0,0.03,0.017816468614702975,0.018153461523633386,0.0011708333333333334,0.0011916666666666666,0.03428759599999999,0.034413616999999994
SE0014R,2018-01-29 00:00:00,2018-01-30 00:00:00,24.0,0.03,0.02306472191609436,0.023938823092039607,0.012133333333333331,0.012054166666666666,0.02011888199999999,0.019926143999999996
SE0014R,2018-01-30 00:00:00,2018-01-31 00:00:00,24.0,0.03,0.03296398924306027,0.03424142471179358,0.012525,0.012520833333333335,0.027302079000000003,0.02684000199999999
SE0014R,2018-01-31 00:00:00,2018-02-01 00:00:00,24.0,0.11,0.085061693162322,0.08769149611432098,0.044845833333333335,0.04577916666666667,0.10177801899999998,0.101884272
SE0014R,2018-02-01 00:00:00,2018-02-02 00:00:00,24.0,0.03,0.029058484206069185,0.03164155327111475,0.04332916666666667,0.04420416666666666,0.037277505999999995,0.038984967
SE0014R,2018-02-02 00:00:00,2018-02-03 00:00:00,24.0,0.1,0.01999695929434143,0.024899941503368248,0.06095416666666667,0.061883333333333325,0.03387493899999999,0.037746996
SE0014R,2018-02-03 00:00:00,2018-02-04 00:00:00,24.0,0.07,0.020697394207213005,0.021702845192998577,0.0332,0.033279166666666665,0.038525360999999994,0.03812753
SE0014R,2018-02-04 00:00:00,2018-02-05 00:00:00,24.0,0.03,0.016375194323211835,0.0169032064334023,0.03147083333333333,0.03145833333333333,0.031040701999999993,0.03115436799999999
SE0014R,2018-02-05 00:00:00,2018-02-06 00:00:00,24.0,0.1,0.008099121018303476,0.011787659303927717,0.024212499999999998,0.024704166666666666,0.017610816999999987,0.019078590999999995
SE0014R,2018-02-06 00:00:00,2018-02-07 00:00:00,24.0,0.1,0.05957804585689671,0.068087809331268,0.12017083333333334,0.10882083333333332,0.11492373900000001,0.10999162299999998
SE0014R,2018-02-07 00:00:00,2018-02-08 00:00:00,24.0,0.45,0.036794924351759184,0.04324157211661331,0.0674,0.06110000000000001,0.075451985,0.07156263099999999
SE0014R,2018-02-08 00:00:00,2018-02-09 00:00:00,24.0,0.21,0.04065915454905472,0.051599316764473845,0.09864583333333332,0.09557083333333333,0.161717066,0.163995328
SE0014R,2018-02-09 00:00:00,2018-02-10 00:00:00,24.0,0.95,0.21763545335829257,0.280893283547014,0.5420166666666666,0.5376166666666667,0.40242458899999994,0.40078137399999997
SE0014R,2018-02-10 00:00:00,2018-02-11 00:00:00,24.0,0.38,0.37418574014753103,0.47482883186459546,0.9394666666666667,0.9387416666666667,0.557793656,0.564173778
SE0014R,2018-02-11 00:00:00,2018-02-12 00:00:00,24.0,0.37,0.07762700603296972,0.109409974991735,0.42049999999999993,0.41872916666666665,0.370266995,0.370484443
SE0014R,2018-02-12 00:00:00,2018-02-13 00:00:00,24.0,0.03,0.036543487929254694,0.036036980091873484,0.002108333333333333,0.0021208333333333335,0.039367971999999994,0.03875516399999999
SE0014R,2018-02-13 00:00:00,2018-02-14 00:00:00,24.0,0.07,0.034106483588218627,0.039046159350797464,0.12028749999999999,0.12071666666666665,0.142695308,0.150819956
SE0014R,2018-02-14 00:00:00,2018-02-15 00:00:00,24.0,0.19,0.05446363856036209,0.08832069945394988,0.48285833333333333,0.47870833333333335,0.459707311,0.46513609800000005
SE0014R,2018-02-15 00:00:00,2018-02-16 00:00:00,24.0,0.13,0.07382638182759278,0.09812013168342405,0.1307125,0.12830833333333333,0.20184363500000002,0.20194000399999998
SE0014R,2018-02-16 00:00:00,2018-02-17 00:00:00,24.0,0.11,0.04419551751989866,0.04646847566820674,0.0686125,0.06871666666666666,0.111390209,0.11433317
SE0014R,2018-02-17 00:00:00,2018-02-18 00:00:00,24.0,0.12,0.10617815039034927,0.11675619203019882,0.20220416666666666,0.20400416666666668,0.203150794,0.21057367800000001
SE0014R,2018-02-18 00:00:00,2018-02-19 00:00:00,24.0,0.17,0.049334998103398774,0.061714343075547295,0.1466875,0.13524583333333332,0.10735259499999998,0.112264943
SE0014R,2018-02-19 00:00:00,2018-02-20 00:00:00,24.0,0.19,0.07502683850727969,0.08489854926254593,0.11017500000000001,0.10310000000000001,0.052261650000000014,0.055362754999999986
SE0014R,2018-02-20 00:00:00,2018-02-21 00:00:00,24.0,0.07,0.03269536170965053,0.036939215603414864,0.048225,0.05322083333333333,0.063759213,0.068557895
SE0014R,2018-02-21 00:00:00,2018-02-22 00:00:00,24.0,0.11,0.06151241659587242,0.06573342527344814,0.2283875,0.2293083333333333,0.120048593,0.129781862
SE0014R,2018-02-22 00:00:00,2018-02-23 00:00:00,24.0,0.07,0.013678464330006327,0.019224472648603764,0.053149999999999996,0.055766666666666666,0.014643145999999987,0.01745020199999999
SE0014R,2018-02-23 00:00:00,2018-02-24 00:00:00,24.0,0.21,0.046941189863774845,0.06251698926823206,0.3834666666666667,0.37775,0.288993334,0.300503252
SE0014R,2018-02-24 00:00:00,2018-02-25 00:00:00,24.0,0.06,0.030316178196323956,0.03569828583327114,0.05007083333333334,0.051774999999999995,0.03382304799999999,0.03733680999999999
SE0014R,2018-02-25 00:00:00,2018-02-26 00:00:00,24.0,0.03,0.012056267161238858,0.013818174571674243,0.0113875,0.012358333333333332,0.010368315999999994,0.011749604999999991
SE0014R,2018-02-26 00:00:00,2018-02-27 00:00:00,24.0,0.03,0.007152365295966079,0.009107097655720925,0.008116666666666666,0.008091666666666665,0.007798475999999979,0.008616376999999988
SE0014R,2018-02-27 00:00:00,2018-02-28 00:00:00,24.0,0.03,0.021469441696237695,0.022212640480715713,0.010554166666666668,0.010383333333333335,0.011166449,0.012115312999999997
SE0014R,2018-02-28 00:00:00,2018-03-01 00:00:00,24.0,0.06,0.039517038169093355,0.04024687865462147,0.022720833333333332,0.0226875,0.017440317999999993,0.018567093999999992
SE0014R,2018-03-01 00:00:00,2018-03-02 00:00:00,24.0,0.06,0.029578307538255976,0.02949429404918098,0.05737916666666667,0.05722083333333333,0.02840167399999999,0.030734297999999993
SE0014R,2018-03-02 00:00:00,2018-03-03 00:00:00,24.0,0.09,0.0324039199355244,0.03179537626929574,0.04977083333333334,0.04908333333333333,0.04593589,0.04749509099999999
SE0014R,2018-03-03 00:00:00,2018-03-04 00:00:00,24.0,0.15,0.028176334654316227,0.02787507199857377,0.09052916666666666,0.09048333333333332,0.08056201299999999,0.08254128399999999
SE0014R,2018-03-04 00:00:00,2018-03-05 00:00:00,24.0,0.17,0.01680627069533794,0.017778142405226748,0.0750125,0.07548333333333333,0.06348987399999999,0.064942822
SE0014R,2018-03-05 00:00:00,2018-03-06 00:00:00,24.0,0.14,0.025313358634533278,0.03584606053682037,0.123625,0.12728333333333333,0.07438204199999998,0.078661814
SE0014R,2018-03-06 00:00:00,2018-03-07 00:00:00,24.0,0.15,0.02561062918246718,0.04284365114429028,0.20609999999999998,0.19611666666666663,0.141783509,0.15491934499999996
SE0014R,2018-03-07 00:00:00,2018-03-08 00:00:00,24.0,0.23,0.01668454040353179,0.03613034094747147,0.2324291666666667,0.23274583333333332,0.19138636299999998,0.19719568399999998
SE0014R,2018-03-08 00:00:00,2018-03-09 00:00:00,24.0,0.12,0.02238503495441743,0.02725334240062155,0.11083333333333334,0.11620416666666666,0.04402333599999999,0.052923878
SE0014R,2018-03-09 00:00:00,2018-03-10 00:00:00,24.0,0.23,0.08778034858889872,0.0950242766097001,0.23445416666666666,0.24043333333333336,0.11937153899999998,0.129087511
SE0014R,2018-03-10 00:00:00,2018-03-11 00:00:00,24.0,0.27,0.09272988058103242,0.10430236434895539,0.2775208333333334,0.28292083333333334,0.134770811,0.137787902
SE0014R,2018-03-11 00:00:00,2018-03-12 00:00:00,24.0,0.06,0.050667887998036974,0.05336872161995613,0.06299166666666667,0.06894583333333333,0.079205434,0.093977072
SE0014R,2018-03-12 00:00:00,2018-03-13 00:00:00,24.0,0.07,0.04436414230625138,0.05060670400728464,0.16694583333333335,0.1658625,0.154202755,0.18376332799999998
SE0014R,2018-03-13 00:00:00,2018-03-14 00:00:00,24.0,0.11,0.02525727501071982,0.031740981591157555,0.05055833333333334,0.05303750000000001,0.08348520599999999,0.09092538699999998
SE0014R,2018-03-18 00:00:00,2018-03-19 00:00:00,24.0,0.03,0.093877599632265,0.1073891250148415,0.05557916666666666,0.05519166666666667,0.059852562,0.062274141999999984
SE0014R,2018-03-19 00:00:00,2018-03-20 00:00:00,24.0,0.11,0.03773394160259508,0.04466125487007192,0.02867916666666667,0.027604166666666666,0.03385269999999999,0.036024708999999995
SE0014R,2018-03-20 00:00:00,2018-03-21 00:00:00,24.0,0.07,0.08119359494321042,0.09585704693235449,0.06806250000000001,0.06825416666666667,0.05280279899999999,0.053899922999999995
SE0014R,2018-03-21 00:00:00,2018-03-22 00:00:00,24.0,0.08,0.03613184024317182,0.03951775552973143,0.010983333333333331,0.010820833333333333,0.028330014999999997,0.02885386699999999
SE0014R,2018-03-22 00:00:00,2018-03-23 00:00:00,24.0,0.06,0.09881556150309734,0.10222283288188273,0.14053749999999998,0.14097500000000002,0.217761817,0.21776922999999995
SE0014R,2018-03-23 00:00:00,2018-03-24 00:00:00,24.0,0.24,0.14366542045414443,0.1494106689241528,0.21040416666666664,0.20934166666666668,0.32284603399999995,0.322972055
SE0014R,2018-03-24 00:00:00,2018-03-25 00:00:00,24.0,0.03,0.049861261572241716,0.059513866473548054,0.0024749999999999998,0.002033333333333333,0.06278563899999999,0.061199257
SE0014R,2018-03-25 00:00:00,2018-03-26 00:00:00,24.0,0.06,0.047857729553803734,0.05156034101361401,0.0166,0.012558333333333333,0.035794905999999994,0.037109477999999994
SE0014R,2018-03-26 00:00:00,2018-03-27 00:00:00,24.0,0.09,0.03603985643832005,0.03892865428829559,0.014354166666666668,0.015629166666666666,0.019491247999999992,0.020882421
