site,st,ed,dtH,Obs,DEHM_noBD,DEHM_BD,EMEP_noBD,EMEP_BD,MATCH_noBD,MATCH_BD
DK0012R,2018-01-01 07:00:00,2018-01-02 07:00:00,24.0,0.347,0.32142373243232775,0.3319678692590587,0.3771166666666667,0.37137916666666665,0.46771250000000003,0.4515458333333333
DK0012R,2018-01-02 07:00:00,2018-01-03 07:00:00,24.0,0.542,0.4764149886122981,0.5315234900178982,0.7702583333333334,0.7826374999999999,0.2739333333333333,0.2666375
DK0012R,2018-01-03 07:00:00,2018-01-04 07:00:00,24.0,0.428,0.31515088603157726,0.32569945425578367,0.7444083333333333,0.7377083333333333,0.1476083333333333,0.14317916666666666
DK0012R,2018-01-04 07:00:00,2018-01-05 07:00:00,24.0,0.25,0.6352889673402539,0.684517814610128,0.677225,0.6882333333333334,0.21518333333333337,0.2131875
DK0012R,2018-01-05 07:00:00,2018-01-06 07:00:00,24.0,0.49,0.8827007768931093,0.9422266921445654,1.1168416666666667,1.1328958333333334,0.6985541666666667,0.6943
DK0012R,2018-01-06 07:00:00,2018-01-07 07:00:00,24.0,0.235,0.2733066116919836,0.3492056786799384,0.19735,0.19897083333333332,0.20967499999999997,0.20729999999999996
DK0012R,2018-01-07 07:00:00,2018-01-08 07:00:00,24.0,0.47,0.5866768972948164,0.6349710449368834,0.474275,0.479875,0.20505833333333334,0.20211666666666664
DK0012R,2018-01-08 07:00:00,2018-01-09 07:00:00,24.0,0.63,0.9322875096769976,1.1692964148544522,0.9896333333333334,1.0342583333333335,0.3468166666666666,0.3486458333333333
DK0012R,2018-01-09 07:00:00,2018-01-10 07:00:00,24.0,0.728,1.1296908915002024,1.1617882222710003,0.4051458333333333,0.45945833333333336,0.2492291666666667,0.26397916666666665
DK0012R,2018-01-10 07:00:00,2018-01-11 07:00:00,24.0,1.783,1.2442649534557209,1.2904419179699793,0.9878041666666667,1.0301541666666667,1.0542458333333333,1.0812541666666666
DK0012R,2018-01-11 07:00:00,2018-01-12 07:00:00,24.0,1.035,1.939251317359312,1.7767625908822557,0.7323999999999998,0.786325,0.7736875,0.7781916666666667
DK0012R,2018-01-12 07:00:00,2018-01-13 07:00:00,24.0,0.844,1.4464581189342212,1.4679528663481711,0.614525,0.651725,0.5813416666666666,0.6062958333333334
DK0012R,2018-01-13 07:00:00,2018-01-14 07:00:00,24.0,0.861,1.956274173064174,1.981853428321956,0.5869666666666666,0.6185083333333333,0.5178208333333333,0.5262375
DK0012R,2018-01-14 07:00:00,2018-01-15 07:00:00,24.0,1.548,2.258490640218553,2.2333021200063183,0.8048375,0.8297208333333334,0.7879333333333335,0.8314166666666667
DK0012R,2018-01-15 07:00:00,2018-01-16 07:00:00,24.0,1.325,1.576303215767726,1.4948290554309107,0.644675,0.6617625,0.65115,0.6666583333333334
DK0012R,2018-01-16 07:00:00,2018-01-17 07:00:00,24.0,0.264,0.12003983509533571,0.14737834961018367,0.37247916666666664,0.37651666666666667,0.09929166666666667,0.10007499999999998
DK0012R,2018-01-17 07:00:00,2018-01-18 07:00:00,24.0,0.342,0.09308735927665063,0.10096258308020363,0.4034291666666667,0.41230833333333333,0.061170833333333334,0.05873333333333334
DK0012R,2018-01-18 07:00:00,2018-01-19 07:00:00,24.0,1.0,0.7820283936130213,0.8102874059490633,1.0328166666666667,1.0369916666666665,0.2978625,0.2911958333333333
DK0012R,2018-01-19 07:00:00,2018-01-20 07:00:00,24.0,1.214,0.5668696149405479,0.6240913139713005,1.2550083333333333,1.2787458333333335,0.525275,0.5229374999999999
DK0012R,2018-01-20 07:00:00,2018-01-21 07:00:00,24.0,1.778,1.550658059641644,1.6123882556042044,1.7692666666666668,1.8238375,1.4074749999999998,1.3981458333333332
DK0012R,2018-01-21 07:00:00,2018-01-22 07:00:00,24.0,1.749,2.899223436200886,2.987072646263954,1.6708333333333332,1.7009458333333332,2.016833333333333,1.9834708333333333
DK0012R,2018-01-22 07:00:00,2018-01-23 07:00:00,24.0,1.84,2.9039498253792217,2.8251867128419192,1.1877708333333334,1.1847958333333335,1.0716833333333333,1.0518416666666666
DK0012R,2018-01-23 07:00:00,2018-01-24 07:00:00,24.0,2.087,1.7122014538048707,1.7278511212960916,1.0686958333333332,1.0878041666666667,1.0726375,1.06855
DK0012R,2018-01-24 07:00:00,2018-01-25 07:00:00,24.0,0.601,0.7842054831958646,0.7747068225073231,0.5150208333333334,0.5044666666666667,0.4235541666666666,0.42456249999999995
DK0012R,2018-01-25 07:00:00,2018-01-26 07:00:00,24.0,1.444,1.6675515650382942,1.6885292919441657,1.7398041666666666,1.7285625,0.9927083333333332,0.9814458333333334
DK0012R,2018-01-26 07:00:00,2018-01-27 07:00:00,24.0,1.792,1.4422519911118457,1.594976784938047,1.9511916666666667,1.9918708333333333,2.0637250000000003,2.0820166666666666
DK0012R,2018-01-27 07:00:00,2018-01-28 07:00:00,24.0,1.512,0.7174979528177964,0.824899049852816,0.952875,0.9881125000000001,0.8045375,0.8286125000000001
DK0012R,2018-01-28 07:00:00,2018-01-29 07:00:00,24.0,0.232,0.11180661705862649,0.15858360958203355,0.16567500000000002,0.159825,0.13734583333333333,0.14169583333333333
DK0012R,2018-01-29 07:00:00,2018-01-30 07:00:00,24.0,0.097,0.06684350722840064,0.0773793203266454,0.058033333333333326,0.05654166666666666,0.0449125,0.043425
DK0012R,2018-01-30 07:00:00,2018-01-31 07:00:00,24.0,0.582,0.68777916574955,0.7114579315611991,0.6192041666666667,0.6209708333333334,0.4175,0.39963333333333334
DK0012R,2018-01-31 07:00:00,2018-02-01 07:00:00,24.0,0.619,0.5216516438914692,0.5248605988438925,0.38110416666666663,0.39076249999999996,0.2810333333333333,0.28210416666666666
DK0012R,2018-02-01 07:00:00,2018-02-02 07:00:00,24.0,1.168,0.5433281175618555,0.5513853032510588,1.1875541666666667,1.1890958333333332,0.5883041666666666,0.5854
DK0012R,2018-02-02 07:00:00,2018-02-03 07:00:00,24.0,0.655,0.4735260710213336,0.5254477233593163,0.6098291666666668,0.6227999999999999,0.5260875,0.5200791666666666
DK0012R,2018-02-03 07:00:00,2018-02-04 07:00:00,24.0,0.497,0.7807763983511187,0.958720523039397,0.2561333333333334,0.2519416666666667,0.34697916666666667,0.3210416666666667
DK0012R,2018-02-04 07:00:00,2018-02-05 07:00:00,24.0,0.467,0.6813502812035349,0.9038791878226086,0.26269583333333335,0.26269166666666666,0.4246375,0.41511250000000005
DK0012R,2018-02-05 07:00:00,2018-02-06 07:00:00,24.0,0.542,1.0097217789384798,1.1200841536034252,0.49111666666666665,0.4980291666666667,0.7455208333333334,0.7410958333333335
DK0012R,2018-02-06 07:00:00,2018-02-07 07:00:00,24.0,1.107,1.5519057855980467,1.6760258204086806,0.8334875,0.8489583333333334,0.9098666666666667,0.9070874999999999
DK0012R,2018-02-07 07:00:00,2018-02-08 07:00:00,24.0,2.254,2.4296904693418777,2.4832955561740877,1.0773,1.1038458333333334,1.5093041666666664,1.503825
DK0012R,2018-02-08 07:00:00,2018-02-09 07:00:00,24.0,3.048,4.023874640867226,4.048735066043512,1.1841125,1.2126958333333333,1.6122458333333334,1.602645833333333
DK0012R,2018-02-09 07:00:00,2018-02-10 07:00:00,24.0,3.438,6.443740029548169,6.066718360133405,1.3194041666666667,1.3567875,3.4211958333333334,3.413116666666667
DK0012R,2018-02-10 07:00:00,2018-02-11 07:00:00,24.0,7.157,7.056772748324609,6.639214929590499,1.8655749999999998,1.9323625,4.5966375,4.5872375
DK0012R,2018-02-11 07:00:00,2018-02-12 07:00:00,24.0,1.267,0.5155374263587229,0.5056491807938185,0.4269375,0.43320000000000003,0.5189291666666668,0.5087458333333333
DK0012R,2018-02-12 07:00:00,2018-02-13 07:00:00,24.0,0.201,0.08024908249365638,0.08863996000358869,0.13775,0.13943333333333333,0.0834875,0.08113749999999999
DK0012R,2018-02-13 07:00:00,2018-02-14 07:00:00,24.0,3.283,2.692543628875402,2.7188067940968508,2.1326,2.1616125,1.6622583333333332,1.6555958333333332
DK0012R,2018-02-14 07:00:00,2018-02-15 07:00:00,24.0,2.357,3.477894451321184,3.422314089036805,1.1699541666666666,1.2104791666666668,1.8314708333333332,1.8178166666666666
DK0012R,2018-02-15 07:00:00,2018-02-16 07:00:00,24.0,2.582,1.7894011565241057,1.7856184103276478,0.9091666666666667,0.9568666666666666,1.1705583333333334,1.1627583333333333
DK0012R,2018-02-16 07:00:00,2018-02-17 07:00:00,24.0,0.582,0.08206397254748289,0.1278206455582994,0.40668750000000004,0.41345000000000004,0.26967083333333336,0.26232083333333334
DK0012R,2018-02-17 07:00:00,2018-02-18 07:00:00,24.0,0.886,0.5270035446852989,0.6209522261850737,1.1854083333333334,1.2034458333333333,0.7263125,0.7146916666666666
DK0012R,2018-02-18 07:00:00,2018-02-19 07:00:00,24.0,1.255,3.2872681853237524,3.3459823938603677,1.0798166666666666,1.1031875,1.4277666666666666,1.4233250000000002
DK0012R,2018-02-19 07:00:00,2018-02-20 07:00:00,24.0,3.492,5.429169798955935,5.40262489924078,1.6096458333333334,1.6354041666666665,2.994175,2.9776166666666666
DK0012R,2018-02-20 07:00:00,2018-02-21 07:00:00,24.0,1.716,2.263820744809484,2.3767310470924365,0.9429541666666666,0.9650583333333334,1.8747791666666664,1.8475666666666666
DK0012R,2018-02-21 07:00:00,2018-02-22 07:00:00,24.0,2.236,2.1515696834237685,2.263409991357315,1.4664875000000002,1.4952458333333334,1.9004083333333337,1.8656541666666666
DK0012R,2018-02-22 07:00:00,2018-02-23 07:00:00,24.0,0.931,1.3717212841405493,1.6345409576104466,0.6394708333333333,0.6442249999999999,0.8153125,0.8007791666666667
DK0012R,2018-02-23 07:00:00,2018-02-24 07:00:00,24.0,0.713,0.9054281233959007,1.236603112769978,0.523775,0.52895,0.9488291666666666,0.9291208333333333
DK0012R,2018-02-24 07:00:00,2018-02-25 07:00:00,24.0,0.33,0.49159875505373685,0.6162876237387896,0.2280875,0.22960000000000003,0.30791666666666667,0.2992416666666667
DK0012R,2018-02-25 07:00:00,2018-02-26 07:00:00,24.0,0.355,0.4459533480216787,0.58092340221079,0.18161666666666668,0.18117916666666667,0.24914999999999998,0.24574166666666666
DK0012R,2018-02-26 07:00:00,2018-02-27 07:00:00,24.0,0.217,0.2840981650752609,0.3612281005874734,0.15339583333333331,0.15322916666666667,0.1584875,0.15735416666666666
DK0012R,2018-02-27 07:00:00,2018-02-28 07:00:00,24.0,0.265,0.44636852872907634,0.698888422899525,0.17765,0.17666666666666667,0.2421,0.23501249999999999
DK0012R,2018-02-28 07:00:00,2018-03-01 07:00:00,24.0,0.409,0.6079828403672142,0.8427204541158565,0.151425,0.15083749999999999,0.41325416666666664,0.4079333333333333
DK0012R,2018-03-01 07:00:00,2018-03-02 07:00:00,24.0,0.469,0.5905941772619859,0.764548059667165,0.13695833333333332,0.13662500000000002,0.4023208333333333,0.3963125
DK0012R,2018-03-02 07:00:00,2018-03-03 07:00:00,24.0,0.842,0.8292302462808303,0.902643850216737,0.37537499999999996,0.3783666666666667,0.7829041666666668,0.7697958333333332
DK0012R,2018-03-03 07:00:00,2018-03-04 07:00:00,24.0,1.108,1.4342999688759999,1.5049438701513347,0.6035416666666666,0.6083458333333334,1.1789208333333334,1.1657458333333335
DK0012R,2018-03-04 07:00:00,2018-03-05 07:00:00,24.0,1.896,3.193866376080733,3.1819838498671973,0.9363791666666667,0.9606374999999999,1.3376708333333334,1.3310208333333333
DK0012R,2018-03-05 07:00:00,2018-03-06 07:00:00,24.0,6.292,3.8576853596702807,3.8195778057184633,2.715358333333333,2.7468458333333334,2.0841791666666665,2.0822125000000002
DK0012R,2018-03-06 07:00:00,2018-03-07 07:00:00,24.0,6.249,5.602206344212778,5.4531970550631526,2.728145833333333,2.7913833333333335,3.3117416666666664,3.3080874999999996
DK0012R,2018-03-07 07:00:00,2018-03-08 07:00:00,24.0,2.85,1.966012424750348,1.9958615022298465,1.5202666666666669,1.5399916666666666,1.1584208333333335,1.1473625
DK0012R,2018-03-08 07:00:00,2018-03-09 07:00:00,24.0,3.252,2.101169302683729,2.0979689086880673,3.0027666666666666,3.0160583333333335,1.4576083333333332,1.451545833333333
DK0012R,2018-03-09 07:00:00,2018-03-10 07:00:00,24.0,1.58,1.4545458338887858,1.6376966861767286,2.1849874999999996,2.1922875000000004,1.3954458333333335,1.370925
DK0012R,2018-03-10 07:00:00,2018-03-11 07:00:00,24.0,1.524,1.8996525571083633,1.963263154674453,1.0548166666666665,1.0640791666666667,1.1330333333333333,1.1105083333333334
DK0012R,2018-03-11 07:00:00,2018-03-12 07:00:00,24.0,3.025,2.923358489922759,2.9044466842475263,2.650583333333333,2.6901041666666665,1.9737,1.9389041666666664
DK0012R,2018-03-12 07:00:00,2018-03-13 07:00:00,24.0,1.937,2.8690332968888472,3.065817444464423,2.9942208333333333,3.0164166666666667,1.6378208333333333,1.5997916666666667
DK0012R,2018-03-13 07:00:00,2018-03-14 07:00:00,24.0,0.703,1.39138353623295,1.6995458494110387,1.0318249999999998,1.020275,1.3031916666666665,1.2441916666666666
DK0012R,2018-03-14 07:00:00,2018-03-15 07:00:00,24.0,0.667,0.5673501893082157,0.7643317836196512,0.4763,0.4680125,0.5259166666666667,0.49504583333333335
DK0012R,2018-03-15 07:00:00,2018-03-16 07:00:00,24.0,0.351,0.20596879660164427,0.2977476340648834,0.19516250000000002,0.19637499999999997,0.18521666666666667,0.18321666666666667
DK0012R,2018-03-16 07:00:00,2018-03-17 07:00:00,24.0,0.341,0.4635820300895726,0.581110031046888,0.11044999999999999,0.11342916666666668,0.14845416666666666,0.14717083333333333
DK0012R,2018-03-17 07:00:00,2018-03-18 07:00:00,24.0,0.319,0.4612392188715522,0.5413001272832187,0.08936666666666666,0.09272499999999999,0.1691666666666667,0.16797499999999999
DK0012R,2018-03-18 07:00:00,2018-03-19 07:00:00,24.0,0.509,0.7575660596868907,0.9586646607425896,0.3105833333333333,0.30764166666666665,0.38221666666666665,0.38152500000000006
DK0012R,2018-03-19 07:00:00,2018-03-20 07:00:00,24.0,0.643,0.5681482963339953,0.7344821921130666,0.4807875,0.48247083333333335,0.47279583333333336,0.4711416666666666
DK0012R,2018-03-20 07:00:00,2018-03-21 07:00:00,24.0,0.283,0.6781473226753837,0.8222529328976957,0.34997083333333334,0.3503083333333333,0.2633833333333333,0.25795416666666665
DK0012R,2018-03-21 07:00:00,2018-03-22 07:00:00,24.0,0.492,0.48325823277857327,0.5790676446142506,0.4790208333333334,0.4834875,0.42096666666666666,0.4213458333333333
DK0012R,2018-03-22 07:00:00,2018-03-23 07:00:00,24.0,0.778,0.32782076092714163,0.39870265008485184,0.7292708333333332,0.7371625,0.9199541666666665,0.9184875
DK0012R,2018-03-23 07:00:00,2018-03-24 07:00:00,24.0,1.877,1.1148070167766557,1.1886927850492153,1.5865958333333332,1.5889708333333334,1.6579708333333334,1.6585166666666666
DK0012R,2018-03-24 07:00:00,2018-03-25 07:00:00,24.0,3.308,4.2644177885265675,4.114863928528602,2.7824375000000003,2.7966583333333332,2.7492791666666663,2.747033333333333
DK0012R,2018-03-25 07:00:00,2018-03-26 07:00:00,24.0,3.649,3.1574327982454498,3.1196199268488023,2.5869208333333336,2.5946833333333332,2.6097208333333333,2.609220833333333
DK0012R,2018-03-26 07:00:00,2018-03-27 07:00:00,24.0,0.845,0.7732274890282644,0.9381972821981228,1.0537291666666668,1.0542208333333332,0.8738166666666668,0.8718875
DK0012R,2018-03-27 07:00:00,2018-03-28 07:00:00,24.0,1.053,0.6263919340044167,0.7263911990695947,0.5473458333333334,0.5434416666666666,0.7960958333333333,0.7914249999999999
DK0012R,2018-03-28 07:00:00,2018-03-29 07:00:00,24.0,0.643,1.4143112665552595,1.460731013692828,0.9166541666666665,0.9512583333333332,0.5931791666666667,0.5939833333333334
DK0012R,2018-03-29 07:00:00,2018-03-30 07:00:00,24.0,0.502,0.979735768279603,0.9965296294903355,0.4791375,0.5026708333333333,0.2381916666666667,0.237425
DK0012R,2018-03-30 07:00:00,2018-03-31 07:00:00,24.0,0.76,1.4725163749947103,1.5599015375934637,0.8268583333333334,0.8374458333333333,0.6662125,0.6600499999999999
DK0012R,2018-03-31 07:00:00,2018-04-01 07:00:00,24.0,0.846,1.2643259178525565,1.4668855530828342,0.6774916666666666,0.6731416666666666,0.7938958333333334,0.7554958333333334
DK0012R,2018-04-01 07:00:00,2018-04-02 07:00:00,24.0,0.765,1.3143320535378156,1.5222690580286937,0.7464958333333334,0.7496833333333335,0.7618708333333334,0.7382125
DK0012R,2018-04-02 07:00:00,2018-04-03 07:00:00,24.0,0.793,1.4776830970805495,1.5985133672669836,0.9520750000000001,0.9524666666666667,0.3561,0.3541625
DK0012R,2018-04-03 07:00:00,2018-04-04 07:00:00,24.0,1.843,2.043171593678254,1.9298246889867936,2.0309875,2.026216666666667,1.0190041666666667,1.0037583333333333
DK0012R,2018-04-04 07:00:00,2018-04-05 07:00:00,24.0,1.506,1.8436803161750532,1.7392767405937946,1.7659708333333333,1.7678083333333332,0.8249708333333334,0.8172916666666667
DK0012R,2018-04-05 07:00:00,2018-04-06 07:00:00,24.0,0.611,0.9017848509252117,0.8690989547944402,0.8621541666666667,0.8597666666666667,0.38732916666666667,0.3863833333333333
DK0012R,2018-04-06 07:00:00,2018-04-07 07:00:00,24.0,0.493,0.4790265953768828,0.5557705228935298,0.47753333333333337,0.4803041666666667,0.33364583333333336,0.3329708333333333
DK0012R,2018-04-07 07:00:00,2018-04-08 07:00:00,24.0,1.881,2.1957260066071664,2.137463961647943,1.6749833333333335,1.6784541666666666,1.2297916666666666,1.2286125
DK0012R,2018-04-08 07:00:00,2018-04-09 07:00:00,24.0,2.991,3.115360338943296,2.858107296585814,1.7860541666666665,1.7810458333333334,1.3698958333333333,1.3539625
DK0012R,2018-04-09 07:00:00,2018-04-10 07:00:00,24.0,3.337,4.141420423978261,3.9283048041181776,3.051758333333334,3.0550625000000005,2.1357,2.0957125
DK0012R,2018-04-10 07:00:00,2018-04-11 07:00:00,24.0,0.545,0.9707634639360251,0.9136624388042179,0.4219333333333333,0.4079875,0.26504583333333337,0.2514166666666667
DK0012R,2018-04-11 07:00:00,2018-04-12 07:00:00,24.0,0.323,0.8290900569360051,0.8156760910934304,0.46060000000000006,0.4503166666666667,0.19625833333333334,0.19045416666666667
