site,st,ed,dtH,Obs,DEHM_noBD,DEHM_BD,EMEP_noBD,EMEP_BD
DK0012R,2018-01-01 07:00:00,2018-01-02 07:00:00,24.0,0.283,0.03851991632819169,0.06303508439192711,0.10260833333333334,0.09918333333333333
DK0012R,2018-01-02 07:00:00,2018-01-03 07:00:00,24.0,0.248,0.06470647217819546,0.0779281250100558,0.1625208333333333,0.16263333333333332
DK0012R,2018-01-03 07:00:00,2018-01-04 07:00:00,24.0,0.148,0.04067338087948233,0.04884409943683098,0.14843333333333333,0.14251250000000001
DK0012R,2018-01-04 07:00:00,2018-01-05 07:00:00,24.0,0.125,0.11230247716349978,0.11255680526630048,0.14921666666666666,0.15355416666666666
DK0012R,2018-01-05 07:00:00,2018-01-06 07:00:00,24.0,0.171,0.12596392611207255,0.1339381413056507,0.2353708333333333,0.24259166666666668
DK0012R,2018-01-06 07:00:00,2018-01-07 07:00:00,24.0,0.123,0.0484958651166845,0.10467100258975598,0.06524999999999999,0.06480000000000001
DK0012R,2018-01-07 07:00:00,2018-01-08 07:00:00,24.0,0.192,0.01628759320565105,0.11976116967475821,0.06290416666666666,0.06281250000000001
DK0012R,2018-01-08 07:00:00,2018-01-09 07:00:00,24.0,0.298,0.05496039056769802,0.14195056625629288,0.33149999999999996,0.334925
DK0012R,2018-01-09 07:00:00,2018-01-10 07:00:00,24.0,0.733,0.2930983947205826,0.3545096418344569,0.22137083333333338,0.22817500000000002
DK0012R,2018-01-10 07:00:00,2018-01-11 07:00:00,24.0,1.713,0.7028150269481261,0.7075440578193538,0.6332958333333334,0.6469666666666667
DK0012R,2018-01-11 07:00:00,2018-01-12 07:00:00,24.0,0.524,0.41314339558064406,0.4848290792622607,0.5220708333333334,0.550825
DK0012R,2018-01-12 07:00:00,2018-01-13 07:00:00,24.0,0.328,0.35701577489497777,0.40414183160259515,0.4659041666666666,0.48661250000000006
DK0012R,2018-01-13 07:00:00,2018-01-14 07:00:00,24.0,0.815,0.3858383782824086,0.43975369592897745,0.4371041666666667,0.4543791666666667
DK0012R,2018-01-14 07:00:00,2018-01-15 07:00:00,24.0,1.645,0.5779657296990405,0.6262904884181262,0.3961833333333333,0.39784166666666665
DK0012R,2018-01-15 07:00:00,2018-01-16 07:00:00,24.0,1.429,0.3955921466087113,0.4085165503705038,0.33735833333333337,0.3380541666666666
DK0012R,2018-01-16 07:00:00,2018-01-17 07:00:00,24.0,0.125,0.03737072239923858,0.044030479674659985,0.0961625,0.09920833333333334
DK0012R,2018-01-17 07:00:00,2018-01-18 07:00:00,24.0,0.15,0.038135149827871466,0.04210662404458924,0.12773749999999998,0.13393333333333335
DK0012R,2018-01-18 07:00:00,2018-01-19 07:00:00,24.0,0.243,0.060343634164463235,0.06334998770678264,0.19024166666666667,0.19284166666666666
DK0012R,2018-01-19 07:00:00,2018-01-20 07:00:00,24.0,0.262,0.09171942782117655,0.0979554134655531,0.19910833333333333,0.20367500000000002
DK0012R,2018-01-20 07:00:00,2018-01-21 07:00:00,24.0,0.42,0.14532646496772758,0.16030793718355973,0.29670833333333335,0.3235125
DK0012R,2018-01-21 07:00:00,2018-01-22 07:00:00,24.0,0.455,0.23497605580449665,0.25171983594339786,0.716775,0.7389583333333333
DK0012R,2018-01-22 07:00:00,2018-01-23 07:00:00,24.0,1.579,0.6027596627858717,0.6310434905958417,0.6367583333333333,0.6334291666666666
DK0012R,2018-01-23 07:00:00,2018-01-24 07:00:00,24.0,1.131,0.2948365830530604,0.308009102311257,0.41331249999999997,0.4242208333333333
DK0012R,2018-01-24 07:00:00,2018-01-25 07:00:00,24.0,0.271,0.20402957706518599,0.21242724899396545,0.22730833333333336,0.22167916666666665
DK0012R,2018-01-25 07:00:00,2018-01-26 07:00:00,24.0,0.456,0.12628682841042585,0.12918871826127912,0.2458916666666667,0.23457916666666667
DK0012R,2018-01-26 07:00:00,2018-01-27 07:00:00,24.0,0.437,0.16454366433500953,0.16590310982488107,0.4474666666666667,0.46599999999999997
DK0012R,2018-01-27 07:00:00,2018-01-28 07:00:00,24.0,0.453,0.11354523811337118,0.1163772053650286,0.266225,0.2800916666666667
DK0012R,2018-01-28 07:00:00,2018-01-29 07:00:00,24.0,0.137,0.06702417980790298,0.07063211194014117,0.06945,0.06615416666666667
DK0012R,2018-01-29 07:00:00,2018-01-30 07:00:00,24.0,0.059,0.060951439236822676,0.06281371169409311,0.03735416666666667,0.035649999999999994
DK0012R,2018-01-30 07:00:00,2018-01-31 07:00:00,24.0,0.181,0.11214132701626578,0.11904558603338067,0.15093333333333334,0.149525
DK0012R,2018-01-31 07:00:00,2018-02-01 07:00:00,24.0,0.264,0.14950995453797894,0.1459635138966876,0.11765416666666667,0.12116666666666666
DK0012R,2018-02-01 07:00:00,2018-02-02 07:00:00,24.0,0.407,0.0986090611211999,0.09858039586206457,0.34545833333333337,0.34127083333333336
DK0012R,2018-02-02 07:00:00,2018-02-03 07:00:00,24.0,0.326,0.05959787877064817,0.05943826790714799,0.19580833333333336,0.19813333333333336
DK0012R,2018-02-03 07:00:00,2018-02-04 07:00:00,24.0,0.441,0.27795280039679615,0.27428258044148934,0.1541875,0.15288333333333334
DK0012R,2018-02-04 07:00:00,2018-02-05 07:00:00,24.0,0.459,0.4104797051589539,0.41514508551210055,0.19552916666666667,0.1952625
DK0012R,2018-02-05 07:00:00,2018-02-06 07:00:00,24.0,0.484,0.4904169631813269,0.5027669195565779,0.201475,0.2047
DK0012R,2018-02-06 07:00:00,2018-02-07 07:00:00,24.0,0.588,0.4269349728826019,0.4361315615225994,0.14577916666666665,0.1466375
DK0012R,2018-02-07 07:00:00,2018-02-08 07:00:00,24.0,0.705,0.4082475957975273,0.41186287577012726,0.1331375,0.13378333333333334
DK0012R,2018-02-08 07:00:00,2018-02-09 07:00:00,24.0,0.845,0.5641808531911291,0.5681257185521514,0.26548333333333335,0.26592083333333333
DK0012R,2018-02-09 07:00:00,2018-02-10 07:00:00,24.0,3.344,1.228373600766414,1.203966499228265,1.141775,1.1440708333333334
DK0012R,2018-02-10 07:00:00,2018-02-11 07:00:00,24.0,2.509,1.0360591597774589,0.9974675166815729,1.0254125,1.0331541666666666
DK0012R,2018-02-11 07:00:00,2018-02-12 07:00:00,24.0,0.326,0.11784418349973752,0.11914422419432831,0.18912083333333332,0.19076666666666667
DK0012R,2018-02-12 07:00:00,2018-02-13 07:00:00,24.0,0.1,0.05737405156056163,0.05672879665738559,0.037804166666666666,0.03796666666666667
DK0012R,2018-02-13 07:00:00,2018-02-14 07:00:00,24.0,0.752,0.2948828613284032,0.2911131260867679,0.1845416666666667,0.18542500000000003
DK0012R,2018-02-14 07:00:00,2018-02-15 07:00:00,24.0,0.761,0.32270558998453985,0.32236126340812304,0.24882916666666666,0.25248750000000003
DK0012R,2018-02-15 07:00:00,2018-02-16 07:00:00,24.0,1.575,0.3059684040966701,0.3042597794258561,0.33812083333333326,0.3394875
DK0012R,2018-02-16 07:00:00,2018-02-17 07:00:00,24.0,0.237,0.12828904200211955,0.12470975843133003,0.07797916666666667,0.07796666666666667
DK0012R,2018-02-17 07:00:00,2018-02-18 07:00:00,24.0,0.332,0.14283361761939464,0.14047709385301604,0.20947916666666666,0.21625416666666666
DK0012R,2018-02-18 07:00:00,2018-02-19 07:00:00,24.0,0.529,0.2642205402016079,0.2591285983337662,0.2251375,0.22916666666666666
DK0012R,2018-02-19 07:00:00,2018-02-20 07:00:00,24.0,1.643,0.49575487380538624,0.4789872378246394,0.33844583333333333,0.3410125
DK0012R,2018-02-20 07:00:00,2018-02-21 07:00:00,24.0,1.248,0.49934970478626467,0.48717026932813745,0.4478333333333333,0.4507666666666666
DK0012R,2018-02-21 07:00:00,2018-02-22 07:00:00,24.0,1.214,0.45933483646563683,0.43834630979709827,0.4052625,0.40428333333333333
DK0012R,2018-02-22 07:00:00,2018-02-23 07:00:00,24.0,0.785,0.4470915754828367,0.4456392732817523,0.16965,0.1718666666666667
DK0012R,2018-02-23 07:00:00,2018-02-24 07:00:00,24.0,0.474,0.3044854304817609,0.30483895477555634,0.15637916666666665,0.15638333333333332
DK0012R,2018-02-24 07:00:00,2018-02-25 07:00:00,24.0,0.386,0.3713691315251162,0.3728957994230752,0.12176666666666668,0.12172500000000001
DK0012R,2018-02-25 07:00:00,2018-02-26 07:00:00,24.0,0.432,0.3941064218706927,0.39170941700532724,0.13853333333333331,0.13797916666666665
DK0012R,2018-02-26 07:00:00,2018-02-27 07:00:00,24.0,0.198,0.28141894109518023,0.27856096171119665,0.11283333333333334,0.11216666666666668
DK0012R,2018-02-27 07:00:00,2018-02-28 07:00:00,24.0,0.456,0.5327607216693554,0.5242902353008277,0.12238333333333333,0.12184166666666667
DK0012R,2018-02-28 07:00:00,2018-03-01 07:00:00,24.0,0.826,0.7297643284997344,0.726085951714143,0.12237916666666666,0.12214166666666666
DK0012R,2018-03-01 07:00:00,2018-03-02 07:00:00,24.0,0.874,0.5896040758400686,0.5881245583269409,0.10214583333333334,0.1019125
DK0012R,2018-03-02 07:00:00,2018-03-03 07:00:00,24.0,1.344,0.6385118616004823,0.6345903441317714,0.20668333333333333,0.20714583333333333
DK0012R,2018-03-03 07:00:00,2018-03-04 07:00:00,24.0,2.869,0.7049503485268479,0.7030739072533629,0.42096249999999996,0.42191249999999997
DK0012R,2018-03-04 07:00:00,2018-03-05 07:00:00,24.0,3.574,0.6702716780028446,0.6737496126107722,0.5118,0.5131958333333334
DK0012R,2018-03-05 07:00:00,2018-03-06 07:00:00,24.0,5.063,0.655204698460402,0.6631802195223582,0.6892625,0.6943083333333333
DK0012R,2018-03-06 07:00:00,2018-03-07 07:00:00,24.0,4.436,0.7744329185521556,0.7973326566857364,0.9624833333333335,0.9632416666666667
DK0012R,2018-03-07 07:00:00,2018-03-08 07:00:00,24.0,2.14,0.7056527388880954,0.7251911499370395,0.5562041666666666,0.5628625
DK0012R,2018-03-08 07:00:00,2018-03-09 07:00:00,24.0,1.101,0.33982520416029044,0.3449271983269848,0.7721125,0.762125
DK0012R,2018-03-09 07:00:00,2018-03-10 07:00:00,24.0,1.016,0.3578328826786245,0.35924283847481453,0.4988708333333333,0.5008333333333334
DK0012R,2018-03-10 07:00:00,2018-03-11 07:00:00,24.0,0.809,0.41979990739100287,0.42117486872010423,0.2990291666666667,0.30097083333333335
DK0012R,2018-03-11 07:00:00,2018-03-12 07:00:00,24.0,1.168,0.5318617385718626,0.5412635162465428,0.7904208333333335,0.8050416666666665
DK0012R,2018-03-12 07:00:00,2018-03-13 07:00:00,24.0,0.668,0.6122169372690025,0.635461130289223,0.5496458333333333,0.5521166666666667
DK0012R,2018-03-13 07:00:00,2018-03-14 07:00:00,24.0,0.281,0.4141250864663955,0.4211548010778236,0.29214999999999997,0.28929166666666667
DK0012R,2018-03-14 07:00:00,2018-03-15 07:00:00,24.0,0.515,0.17258782041518939,0.1747669167623732,0.2319,0.230225
DK0012R,2018-03-15 07:00:00,2018-03-16 07:00:00,24.0,0.353,0.19671522670111474,0.20049209606419807,0.16152916666666667,0.1616375
DK0012R,2018-03-16 07:00:00,2018-03-17 07:00:00,24.0,0.531,0.5569743190837101,0.5578601477904647,0.0832125,0.08359583333333333
DK0012R,2018-03-17 07:00:00,2018-03-18 07:00:00,24.0,0.382,0.5186061865814825,0.5144825901696587,0.07164166666666666,0.07210833333333333
DK0012R,2018-03-18 07:00:00,2018-03-19 07:00:00,24.0,0.276,0.26298604357051436,0.2662670898972685,0.09374583333333335,0.08790833333333332
