site,st,ed,dtH,Obs,DEHM_noBD,DEHM_BD,EMEP_noBD,EMEP_BD,MATCH_noBD,MATCH_BD
DK0012R,2018-01-01 07:00:00,2018-01-02 07:00:00,24.0,0.283,0.06553057458611959,0.06609654397109103,0.10260833333333334,0.09918333333333333,0.0578875,0.0566375
DK0012R,2018-01-02 07:00:00,2018-01-03 07:00:00,24.0,0.248,0.08194242473546437,0.08532878646008517,0.1625208333333333,0.16263333333333332,0.056008333333333334,0.05345
DK0012R,2018-01-03 07:00:00,2018-01-04 07:00:00,24.0,0.148,0.04663480848978225,0.04677444836926133,0.14843333333333333,0.14251250000000001,0.06605416666666668,0.0645125
DK0012R,2018-01-04 07:00:00,2018-01-05 07:00:00,24.0,0.125,0.12544760079290904,0.11899525503670898,0.14921666666666666,0.15355416666666666,0.08367916666666668,0.082275
DK0012R,2018-01-05 07:00:00,2018-01-06 07:00:00,24.0,0.171,0.15045516883050641,0.14717071940057685,0.2353708333333333,0.24259166666666668,0.20132499999999998,0.19964166666666663
DK0012R,2018-01-06 07:00:00,2018-01-07 07:00:00,24.0,0.123,0.11294337352282696,0.12083586574473583,0.06524999999999999,0.06480000000000001,0.14129166666666668,0.13992916666666666
DK0012R,2018-01-07 07:00:00,2018-01-08 07:00:00,24.0,0.192,0.1110596053588029,0.12602578717464907,0.06290416666666666,0.06281250000000001,0.040404166666666665,0.03817083333333333
DK0012R,2018-01-08 07:00:00,2018-01-09 07:00:00,24.0,0.298,0.15376752067081328,0.1676326808281141,0.33149999999999996,0.334925,0.08205,0.07962083333333334
DK0012R,2018-01-09 07:00:00,2018-01-10 07:00:00,24.0,0.733,0.41164183738215776,0.41320306829232845,0.22137083333333338,0.22817500000000002,0.2608458333333333,0.25783333333333336
DK0012R,2018-01-10 07:00:00,2018-01-11 07:00:00,24.0,1.713,0.6754522547169461,0.6589203109685968,0.6332958333333334,0.6469666666666667,1.0394249999999998,1.0204541666666667
DK0012R,2018-01-11 07:00:00,2018-01-12 07:00:00,24.0,0.524,0.6250033299550314,0.6156437130640481,0.5220708333333334,0.550825,0.6864291666666666,0.6770375
DK0012R,2018-01-12 07:00:00,2018-01-13 07:00:00,24.0,0.328,0.5812168797373184,0.5936099641892412,0.4659041666666666,0.48661250000000006,0.6272333333333333,0.62235
DK0012R,2018-01-13 07:00:00,2018-01-14 07:00:00,24.0,0.815,0.4703445031256641,0.4794967287374969,0.4371041666666667,0.4543791666666667,0.6721333333333334,0.6698625000000001
DK0012R,2018-01-14 07:00:00,2018-01-15 07:00:00,24.0,1.645,0.6216401408751876,0.6210784345662937,0.3961833333333333,0.39784166666666665,0.91295,0.9124875000000001
DK0012R,2018-01-15 07:00:00,2018-01-16 07:00:00,24.0,1.429,0.40229971006040727,0.3949144209561212,0.33735833333333337,0.3380541666666666,0.5358458333333334,0.5338833333333334
