site,st,ed,dtH,Obs,EMEP_noBD,EMEP_BD,MATCH_noBD,MATCH_BD
DK0012R,2019-01-02 07:00:00,2019-01-03 07:00:00,24.0,0.18,0.29109999999999997,0.2737083333333334,0.257191564,0.266230482
DK0012R,2019-01-03 07:00:00,2019-01-04 07:00:00,24.0,0.405,0.5889833333333333,0.6434708333333333,0.44251903499999995,0.419677111
DK0012R,2019-01-04 07:00:00,2019-01-05 07:00:00,24.0,0.581,0.3444875,0.3348791666666666,0.45597857199999997,0.461046593
DK0012R,2019-01-05 07:00:00,2019-01-06 07:00:00,24.0,0.431,0.6123916666666667,0.6248,0.7120754830000001,0.6146563079999999
DK0012R,2019-01-06 07:00:00,2019-01-07 07:00:00,24.0,0.523,0.8282958333333333,1.0693625,0.533726116,0.519705662
DK0012R,2019-01-07 07:00:00,2019-01-08 07:00:00,24.0,0.478,0.3765958333333333,0.3575458333333333,0.3253343309999999,0.338806223
DK0012R,2019-01-08 07:00:00,2019-01-09 07:00:00,24.0,0.101,0.19145416666666668,0.17889166666666667,0.11673004,0.11878838299999998
DK0012R,2019-01-09 07:00:00,2019-01-10 07:00:00,24.0,0.172,0.3988125,0.37984166666666663,0.41915078800000005,0.46456776800000005
DK0012R,2019-01-10 07:00:00,2019-01-11 07:00:00,24.0,0.361,0.7001291666666667,0.7384499999999999,0.5626096349999999,0.610712592
DK0012R,2019-01-11 07:00:00,2019-01-12 07:00:00,24.0,0.442,0.3580166666666667,0.34408333333333335,0.450151954,0.463285319
DK0012R,2019-01-12 07:00:00,2019-01-13 07:00:00,24.0,0.47,0.32692916666666666,0.3182333333333333,0.39634098700000003,0.415451701
DK0012R,2019-01-13 07:00:00,2019-01-14 07:00:00,24.0,0.181,0.24702499999999997,0.226125,0.24489092599999998,0.243951946
DK0012R,2019-01-14 07:00:00,2019-01-15 07:00:00,24.0,0.209,0.29144583333333335,0.28418750000000004,0.240040353,0.24887912
DK0012R,2019-01-15 07:00:00,2019-01-16 07:00:00,24.0,0.246,0.33164583333333336,0.3024,0.41521201399999996,0.41407782500000007
DK0012R,2019-01-16 07:00:00,2019-01-17 07:00:00,24.0,0.236,0.26149583333333337,0.24527083333333333,0.223968969,0.26314420299999997
DK0012R,2019-01-17 07:00:00,2019-01-18 07:00:00,24.0,0.14,0.3595,0.3506541666666667,0.28965061999999997,0.34250530999999995
DK0012R,2019-01-18 07:00:00,2019-01-19 07:00:00,24.0,0.465,0.6709041666666667,0.6689041666666666,0.7981947750000001,0.754818841
DK0012R,2019-01-19 07:00:00,2019-01-20 07:00:00,24.0,0.107,0.7010416666666667,0.7729583333333334,0.44896340300000004,0.439274612
DK0012R,2019-01-20 07:00:00,2019-01-21 07:00:00,24.0,0.111,0.5156791666666667,0.5666625,0.286450675,0.24428058900000002
DK0012R,2019-01-21 07:00:00,2019-01-22 07:00:00,24.0,0.046,0.35115,0.3368333333333333,0.39625450199999995,0.372135071
DK0012R,2019-01-22 07:00:00,2019-01-23 07:00:00,24.0,0.03,0.16265000000000002,0.17235,0.11124194899999999,0.10761452099999998
DK0012R,2019-01-23 07:00:00,2019-01-24 07:00:00,24.0,0.002,0.025058333333333332,0.022745833333333337,0.02535740199999999,0.028500513999999987
DK0012R,2019-01-24 07:00:00,2019-01-25 07:00:00,24.0,0.025,0.09647500000000002,0.08234999999999999,0.205945495,0.24192819699999998
DK0012R,2019-01-25 07:00:00,2019-01-26 07:00:00,24.0,0.006,0.018708333333333334,0.020179166666666668,0.20952844499999998,0.274876511
DK0012R,2019-01-26 07:00:00,2019-01-27 07:00:00,24.0,0.003,0.02027083333333333,0.018554166666666667,0.143735599,0.15066675399999999
DK0012R,2019-01-27 07:00:00,2019-01-28 07:00:00,24.0,0.027,0.25436250000000005,0.24681250000000002,0.3426165049999999,0.359256219
DK0012R,2019-01-28 07:00:00,2019-01-29 07:00:00,24.0,0.177,0.39943333333333336,0.39839583333333334,0.276885434,0.323031359
DK0012R,2019-01-29 07:00:00,2019-01-30 07:00:00,24.0,0.243,0.4717291666666666,0.47256666666666663,0.410702439,0.410299666
DK0012R,2019-01-30 07:00:00,2019-01-31 07:00:00,24.0,0.02,0.12609583333333332,0.13256666666666667,0.046726609999999995,0.05950909299999999
DK0012R,2019-01-31 07:00:00,2019-02-01 07:00:00,24.0,0.003,0.016520833333333332,0.01639583333333333,0.05224188199999999,0.056828057999999994
DK0012R,2019-02-01 07:00:00,2019-02-02 07:00:00,24.0,0.002,0.013566666666666666,0.013908333333333333,0.016582881,0.020126294999999992
DK0012R,2019-02-02 07:00:00,2019-02-03 07:00:00,24.0,0.003,0.14525416666666666,0.14577916666666668,0.053949343000000004,0.06299814499999999
DK0012R,2019-02-03 07:00:00,2019-02-04 07:00:00,24.0,0.158,0.5235666666666666,0.6156666666666667,0.44566461799999996,0.332789338
DK0012R,2019-02-04 07:00:00,2019-02-05 07:00:00,24.0,0.82,0.337725,0.34794166666666665,0.205602026,0.22232822499999996
DK0012R,2019-02-05 07:00:00,2019-02-06 07:00:00,24.0,0.414,0.33147916666666666,0.30796666666666667,0.372881313,0.425402418
DK0012R,2019-02-06 07:00:00,2019-02-07 07:00:00,24.0,0.153,0.07813333333333333,0.08264583333333332,0.147669431,0.18826301899999998
DK0012R,2019-02-07 07:00:00,2019-02-08 07:00:00,24.0,0.293,0.28902500000000003,0.26477083333333334,0.338228009,0.38357580099999994
DK0012R,2019-02-08 07:00:00,2019-02-09 07:00:00,24.0,0.391,0.2529166666666667,0.23015,0.28765652299999994,0.286421023
DK0012R,2019-02-09 07:00:00,2019-02-10 07:00:00,24.0,0.401,0.27667083333333337,0.23182083333333334,0.457952901,0.426946793
DK0012R,2019-02-10 07:00:00,2019-02-11 07:00:00,24.0,0.268,0.2289125,0.21466666666666667,0.3543809359999999,0.388797024
DK0012R,2019-02-11 07:00:00,2019-02-12 07:00:00,24.0,0.215,0.2802208333333333,0.2546541666666667,0.345337076,0.35020247499999996
DK0012R,2019-02-12 07:00:00,2019-02-13 07:00:00,24.0,0.355,0.4038125000000001,0.3653458333333333,0.37769235,0.39645712400000005
DK0012R,2019-02-13 07:00:00,2019-02-14 07:00:00,24.0,0.382,0.30135833333333334,0.2660666666666667,0.232049139,0.23445836399999997
DK0012R,2019-02-14 07:00:00,2019-02-15 07:00:00,24.0,0.076,0.227025,0.22163750000000002,0.18901420300000002,0.25094734700000004
DK0012R,2019-02-15 07:00:00,2019-02-16 07:00:00,24.0,0.911,0.3087,0.37982083333333333,0.8652008819999999,0.9353080939999999
DK0012R,2019-02-16 07:00:00,2019-02-17 07:00:00,24.0,1.47,0.20135833333333333,0.20909166666666668,0.5072963,0.530526171
DK0012R,2019-02-17 07:00:00,2019-02-18 07:00:00,24.0,0.538,0.26525000000000004,0.2570875,0.304839857,0.328163626
DK0012R,2019-02-18 07:00:00,2019-02-19 07:00:00,24.0,1.969,0.4275541666666667,0.529125,0.8824212810000001,0.9223131050000001
DK0012R,2019-02-19 07:00:00,2019-02-20 07:00:00,24.0,0.917,0.32244999999999996,0.28765,0.44156522900000006,0.45373984599999995
DK0012R,2019-02-20 07:00:00,2019-02-21 07:00:00,24.0,0.818,0.31825,0.28824999999999995,0.294819952,0.30898866599999997
DK0012R,2019-02-21 07:00:00,2019-02-22 07:00:00,24.0,0.426,0.30737499999999995,0.28639583333333335,0.187027519,0.22226645
DK0012R,2019-02-22 07:00:00,2019-02-23 07:00:00,24.0,0.165,0.28814999999999996,0.25627083333333334,0.365013649,0.38250585800000003
DK0012R,2019-02-23 07:00:00,2019-02-24 07:00:00,24.0,1.268,0.41838749999999997,0.4371375,0.553096285,0.6290943609999999
DK0012R,2019-02-24 07:00:00,2019-02-25 07:00:00,24.0,2.416,0.5020416666666666,0.5095999999999999,0.378539903,0.417784325
DK0012R,2019-02-25 07:00:00,2019-02-26 07:00:00,24.0,1.538,0.3513375,0.31870000000000004,0.257665996,0.275701825
DK0012R,2019-02-26 07:00:00,2019-02-27 07:00:00,24.0,2.115,0.46701250000000005,0.5417916666666667,0.39257765399999994,0.471701545
DK0012R,2019-02-28 07:00:00,2019-03-01 07:00:00,24.0,0.805,0.7861791666666665,0.8959208333333333,1.0239428640000001,0.9305860130000001
DK0012R,2019-03-01 07:00:00,2019-03-02 07:00:00,24.0,0.883,0.30269583333333333,0.3137041666666666,1.880769527,1.6031502059999998
DK0012R,2019-03-03 07:00:00,2019-03-04 07:00:00,24.0,2.13,0.6013000000000001,0.5297541666666666,1.087333898,1.083182618
DK0012R,2019-03-04 07:00:00,2019-03-05 07:00:00,24.0,0.954,0.4301041666666667,0.385175,0.5281342430000001,0.5272100890000001
DK0012R,2019-03-05 07:00:00,2019-03-06 07:00:00,24.0,0.208,0.7981250000000001,0.8065041666666666,1.706410825,1.885148139
DK0012R,2019-03-06 07:00:00,2019-03-07 07:00:00,24.0,1.17,0.7252625,0.7088833333333334,1.310845732,1.321905928
DK0012R,2019-03-07 07:00:00,2019-03-08 07:00:00,24.0,1.056,1.1229875,1.0062166666666668,1.423340478,1.3517185429999998
DK0012R,2019-03-08 07:00:00,2019-03-09 07:00:00,24.0,0.44,0.7938791666666667,0.7404541666666665,1.021069091,1.058450379
DK0012R,2019-03-09 07:00:00,2019-03-10 07:00:00,24.0,0.234,0.7030791666666666,0.6486041666666668,0.696950492,0.6769082110000001
DK0012R,2019-03-10 07:00:00,2019-03-11 07:00:00,24.0,0.213,1.6656333333333333,1.7789291666666667,1.802819361,1.9781293979999999
DK0012R,2019-03-11 07:00:00,2019-03-12 07:00:00,24.0,0.285,1.5341125,1.5665083333333332,1.9877687689999999,2.062457215
DK0012R,2019-03-12 07:00:00,2019-03-13 07:00:00,24.0,0.227,1.3413833333333331,1.3584375,0.794824331,0.8434165460000002
DK0012R,2019-03-13 07:00:00,2019-03-14 07:00:00,24.0,0.322,1.2765208333333333,1.2009083333333332,1.099889049,1.138261208
DK0012R,2019-03-14 07:00:00,2019-03-15 07:00:00,24.0,0.104,1.2477999999999998,1.2396708333333333,1.281947387,1.3913904480000003
DK0012R,2019-03-15 07:00:00,2019-03-16 07:00:00,24.0,0.108,0.8908499999999999,0.8234291666666665,0.8218546,0.829027913
DK0012R,2019-03-16 07:00:00,2019-03-17 07:00:00,24.0,0.209,1.1723291666666666,1.0616375,0.6606440889999999,0.645412845
DK0012R,2019-03-17 07:00:00,2019-03-18 07:00:00,24.0,0.216,1.1988916666666667,1.1017541666666668,0.9036471709999999,0.88765733
DK0012R,2019-03-18 07:00:00,2019-03-19 07:00:00,24.0,0.204,1.7857500000000002,1.7635291666666666,1.454326818,1.6176376790000002
DK0012R,2019-03-20 07:00:00,2019-03-21 07:00:00,24.0,0.321,2.2399083333333336,2.2786500000000003,1.646521198,1.746613995
DK0012R,2019-03-21 07:00:00,2019-03-22 07:00:00,24.0,0.658,2.0987708333333335,2.013341666666667,1.5380270010000003,1.5388078370000002
DK0012R,2019-03-22 07:00:00,2019-03-23 07:00:00,24.0,0.946,3.1996416666666665,3.4711541666666665,1.909573974,1.9221142990000002
DK0012R,2019-03-23 07:00:00,2019-03-24 07:00:00,24.0,0.924,1.5530875,1.4290208333333332,1.541123164,1.661799391
DK0012R,2019-03-24 07:00:00,2019-03-25 07:00:00,24.0,0.563,1.6964291666666667,1.588275,1.258509952,1.3454249059999999
DK0012R,2019-03-25 07:00:00,2019-03-26 07:00:00,24.0,0.497,1.2521,1.1685541666666666,0.964488133,0.99176056
DK0012R,2019-03-26 07:00:00,2019-03-27 07:00:00,24.0,0.759,1.8541291666666666,1.7827458333333333,1.7379803210000002,1.8693040869999997
DK0012R,2019-03-27 07:00:00,2019-03-28 07:00:00,24.0,1.159,1.5507833333333334,1.4198416666666667,1.389972094,1.38331522
DK0012R,2019-03-28 07:00:00,2019-03-29 07:00:00,24.0,1.811,2.3166499999999997,2.241241666666667,1.888459279,1.9111183489999999
DK0012R,2019-03-29 07:00:00,2019-03-30 07:00:00,24.0,2.863,2.1113541666666666,2.0545833333333334,1.981307104,2.0627883290000004
DK0012R,2019-03-30 07:00:00,2019-03-31 07:00:00,24.0,2.338,1.9874875,1.8680458333333334,1.350542347,1.3693318310000002
DK0012R,2019-03-31 07:00:00,2019-04-01 07:00:00,24.0,0.855,2.4290791666666665,2.4718541666666667,2.416455146,2.647024156
DK0012R,2019-04-01 07:00:00,2019-04-02 07:00:00,24.0,0.63,1.7515833333333335,1.6262166666666669,1.6917750919999996,1.76444226
DK0012R,2019-04-02 07:00:00,2019-04-03 07:00:00,24.0,1.558,1.2608499999999998,1.2183875000000002,2.028149851,2.223297076
DK0012R,2019-04-03 07:00:00,2019-04-04 07:00:00,24.0,3.025,2.0695083333333333,1.9510625,3.3886824509999998,3.8056216940000005
DK0012R,2019-04-04 07:00:00,2019-04-05 07:00:00,24.0,1.115,2.3099625,2.2592208333333335,2.6847637390000005,3.08682262
DK0012R,2019-04-05 07:00:00,2019-04-06 07:00:00,24.0,0.331,1.9649791666666667,1.8529541666666667,1.8264618890000002,1.9772324250000002
DK0012R,2019-04-06 07:00:00,2019-04-07 07:00:00,24.0,0.28,2.6138958333333333,2.435116666666667,2.468630311,2.711692697
DK0012R,2019-04-07 07:00:00,2019-04-08 07:00:00,24.0,0.314,2.9915374999999997,2.616795833333333,2.915164721,3.064578678
DK0012R,2019-04-08 07:00:00,2019-04-09 07:00:00,24.0,0.182,2.6671166666666664,2.5059375,2.078990676,2.24734979
DK0012R,2019-04-09 07:00:00,2019-04-10 07:00:00,24.0,0.3,2.060825,1.8824375,1.826568142,2.035901378
DK0012R,2019-04-10 07:00:00,2019-04-11 07:00:00,24.0,0.78,2.1378416666666666,1.7986000000000002,1.675738302,1.856968855
