site,st,ed,dtH,Obs,DEHM_noBD,DEHM_BD,EMEP_noBD,EMEP_BD,MATCH_noBD,MATCH_BD
DK0012R,2019-01-02 07:00:00,2019-01-03 07:00:00,24.0,0.07,0.0003991124081486252,0.0003113549073611961,0.018591666666666666,0.019404166666666667,0.1442625,0.1436083333333333
DK0012R,2019-01-03 07:00:00,2019-01-04 07:00:00,24.0,0.245,0.016814266739627246,0.011013003132436331,0.3207625,0.3247833333333333,0.5644541666666666,0.57575
DK0012R,2019-01-04 07:00:00,2019-01-05 07:00:00,24.0,0.165,0.017997219751137505,0.015195412656155585,0.31616249999999996,0.31774166666666664,0.7177833333333333,0.731775
DK0012R,2019-01-05 07:00:00,2019-01-06 07:00:00,24.0,0.374,0.09174631071459523,0.08099945909581216,0.31802916666666664,0.31201666666666666,0.7156791666666668,0.7162625
DK0012R,2019-01-06 07:00:00,2019-01-07 07:00:00,24.0,1.022,0.24748914030045263,0.22550334001436823,1.4769958333333333,1.4754125,1.8615958333333333,1.8675833333333334
DK0012R,2019-01-07 07:00:00,2019-01-08 07:00:00,24.0,0.23,0.04599036588482383,0.03932972245585777,0.29518333333333335,0.29880833333333334,0.5765458333333333,0.5880208333333333
DK0012R,2019-01-08 07:00:00,2019-01-09 07:00:00,24.0,0.093,0.006642847307835847,0.00582129154482718,0.03995,0.0393375,0.18231666666666668,0.18425833333333333
DK0012R,2019-01-09 07:00:00,2019-01-10 07:00:00,24.0,0.128,0.007353608464416,0.003937505381756179,0.040695833333333334,0.03921666666666667,0.1606041666666667,0.16067916666666668
DK0012R,2019-01-10 07:00:00,2019-01-11 07:00:00,24.0,0.376,0.08801203407171289,0.07119826239020555,0.34709166666666663,0.3524583333333333,0.431325,0.45015833333333327
DK0012R,2019-01-11 07:00:00,2019-01-12 07:00:00,24.0,0.212,0.012713870158333552,0.008746287836432868,0.3610083333333334,0.3628291666666667,0.37785833333333335,0.38876666666666665
DK0012R,2019-01-12 07:00:00,2019-01-13 07:00:00,24.0,0.213,0.019024625825936076,0.016685958200468542,0.19412083333333333,0.19747499999999998,0.25933333333333336,0.2667083333333333
DK0012R,2019-01-13 07:00:00,2019-01-14 07:00:00,24.0,0.1,0.001361922740874549,0.0011254299810318897,0.03894583333333333,0.038775,0.15949166666666667,0.16137499999999996
DK0012R,2019-01-14 07:00:00,2019-01-15 07:00:00,24.0,0.077,3.8880854419166075e-05,1.779901252558917e-05,0.024145833333333335,0.0245875,0.139975,0.14272083333333332
DK0012R,2019-01-15 07:00:00,2019-01-16 07:00:00,24.0,0.174,0.0033573217165877374,0.0023788653806798175,0.12785833333333332,0.12765,0.2588083333333333,0.2702625
DK0012R,2019-01-16 07:00:00,2019-01-17 07:00:00,24.0,0.541,0.041764135086109065,0.030688827144455755,0.4126708333333333,0.4042666666666667,0.8135916666666666,0.8455083333333334
DK0012R,2019-01-17 07:00:00,2019-01-18 07:00:00,24.0,0.257,0.031529694987138396,0.02685130496121817,0.10197083333333334,0.10215,0.14475000000000002,0.14475000000000002
DK0012R,2019-01-18 07:00:00,2019-01-19 07:00:00,24.0,0.122,0.03480188886167122,0.021221615452358858,0.23066666666666666,0.23388333333333333,0.213475,0.21401666666666666
DK0012R,2019-01-19 07:00:00,2019-01-20 07:00:00,24.0,1.568,2.064408413454294,1.9376602572120543,1.6745666666666665,1.7004208333333333,1.9557,1.9129833333333333
