site,st,ed,dtH,Obs,DEHM_noBD,DEHM_BD,EMEP_noBD,EMEP_BD,MATCH_noBD,MATCH_BD
DK0012R,2019-01-02 07:00:00,2019-01-03 07:00:00,24.0,0.07,0.0804882746311215,0.08042858079854305,0.018591666666666666,0.019404166666666667,0.1442625,0.1436083333333333
DK0012R,2019-01-03 07:00:00,2019-01-04 07:00:00,24.0,0.245,0.09333617203402435,0.08650855931950087,0.3207625,0.3247833333333333,0.5644541666666666,0.57575
DK0012R,2019-01-04 07:00:00,2019-01-05 07:00:00,24.0,0.165,0.11020763239376084,0.10609268929843703,0.31616249999999996,0.31774166666666664,0.7177833333333333,0.731775
DK0012R,2019-01-05 07:00:00,2019-01-06 07:00:00,24.0,0.374,0.15691081550733663,0.14530671373851453,0.31802916666666664,0.31201666666666666,0.7156791666666668,0.7162625
DK0012R,2019-01-06 07:00:00,2019-01-07 07:00:00,24.0,1.022,0.3903603795596906,0.3670502916219389,1.4769958333333333,1.4754125,1.8615958333333333,1.8675833333333334
DK0012R,2019-01-07 07:00:00,2019-01-08 07:00:00,24.0,0.23,0.1195277389959355,0.11190581301226254,0.29518333333333335,0.29880833333333334,0.5765458333333333,0.5880208333333333
DK0012R,2019-01-08 07:00:00,2019-01-09 07:00:00,24.0,0.093,0.03935764241615658,0.038646126828846765,0.03995,0.0393375,0.18231666666666668,0.18425833333333333
DK0012R,2019-01-09 07:00:00,2019-01-10 07:00:00,24.0,0.128,0.039629554517076955,0.03674379644333265,0.040695833333333334,0.03921666666666667,0.1606041666666667,0.16067916666666668
DK0012R,2019-01-10 07:00:00,2019-01-11 07:00:00,24.0,0.376,0.18034617790338023,0.1625012055577923,0.34709166666666663,0.3524583333333333,0.431325,0.45015833333333327
DK0012R,2019-01-11 07:00:00,2019-01-12 07:00:00,24.0,0.212,0.0833865087131825,0.07851765491207012,0.3610083333333334,0.3628291666666667,0.37785833333333335,0.38876666666666665
DK0012R,2019-01-12 07:00:00,2019-01-13 07:00:00,24.0,0.213,0.08690477598179269,0.08366890591309191,0.19412083333333333,0.19747499999999998,0.25933333333333336,0.2667083333333333
DK0012R,2019-01-13 07:00:00,2019-01-14 07:00:00,24.0,0.1,0.045682665520312304,0.04487535353862863,0.03894583333333333,0.038775,0.15949166666666667,0.16137499999999996
DK0012R,2019-01-14 07:00:00,2019-01-15 07:00:00,24.0,0.077,0.05785844784955502,0.055882607742334924,0.024145833333333335,0.0245875,0.139975,0.14272083333333332
DK0012R,2019-01-15 07:00:00,2019-01-16 07:00:00,24.0,0.174,0.07061249421037846,0.06911057777865043,0.12785833333333332,0.12765,0.2588083333333333,0.2702625
DK0012R,2019-01-16 07:00:00,2019-01-17 07:00:00,24.0,0.541,0.17646484712797625,0.1648973598252715,0.4126708333333333,0.4042666666666667,0.8135916666666666,0.8455083333333334
DK0012R,2019-01-17 07:00:00,2019-01-18 07:00:00,24.0,0.257,0.07780038672670582,0.07352345084310892,0.10197083333333334,0.10215,0.14475000000000002,0.14475000000000002
DK0012R,2019-01-18 07:00:00,2019-01-19 07:00:00,24.0,0.122,0.2435768145903572,0.2280270754200787,0.23066666666666666,0.23388333333333333,0.213475,0.21401666666666666
DK0012R,2019-01-19 07:00:00,2019-01-20 07:00:00,24.0,1.568,2.2536130187242396,2.128243559338232,1.6745666666666665,1.7004208333333333,1.9557,1.9129833333333333
DK0012R,2019-01-20 07:00:00,2019-01-21 07:00:00,24.0,3.11,3.425089354384223,3.1371879064227657,2.4580791666666664,2.5201583333333333,2.4469791666666665,2.4096041666666665
DK0012R,2019-01-21 07:00:00,2019-01-22 07:00:00,24.0,1.072,0.4807561927355988,0.41554500208583756,0.8378166666666665,0.8572083333333333,0.8635250000000001,0.8667124999999999
DK0012R,2019-01-22 07:00:00,2019-01-23 07:00:00,24.0,1.769,3.4868734937796066,3.148681004159888,1.4837750000000003,1.5587708333333332,1.9216166666666668,1.8424791666666664
DK0012R,2019-01-23 07:00:00,2019-01-24 07:00:00,24.0,2.353,2.8125076371859143,2.5251892223629726,0.8904666666666667,0.9041,1.2167625,1.1936583333333333
DK0012R,2019-01-24 07:00:00,2019-01-25 07:00:00,24.0,2.169,1.9270202518091157,1.7775367070081263,0.9124833333333333,0.928725,1.094025,1.0714791666666665
DK0012R,2019-01-25 07:00:00,2019-01-26 07:00:00,24.0,3.029,3.8277517303714084,3.4129612327491876,1.2660458333333333,1.2913958333333333,1.6902041666666667,1.669454166666667
DK0012R,2019-01-26 07:00:00,2019-01-27 07:00:00,24.0,1.418,2.257242188397182,1.9644271422404362,0.931775,0.9516791666666666,1.0887624999999999,1.0703541666666665
DK0012R,2019-01-27 07:00:00,2019-01-28 07:00:00,24.0,0.81,0.4968945632469883,0.46547425534666004,0.85615,0.8502708333333334,0.6615083333333334,0.655325
DK0012R,2019-01-28 07:00:00,2019-01-29 07:00:00,24.0,0.822,0.3233900866685889,0.3100015790987204,0.6507375000000001,0.659575,0.6436083333333333,0.6396625
DK0012R,2019-01-29 07:00:00,2019-01-30 07:00:00,24.0,1.422,1.57071184536731,1.5060955398120381,1.278475,1.318454166666667,1.0608250000000001,1.0439916666666667
DK0012R,2019-01-30 07:00:00,2019-01-31 07:00:00,24.0,1.383,2.552860210239805,2.3657405761664334,0.7072875,0.7121375,0.9509124999999999,0.9326458333333333
DK0012R,2019-01-31 07:00:00,2019-02-01 07:00:00,24.0,3.058,4.0054848688839515,3.5398247984979867,1.3079833333333333,1.3137041666666667,1.7845875,1.7230166666666669
DK0012R,2019-02-01 07:00:00,2019-02-02 07:00:00,24.0,3.01,3.4247524780684473,3.157848229256859,1.5490708333333334,1.5829416666666667,3.1084333333333327,3.0613083333333333
DK0012R,2019-02-02 07:00:00,2019-02-03 07:00:00,24.0,2.254,1.3897814446916197,1.3139094687634623,0.7198166666666665,0.7162333333333333,2.4140625,2.401825
DK0012R,2019-02-03 07:00:00,2019-02-04 07:00:00,24.0,0.691,0.5401988480841962,0.5176582789992515,0.5003625,0.5018625,1.4202166666666667,1.414691666666667
DK0012R,2019-02-04 07:00:00,2019-02-05 07:00:00,24.0,1.395,1.1260676954052828,1.0887974926948194,1.0386458333333335,1.0717208333333332,1.7985375000000001,1.79205
DK0012R,2019-02-05 07:00:00,2019-02-06 07:00:00,24.0,0.287,0.15691308514851257,0.1509762413479885,0.3223583333333333,0.328175,0.9417208333333335,0.9455125
DK0012R,2019-02-06 07:00:00,2019-02-07 07:00:00,24.0,2.125,1.4011956222382036,1.3256629402369475,1.8988791666666665,1.948783333333333,2.479270833333333,2.4659583333333335
DK0012R,2019-02-07 07:00:00,2019-02-08 07:00:00,24.0,1.225,0.6496782638829696,0.5888762782673171,0.7038000000000001,0.7155458333333332,1.2395249999999998,1.2175041666666666
DK0012R,2019-02-08 07:00:00,2019-02-09 07:00:00,24.0,0.795,0.9199674162389234,0.816944239035605,0.5918458333333333,0.5490375,0.9332875,0.8685208333333333
DK0012R,2019-02-09 07:00:00,2019-02-10 07:00:00,24.0,0.276,0.3135902181756998,0.2658150921789002,0.25505833333333333,0.2487166666666667,0.4104041666666666,0.39175000000000004
DK0012R,2019-02-10 07:00:00,2019-02-11 07:00:00,24.0,0.483,0.5809284702887075,0.5271310136611159,0.4253708333333333,0.40405416666666677,0.32693749999999994,0.32044999999999996
DK0012R,2019-02-11 07:00:00,2019-02-12 07:00:00,24.0,0.078,0.05142017167111412,0.052099226782366746,0.044270833333333336,0.04446666666666666,0.33683749999999996,0.33397916666666666
DK0012R,2019-02-12 07:00:00,2019-02-13 07:00:00,24.0,0.598,0.32757927500776685,0.30442949852051554,0.39866666666666667,0.41634583333333336,1.2102208333333333,1.217925
DK0012R,2019-02-13 07:00:00,2019-02-14 07:00:00,24.0,1.352,0.3489453855589677,0.32686067902244675,0.7846375,0.798925,2.3178291666666664,2.3393166666666665
DK0012R,2019-02-14 07:00:00,2019-02-15 07:00:00,24.0,2.857,1.5248694389073467,1.3622557520160008,2.0496250000000003,2.1158375,3.8540916666666667,3.8459041666666667
DK0012R,2019-02-15 07:00:00,2019-02-16 07:00:00,24.0,2.06,5.753073093960644,5.426606026178962,3.0742208333333334,3.247425,3.0751666666666666,3.0576625000000006
DK0012R,2019-02-16 07:00:00,2019-02-17 07:00:00,24.0,3.04,2.799323213774553,2.4832671044408525,3.071733333333333,3.211591666666667,3.9099000000000004,3.8825791666666665
DK0012R,2019-02-17 07:00:00,2019-02-18 07:00:00,24.0,3.016,3.3056820776619085,2.9821506146460006,2.2351208333333332,2.32085,3.693970833333333,3.6718499999999996
DK0012R,2019-02-18 07:00:00,2019-02-19 07:00:00,24.0,3.577,4.042927394331712,3.7663136392705305,3.935004166666667,4.067466666666667,2.8323458333333336,2.8072125
DK0012R,2019-02-19 07:00:00,2019-02-20 07:00:00,24.0,0.449,0.17583805015309215,0.1460183848450429,0.291825,0.29409166666666664,0.8272833333333334,0.8399666666666666
DK0012R,2019-02-20 07:00:00,2019-02-21 07:00:00,24.0,1.139,0.6166582014409312,0.545350245776565,0.7804208333333333,0.7958958333333334,1.246525,1.257425
DK0012R,2019-02-21 07:00:00,2019-02-22 07:00:00,24.0,0.989,0.28773378501832436,0.2557619868345022,0.5350458333333333,0.5248458333333333,1.1552999999999998,1.1592416666666667
DK0012R,2019-02-22 07:00:00,2019-02-23 07:00:00,24.0,0.219,0.6058266613868418,0.5779063492080294,0.22134166666666666,0.2274041666666667,0.356125,0.352775
DK0012R,2019-02-23 07:00:00,2019-02-24 07:00:00,24.0,0.987,2.3841843149620234,2.2884906559732627,1.4266250000000003,1.4674958333333334,1.152475,1.146325
DK0012R,2019-02-24 07:00:00,2019-02-25 07:00:00,24.0,3.177,2.155472908629519,2.0220381613254053,2.2921958333333334,2.3239916666666667,2.7818,2.7602541666666673
DK0012R,2019-02-25 07:00:00,2019-02-26 07:00:00,24.0,3.678,1.536638379556954,1.3549775897783185,2.2612291666666664,2.3273791666666668,3.5612125,3.5073791666666665
DK0012R,2019-02-26 07:00:00,2019-02-27 07:00:00,24.0,5.903,3.088401956069262,2.7882702283366467,3.796241666666667,3.9778,3.6264124999999994,3.6048500000000003
DK0012R,2019-02-27 07:00:00,2019-02-28 07:00:00,24.0,6.021,4.615822714363715,4.1287332270016135,3.296579166666666,3.616429166666667,4.875820833333333,4.870416666666666
DK0012R,2019-02-28 07:00:00,2019-03-01 07:00:00,24.0,0.696,0.19632383827453462,0.17568315570603255,0.6474624999999999,0.62485,1.1236166666666667,1.1208291666666665
DK0012R,2019-03-01 07:00:00,2019-03-02 07:00:00,24.0,1.381,0.7479308079867346,0.6943994730096105,1.2489833333333333,1.2725708333333332,2.4488583333333334,2.4446625
DK0012R,2019-03-02 07:00:00,2019-03-03 07:00:00,24.0,1.827,2.28667157319808,2.184867643530243,1.4159083333333333,1.4277375,2.3203416666666663,2.3123791666666667
DK0012R,2019-03-03 07:00:00,2019-03-04 07:00:00,24.0,0.601,0.6857709364350207,0.5813381200892866,0.21920833333333334,0.2152166666666667,0.8291499999999999,0.817125
DK0012R,2019-03-04 07:00:00,2019-03-05 07:00:00,24.0,0.2,0.15670249282895496,0.12533858763611094,0.10516666666666667,0.10431666666666667,0.21444166666666667,0.21180416666666665
DK0012R,2019-03-05 07:00:00,2019-03-06 07:00:00,24.0,0.328,0.1587248211148789,0.13445887654111036,0.5438166666666667,0.5471666666666667,0.6174166666666667,0.6142666666666666
DK0012R,2019-03-06 07:00:00,2019-03-07 07:00:00,24.0,1.389,1.3962651409245759,1.2135720165047796,1.3944416666666666,1.3972333333333335,1.2248583333333334,1.1873875
DK0012R,2019-03-07 07:00:00,2019-03-08 07:00:00,24.0,0.513,0.67221961062654,0.5185819168808645,0.8109416666666668,0.8132125,0.8091541666666666,0.7778625
DK0012R,2019-03-08 07:00:00,2019-03-09 07:00:00,24.0,0.202,0.5663601520535392,0.5215428729879851,0.3565,0.35761250000000006,0.49251249999999996,0.4852958333333333
DK0012R,2019-03-09 07:00:00,2019-03-10 07:00:00,24.0,0.082,0.06624270577480783,0.05927674814878855,0.07243333333333334,0.07274166666666666,0.33979583333333335,0.33720833333333333
DK0012R,2019-03-10 07:00:00,2019-03-11 07:00:00,24.0,0.189,0.31185711622325124,0.2923347645755465,0.31824583333333334,0.31914166666666666,0.4129291666666666,0.40922083333333337
DK0012R,2019-03-11 07:00:00,2019-03-12 07:00:00,24.0,0.286,0.42926180064471486,0.4012889023805111,0.3199375,0.3243333333333333,0.41995000000000005,0.4181708333333334
DK0012R,2019-03-12 07:00:00,2019-03-13 07:00:00,24.0,0.451,0.6974737968198497,0.6223753098727985,0.8887916666666666,0.8931958333333333,0.7242500000000001,0.7137833333333333
DK0012R,2019-03-13 07:00:00,2019-03-14 07:00:00,24.0,0.367,0.20437795367827216,0.16720517239379942,0.5114416666666667,0.5136541666666666,0.5329041666666666,0.528825
DK0012R,2019-03-14 07:00:00,2019-03-15 07:00:00,24.0,0.392,0.21424708760045286,0.19461455858579338,0.7153791666666667,0.7168166666666668,0.509,0.5077041666666666
DK0012R,2019-03-15 07:00:00,2019-03-16 07:00:00,24.0,0.13,0.0758546013059896,0.06994942721019498,0.1783,0.18051666666666666,0.40287500000000004,0.4018333333333333
DK0012R,2019-03-16 07:00:00,2019-03-17 07:00:00,24.0,0.232,0.2065132582475019,0.16572678094791937,0.4040041666666667,0.4022041666666667,0.7109333333333333,0.6831333333333333
DK0012R,2019-03-17 07:00:00,2019-03-18 07:00:00,24.0,0.09,0.06810595016991267,0.05858863993638058,0.12019583333333334,0.12180833333333334,0.32148333333333334,0.3189208333333333
DK0012R,2019-03-18 07:00:00,2019-03-19 07:00:00,24.0,0.138,0.147203981719485,0.12847295268428363,0.2869791666666666,0.2887166666666667,0.3029125,0.2994791666666667
DK0012R,2019-03-20 07:00:00,2019-03-21 07:00:00,24.0,1.477,1.1014814733913132,0.9943000838037319,1.8932458333333333,1.8991291666666668,2.690620833333334,2.6782291666666667
DK0012R,2019-03-21 07:00:00,2019-03-22 07:00:00,24.0,1.914,0.6413732253121823,0.5668651013752694,1.6986291666666666,1.7039416666666665,2.7756333333333334,2.766245833333333
DK0012R,2019-03-22 07:00:00,2019-03-23 07:00:00,24.0,2.142,3.500300928550857,3.2721156248833734,3.4879125,3.5019708333333335,3.1573625,3.1508458333333333
DK0012R,2019-03-23 07:00:00,2019-03-24 07:00:00,24.0,0.903,0.2565699960081048,0.22003491335227987,0.6645625000000001,0.6856708333333335,0.8420833333333334,0.8400833333333333
DK0012R,2019-03-24 07:00:00,2019-03-25 07:00:00,24.0,0.272,0.24040593924767903,0.21394429831983683,0.2654083333333333,0.267625,0.5593083333333334,0.5581791666666667
DK0012R,2019-03-25 07:00:00,2019-03-26 07:00:00,24.0,0.229,0.11171049853874904,0.09599319659951723,0.248325,0.247175,0.6462249999999999,0.6396375
DK0012R,2019-03-26 07:00:00,2019-03-27 07:00:00,24.0,0.22,0.12781310823386924,0.11650463545624716,0.29135416666666664,0.2925,0.7761041666666667,0.7753166666666665
DK0012R,2019-03-27 07:00:00,2019-03-28 07:00:00,24.0,0.34,0.27728755050307896,0.25333164323651175,0.5673416666666667,0.5705708333333334,0.9336291666666666,0.9314
DK0012R,2019-03-28 07:00:00,2019-03-29 07:00:00,24.0,0.55,0.3842078395532122,0.34239545949865674,0.4963666666666666,0.49989583333333326,1.0506791666666666,1.0471708333333334
DK0012R,2019-03-29 07:00:00,2019-03-30 07:00:00,24.0,2.091,3.9397752646167223,3.636887780873297,2.5459375,2.5694333333333335,2.150725,2.1483708333333333
DK0012R,2019-03-30 07:00:00,2019-03-31 07:00:00,24.0,2.601,3.0408063945384725,2.818403236975687,2.3238083333333335,2.3604625,3.108795833333333,3.0876708333333336
DK0012R,2019-03-31 07:00:00,2019-04-01 07:00:00,24.0,0.142,0.11765381180738914,0.11525716514704819,0.10274583333333333,0.10360833333333334,0.2087083333333333,0.2087125
DK0012R,2019-04-01 07:00:00,2019-04-02 07:00:00,24.0,0.288,0.6471116274150485,0.6210900273661074,0.419275,0.4238458333333333,0.5909208333333335,0.5803416666666666
DK0012R,2019-04-02 07:00:00,2019-04-03 07:00:00,24.0,0.675,2.3762533177022296,2.2602638525978036,1.2096541666666665,1.2407208333333333,1.3376416666666666,1.2877625000000001
DK0012R,2019-04-03 07:00:00,2019-04-04 07:00:00,24.0,1.43,3.4764492255297053,3.2231966055288694,2.1469083333333336,2.1849666666666665,2.07185,1.9839791666666666
DK0012R,2019-04-04 07:00:00,2019-04-05 07:00:00,24.0,1.606,2.893090636966766,2.538273310537617,2.2432416666666666,2.3084708333333332,3.5977791666666668,3.3664333333333336
DK0012R,2019-04-05 07:00:00,2019-04-06 07:00:00,24.0,1.788,2.8498642705065413,2.445506359610958,3.8041958333333334,3.8783583333333334,3.4619125000000004,3.2358499999999997
DK0012R,2019-04-06 07:00:00,2019-04-07 07:00:00,24.0,2.341,2.8722012702280093,2.5189830590056927,3.2112083333333334,3.2654333333333336,1.70915,1.6383458333333334
DK0012R,2019-04-07 07:00:00,2019-04-08 07:00:00,24.0,1.572,1.5207431922660348,1.3164033886947628,1.8302666666666667,1.8463833333333335,1.7129208333333334,1.6747666666666667
DK0012R,2019-04-08 07:00:00,2019-04-09 07:00:00,24.0,0.757,0.3770750954149613,0.30947753195279737,0.4798166666666667,0.4789125,0.6235333333333334,0.6203916666666667
DK0012R,2019-04-09 07:00:00,2019-04-10 07:00:00,24.0,0.355,0.3621571137340818,0.3403560982413684,0.1671125,0.16763333333333333,0.13702916666666667,0.13588333333333333
DK0012R,2019-04-10 07:00:00,2019-04-11 07:00:00,24.0,0.524,0.3548719516320909,0.33487351060275133,0.2629708333333333,0.2595625,0.4376125,0.43556666666666666
DK0012R,2019-04-11 07:00:00,2019-04-12 07:00:00,24.0,0.626,0.6976448725892682,0.6778814168808888,0.3660375,0.363575,0.5323208333333334,0.5280833333333333
DK0012R,2019-04-12 07:00:00,2019-04-13 07:00:00,24.0,0.627,0.6427624940419611,0.6149631234579641,0.4513583333333333,0.4513291666666667,0.7171958333333333,0.7150916666666666
DK0012R,2019-04-13 07:00:00,2019-04-14 07:00:00,24.0,0.66,0.6195844865812922,0.5404488982362442,0.47820833333333335,0.4690625,0.7483666666666666,0.7375833333333333
DK0012R,2019-04-14 07:00:00,2019-04-15 07:00:00,24.0,0.601,0.7773515576085689,0.680618544035502,0.4358166666666667,0.4282583333333334,0.6461291666666666,0.6446999999999999
DK0012R,2019-04-15 07:00:00,2019-04-16 07:00:00,24.0,0.659,0.7276503430675207,0.6379920660198443,0.36389166666666667,0.3493916666666667,0.8769833333333333,0.8751666666666665
DK0012R,2019-04-16 07:00:00,2019-04-17 07:00:00,24.0,0.587,1.0273843612100417,0.9137162742136824,0.8477833333333334,0.8507958333333333,1.0301083333333334,1.0179666666666667
DK0012R,2019-04-17 07:00:00,2019-04-18 07:00:00,24.0,0.697,1.382590521506139,1.1758039982869162,1.1319333333333335,1.1129375,1.5886458333333335,1.5950875
DK0012R,2019-04-18 07:00:00,2019-04-19 07:00:00,24.0,0.813,1.2754589117248598,1.087279726338062,1.3876958333333331,1.375125,1.5491291666666667,1.5504958333333334
DK0012R,2019-04-19 07:00:00,2019-04-20 07:00:00,24.0,0.546,1.3189131463482415,1.1597504304264141,1.2660625,1.2617541666666667,2.2104125,2.215291666666667
DK0012R,2019-04-20 07:00:00,2019-04-21 07:00:00,24.0,0.76,2.650170018863882,2.5694417008566104,0.484575,0.49069999999999997,1.1849791666666667,1.1913625
DK0012R,2019-04-21 07:00:00,2019-04-22 07:00:00,24.0,1.293,3.72938781550192,3.6560527228841977,1.5992749999999998,1.6489083333333336,1.8534875,1.8569416666666667
DK0012R,2019-04-22 07:00:00,2019-04-23 07:00:00,24.0,1.06,1.1687449845767663,0.957226861368165,0.5145124999999999,0.5184791666666667,0.7760583333333333,0.7249458333333333
DK0012R,2019-04-23 07:00:00,2019-04-24 07:00:00,24.0,1.055,1.238121352677899,1.0506892793348026,0.24489166666666665,0.2608416666666667,0.8468541666666667,0.8360374999999999
DK0012R,2019-04-24 07:00:00,2019-04-25 07:00:00,24.0,1.388,1.38340319928518,1.106295587314923,0.5618083333333334,0.57125,2.955670833333334,2.898354166666666
DK0012R,2019-04-25 07:00:00,2019-04-26 07:00:00,24.0,2.406,2.6471826255907285,2.259162346386333,1.2483958333333334,1.2410750000000002,2.6156916666666667,2.537545833333333
DK0012R,2019-04-26 07:00:00,2019-04-27 07:00:00,24.0,2.112,0.8164610043976263,0.7046652746059646,0.9344958333333334,0.928025,1.7064541666666664,1.6832333333333331
DK0012R,2019-04-27 07:00:00,2019-04-28 07:00:00,24.0,0.812,0.08669443749689675,0.07865817330260812,0.6474916666666667,0.6555458333333334,0.5796875,0.5631499999999999
DK0012R,2019-04-28 07:00:00,2019-04-29 07:00:00,24.0,0.722,0.4297805060155975,0.36613796845201474,0.6444333333333333,0.6431416666666666,0.6110708333333333,0.6008541666666667
DK0012R,2019-04-29 07:00:00,2019-04-30 07:00:00,24.0,1.063,0.5084119290142897,0.45527017505997813,0.9349583333333333,0.9276125,0.9641875,0.9476708333333334
DK0012R,2019-04-30 07:00:00,2019-05-01 07:00:00,24.0,2.13,1.2307855248811561,1.0943275376562076,1.19815,1.213975,2.130525,2.0934416666666666
DK0012R,2019-05-01 07:00:00,2019-05-02 07:00:00,24.0,0.637,0.6710100305941914,0.6020509065445417,0.3099958333333334,0.31031249999999994,1.1507583333333333,1.1358333333333335
DK0012R,2019-05-02 07:00:00,2019-05-03 07:00:00,24.0,0.197,0.103280682721942,0.09369428412791463,0.09155833333333334,0.09318333333333333,0.33603333333333335,0.34522499999999995
DK0012R,2019-05-03 07:00:00,2019-05-04 07:00:00,24.0,0.239,0.15271407726292072,0.13613262096457143,0.09061666666666666,0.09185416666666667,0.22367083333333335,0.2238625
DK0012R,2019-05-04 07:00:00,2019-05-05 07:00:00,24.0,0.311,0.2640478330651211,0.2354652993594825,0.097775,0.09786666666666666,0.15747916666666667,0.15278333333333333
DK0012R,2019-05-05 07:00:00,2019-05-06 07:00:00,24.0,0.392,0.4495885510198257,0.4048690347790238,0.12716249999999998,0.13104583333333333,0.527475,0.52955
DK0012R,2019-05-06 07:00:00,2019-05-07 07:00:00,24.0,0.239,0.22927385530474934,0.20465181313832606,0.06597083333333333,0.06697916666666666,0.4373208333333333,0.4426041666666667
DK0012R,2019-05-07 07:00:00,2019-05-08 07:00:00,24.0,0.331,0.5052608036846697,0.4823788112984628,0.15630000000000002,0.15972499999999998,0.5675458333333333,0.5704958333333333
