site,st,ed,dtH,Obs,DEHM_noBD,DEHM_BD,EMEP_noBD,EMEP_BD,MATCH_noBD,MATCH_BD
DK0012R,2019-01-02 07:00:00,2019-01-03 07:00:00,24.0,0.097,0.09490564135587526,0.09617799877923372,0.030195833333333335,0.030245833333333333,-665.9461875000001,-665.9463291666666
DK0012R,2019-01-03 07:00:00,2019-01-04 07:00:00,24.0,0.139,0.08767315163943372,0.08652923372797659,0.061287499999999995,0.06122916666666667,-665.7279333333333,-665.7280458333333
DK0012R,2019-01-04 07:00:00,2019-01-05 07:00:00,24.0,0.136,0.10577707082861944,0.10435051034056157,0.08907500000000002,0.0884625,-665.6931625000001,-665.6932166666667
DK0012R,2019-01-05 07:00:00,2019-01-06 07:00:00,24.0,0.138,0.0745946149225593,0.0736777940548068,0.1337375,0.12722083333333334,-665.8028083333334,-665.8028708333333
DK0012R,2019-01-06 07:00:00,2019-01-07 07:00:00,24.0,0.241,0.16420959487221237,0.16275467022143772,0.5276958333333334,0.5186875,-665.5282958333333,-665.52925
DK0012R,2019-01-07 07:00:00,2019-01-08 07:00:00,24.0,0.089,0.08450187125722324,0.08348786205798807,0.08237083333333334,0.08387499999999999,-665.7884458333333,-665.7885
DK0012R,2019-01-08 07:00:00,2019-01-09 07:00:00,24.0,0.037,0.03763442060599086,0.0377964948303133,0.026324999999999998,0.02550833333333333,-665.8910958333333,-665.8910583333333
DK0012R,2019-01-09 07:00:00,2019-01-10 07:00:00,24.0,0.052,0.036938179237504414,0.03751153556069136,0.030604166666666665,0.028229166666666666,-665.9400458333333,-665.9400583333334
DK0012R,2019-01-10 07:00:00,2019-01-11 07:00:00,24.0,0.146,0.10602501500683344,0.10514796639364532,0.07233333333333335,0.0739875,-665.8996000000001,-665.8996958333333
DK0012R,2019-01-11 07:00:00,2019-01-12 07:00:00,24.0,0.151,0.08248447982940414,0.08211202847963801,0.08320833333333333,0.08336666666666666,-665.8840041666667,-665.8839624999999
DK0012R,2019-01-12 07:00:00,2019-01-13 07:00:00,24.0,0.165,0.07791534223713127,0.0769355170794669,0.06536666666666667,0.06635833333333334,-665.9131125,-665.9131708333333
DK0012R,2019-01-13 07:00:00,2019-01-14 07:00:00,24.0,0.075,0.0603937862624663,0.06087566099756379,0.03195,0.031670833333333336,-665.9179541666666,-665.9179166666667
DK0012R,2019-01-14 07:00:00,2019-01-15 07:00:00,24.0,0.052,0.08654465253338368,0.08727322137234363,0.02650833333333334,0.026387499999999998,-665.9464499999999,-665.9464833333333
DK0012R,2019-01-15 07:00:00,2019-01-16 07:00:00,24.0,0.089,0.07726851718285367,0.07676332469913623,0.04464583333333333,0.04397500000000001,-665.9153083333333,-665.9152958333333
DK0012R,2019-01-16 07:00:00,2019-01-17 07:00:00,24.0,0.178,0.1540475775259307,0.1535191250962553,0.15812083333333335,0.15369166666666667,-665.8177333333333,-665.8183625
DK0012R,2019-01-17 07:00:00,2019-01-18 07:00:00,24.0,0.063,0.05314215268151276,0.05369214568407232,0.0414,0.04111666666666666,-665.9483875,-665.948625
DK0012R,2019-01-18 07:00:00,2019-01-19 07:00:00,24.0,0.333,0.24220660574486763,0.24304613402593864,0.03419166666666667,0.03411666666666666,-665.949025,-665.9489833333333
DK0012R,2019-01-19 07:00:00,2019-01-20 07:00:00,24.0,0.434,0.21659190476042736,0.21891736513346646,0.08214166666666667,0.08520833333333333,-665.9029541666667,-665.9028625
DK0012R,2019-01-20 07:00:00,2019-01-21 07:00:00,24.0,0.983,0.15497336369462772,0.15671943252675616,0.19922916666666665,0.20133750000000003,-665.8968625,-665.8968541666667
DK0012R,2019-01-21 07:00:00,2019-01-22 07:00:00,24.0,0.378,0.13151509628133323,0.13120236492311227,0.19551249999999998,0.2007375,-665.8176458333334,-665.8175958333333
DK0012R,2019-01-22 07:00:00,2019-01-23 07:00:00,24.0,1.348,0.44967975216298867,0.4482931884380778,0.49399583333333336,0.5313791666666666,-665.5677,-665.5668
DK0012R,2019-01-23 07:00:00,2019-01-24 07:00:00,24.0,2.597,0.6255024999940129,0.6264086047479829,0.5344541666666667,0.5354249999999999,-665.4801958333334,-665.4804333333333
DK0012R,2019-01-24 07:00:00,2019-01-25 07:00:00,24.0,1.651,0.5799523967117354,0.5803568242127725,0.49954583333333336,0.5040625,-665.6736375,-665.6751041666666
DK0012R,2019-01-25 07:00:00,2019-01-26 07:00:00,24.0,2.18,0.5135540601849876,0.5186224269912197,0.711,0.7171125000000002,-665.5614999999999,-665.5616708333333
DK0012R,2019-01-26 07:00:00,2019-01-27 07:00:00,24.0,0.981,0.32304871263446344,0.3233769412994528,0.25152083333333336,0.25617500000000004,-665.7649208333333,-665.7646791666666
DK0012R,2019-01-27 07:00:00,2019-01-28 07:00:00,24.0,0.185,0.1337467458817848,0.1338949517711826,0.17212083333333336,0.16994583333333332,-665.8756541666667,-665.875675
DK0012R,2019-01-28 07:00:00,2019-01-29 07:00:00,24.0,0.451,0.19653770860626793,0.1949866808470829,0.18250833333333336,0.18624583333333333,-665.8587041666666,-665.858675
DK0012R,2019-01-29 07:00:00,2019-01-30 07:00:00,24.0,0.594,0.2512089168731199,0.25230367280287175,0.315425,0.32813749999999997,-665.8908958333333,-665.8908583333333
DK0012R,2019-01-30 07:00:00,2019-01-31 07:00:00,24.0,0.973,0.4327047230294981,0.433548882000176,0.2833666666666667,0.28052916666666666,-665.7220125,-665.7212583333334
DK0012R,2019-01-31 07:00:00,2019-02-01 07:00:00,24.0,2.324,0.8338064857104598,0.8288967094549768,0.5086291666666667,0.5064666666666667,-665.6625666666667,-665.6631083333333
DK0012R,2019-02-01 07:00:00,2019-02-02 07:00:00,24.0,2.65,1.2363301505051927,1.2296537696479959,0.9053,0.9055,-665.1701625,-665.1706541666666
