site,st,ed,dtH,Obs,EMEP_noBD,EMEP_BD,MATCH_noBD,MATCH_BD
DK0012R,2019-01-02 07:00:00,2019-01-03 07:00:00,24.0,0.097,0.030195833333333335,0.030245833333333333,0.05105416666666666,0.05105416666666666
DK0012R,2019-01-03 07:00:00,2019-01-04 07:00:00,24.0,0.139,0.061287499999999995,0.06122916666666667,0.1001375,0.10017083333333333
DK0012R,2019-01-04 07:00:00,2019-01-05 07:00:00,24.0,0.136,0.08907500000000002,0.0884625,0.13358333333333333,0.13373749999999998
DK0012R,2019-01-05 07:00:00,2019-01-06 07:00:00,24.0,0.138,0.1337375,0.12722083333333334,0.07564583333333334,0.07579583333333333
DK0012R,2019-01-06 07:00:00,2019-01-07 07:00:00,24.0,0.241,0.5276958333333334,0.5186875,0.22900833333333334,0.22970000000000002
DK0012R,2019-01-07 07:00:00,2019-01-08 07:00:00,24.0,0.089,0.08237083333333334,0.08387499999999999,0.11197916666666667,0.111975
DK0012R,2019-01-08 07:00:00,2019-01-09 07:00:00,24.0,0.037,0.026324999999999998,0.02550833333333333,0.05053333333333334,0.05062916666666667
DK0012R,2019-01-09 07:00:00,2019-01-10 07:00:00,24.0,0.052,0.030604166666666665,0.028229166666666666,0.039200000000000006,0.039183333333333334
DK0012R,2019-01-10 07:00:00,2019-01-11 07:00:00,24.0,0.146,0.07233333333333335,0.0739875,0.059470833333333334,0.05945833333333333
DK0012R,2019-01-11 07:00:00,2019-01-12 07:00:00,24.0,0.151,0.08320833333333333,0.08336666666666666,0.08602916666666667,0.08603333333333334
DK0012R,2019-01-12 07:00:00,2019-01-13 07:00:00,24.0,0.165,0.06536666666666667,0.06635833333333334,0.050249999999999996,0.050300000000000004
DK0012R,2019-01-13 07:00:00,2019-01-14 07:00:00,24.0,0.075,0.03195,0.031670833333333336,0.0444375,0.044429166666666665
DK0012R,2019-01-14 07:00:00,2019-01-15 07:00:00,24.0,0.052,0.02650833333333334,0.026387499999999998,0.03535,0.03534583333333333
DK0012R,2019-01-15 07:00:00,2019-01-16 07:00:00,24.0,0.089,0.04464583333333333,0.04397500000000001,0.06984583333333334,0.069875
DK0012R,2019-01-16 07:00:00,2019-01-17 07:00:00,24.0,0.178,0.15812083333333335,0.15369166666666667,0.1282875,0.12843333333333332
DK0012R,2019-01-17 07:00:00,2019-01-18 07:00:00,24.0,0.063,0.0414,0.04111666666666666,0.035258333333333336,0.0352625
DK0012R,2019-01-18 07:00:00,2019-01-19 07:00:00,24.0,0.333,0.03419166666666667,0.03411666666666666,0.04185,0.041833333333333333
DK0012R,2019-01-19 07:00:00,2019-01-20 07:00:00,24.0,0.434,0.08214166666666667,0.08520833333333333,0.08066666666666666,0.08074583333333334
DK0012R,2019-01-20 07:00:00,2019-01-21 07:00:00,24.0,0.983,0.19922916666666665,0.20133750000000003,0.11182083333333333,0.11189166666666667
DK0012R,2019-01-21 07:00:00,2019-01-22 07:00:00,24.0,0.378,0.19551249999999998,0.2007375,0.10750833333333333,0.10751250000000001
DK0012R,2019-01-22 07:00:00,2019-01-23 07:00:00,24.0,1.348,0.49399583333333336,0.5313791666666666,0.6443041666666667,0.6443916666666667
DK0012R,2019-01-23 07:00:00,2019-01-24 07:00:00,24.0,2.597,0.5344541666666667,0.5354249999999999,1.3793666666666666,1.3792666666666669
DK0012R,2019-01-24 07:00:00,2019-01-25 07:00:00,24.0,1.651,0.49954583333333336,0.5040625,0.8131416666666667,0.8124166666666666
DK0012R,2019-01-25 07:00:00,2019-01-26 07:00:00,24.0,2.18,0.711,0.7171125000000002,1.122975,1.1221958333333333
DK0012R,2019-01-26 07:00:00,2019-01-27 07:00:00,24.0,0.981,0.25152083333333336,0.25617500000000004,0.4164583333333334,0.41611249999999994
DK0012R,2019-01-27 07:00:00,2019-01-28 07:00:00,24.0,0.185,0.17212083333333336,0.16994583333333332,0.1260875,0.125525
DK0012R,2019-01-28 07:00:00,2019-01-29 07:00:00,24.0,0.451,0.18250833333333336,0.18624583333333333,0.299925,0.2997625
DK0012R,2019-01-29 07:00:00,2019-01-30 07:00:00,24.0,0.594,0.315425,0.32813749999999997,0.12351666666666666,0.12368333333333333
DK0012R,2019-01-30 07:00:00,2019-01-31 07:00:00,24.0,0.973,0.2833666666666667,0.28052916666666666,0.444425,0.4451541666666667
DK0012R,2019-01-31 07:00:00,2019-02-01 07:00:00,24.0,2.324,0.5086291666666667,0.5064666666666667,0.7218291666666667,0.7224124999999999
DK0012R,2019-02-01 07:00:00,2019-02-02 07:00:00,24.0,2.65,0.9053,0.9055,1.733295833333333,1.7332041666666667
DK0012R,2019-02-02 07:00:00,2019-02-03 07:00:00,24.0,2.093,0.5385458333333334,0.5377333333333333,1.2119625,1.2126875000000001
DK0012R,2019-02-03 07:00:00,2019-02-04 07:00:00,24.0,0.442,0.19615833333333332,0.19646666666666665,0.49861250000000007,0.49888333333333335
DK0012R,2019-02-04 07:00:00,2019-02-05 07:00:00,24.0,0.526,0.2758458333333333,0.29062499999999997,0.15902916666666667,0.1590125
DK0012R,2019-02-05 07:00:00,2019-02-06 07:00:00,24.0,0.127,0.05060416666666667,0.0521,0.07235,0.07242499999999999
DK0012R,2019-02-06 07:00:00,2019-02-07 07:00:00,24.0,0.494,0.4941041666666666,0.5042125000000001,0.2906666666666667,0.2906625
DK0012R,2019-02-07 07:00:00,2019-02-08 07:00:00,24.0,0.344,0.24092500000000003,0.2418208333333333,0.11839999999999999,0.11838749999999998
DK0012R,2019-02-08 07:00:00,2019-02-09 07:00:00,24.0,0.34,0.21824583333333333,0.20401666666666665,0.11964583333333334,0.11969583333333333
DK0012R,2019-02-09 07:00:00,2019-02-10 07:00:00,24.0,0.157,0.081,0.07549583333333333,0.05825416666666667,0.05824166666666667
DK0012R,2019-02-10 07:00:00,2019-02-11 07:00:00,24.0,0.21,0.08795833333333335,0.0809625,0.03575416666666667,0.035820833333333336
DK0012R,2019-02-11 07:00:00,2019-02-12 07:00:00,24.0,0.068,0.03187083333333333,0.031495833333333334,0.050516666666666675,0.050570833333333336
DK0012R,2019-02-12 07:00:00,2019-02-13 07:00:00,24.0,0.24,0.12492916666666665,0.12540833333333332,0.12193749999999999,0.121975
DK0012R,2019-02-13 07:00:00,2019-02-14 07:00:00,24.0,0.482,0.28848333333333337,0.28839166666666666,0.38660000000000005,0.3864625
DK0012R,2019-02-14 07:00:00,2019-02-15 07:00:00,24.0,0.684,0.36039166666666667,0.36495833333333333,0.30477916666666666,0.3049208333333333
DK0012R,2019-02-15 07:00:00,2019-02-16 07:00:00,24.0,1.053,0.27358333333333335,0.2739375,0.18892083333333334,0.18886250000000002
DK0012R,2019-02-16 07:00:00,2019-02-17 07:00:00,24.0,0.798,0.39422500000000005,0.3937333333333333,0.33692916666666667,0.33678333333333327
DK0012R,2019-02-17 07:00:00,2019-02-18 07:00:00,24.0,0.641,0.47318333333333334,0.4815583333333333,0.47402916666666667,0.47382083333333336
DK0012R,2019-02-18 07:00:00,2019-02-19 07:00:00,24.0,0.871,0.42839166666666667,0.44446250000000004,0.25047916666666664,0.250475
DK0012R,2019-02-19 07:00:00,2019-02-20 07:00:00,24.0,0.178,0.06689166666666667,0.06704583333333335,0.06645833333333333,0.066525
DK0012R,2019-02-20 07:00:00,2019-02-21 07:00:00,24.0,0.438,0.12765,0.12701666666666667,0.11890833333333332,0.11900833333333334
DK0012R,2019-02-21 07:00:00,2019-02-22 07:00:00,24.0,0.386,0.17801666666666663,0.17181666666666665,0.18864999999999998,0.18903333333333336
