Time,Case,DK-09,DK-10,DK-11,NL10131,NL10444,NL10633,NL10738,NO0001R,SE0014R,SE0020R,SE0022R
2018-01-01 00:00:00,EMEP_noBD,67.9845,68.8487,70.7166,73.3439,75.2339,75.4638,73.9934,78.6572,76.5249,72.096,79.7745
2018-01-01 01:00:00,EMEP_noBD,64.1521,66.0,68.7481,72.258,75.2284,72.712,71.9729,75.9264,72.4778,68.4296,78.1795
2018-01-01 02:00:00,EMEP_noBD,61.7544,63.9178,67.9549,71.471,75.5728,72.32,70.3892,74.3438,69.9735,65.7648,76.6824
2018-01-01 03:00:00,EMEP_noBD,61.6706,61.4706,67.0517,70.4032,75.823,72.4077,69.9057,73.0564,69.2649,63.425,74.9838
2018-01-01 04:00:00,EMEP_noBD,61.2039,58.645,66.0842,69.2689,75.0666,72.0881,69.9072,72.1924,68.1608,60.9506,73.201
2018-01-01 05:00:00,EMEP_noBD,59.822,55.5067,65.1368,68.0345,73.5178,70.3936,68.7584,71.2228,66.0401,58.5948,71.4261
2018-01-01 06:00:00,EMEP_noBD,57.2321,54.6374,64.1345,66.3901,70.8081,66.432,65.4077,69.5251,63.5363,56.3534,69.3378
2018-01-01 07:00:00,EMEP_noBD,56.8736,56.8525,64.915,64.5746,68.5649,61.017,60.4806,67.7277,61.3207,55.2115,66.9615
2018-01-01 08:00:00,EMEP_noBD,58.8178,59.7036,66.2077,62.7385,67.4668,56.592,57.6863,65.7941,60.3397,56.0881,63.7426
2018-01-01 09:00:00,EMEP_noBD,59.8689,60.463,67.3276,61.544,67.8841,55.7453,55.776,64.7018,59.268,58.1682,60.9826
2018-01-01 10:00:00,EMEP_noBD,61.7431,61.0897,68.9837,61.2129,67.0931,57.3047,55.5986,64.4519,56.8697,58.6638,58.0414
2018-01-01 11:00:00,EMEP_noBD,64.4165,63.4531,70.1493,62.9283,66.232,59.6967,56.5249,64.1302,58.007,59.7844,53.6782
2018-01-01 12:00:00,EMEP_noBD,65.7515,65.1092,71.5657,65.0774,64.5167,58.0828,57.116,63.0727,61.0417,62.4075,49.492
2018-01-01 13:00:00,EMEP_noBD,66.1906,66.8585,71.2193,64.9398,60.5036,57.2398,57.4139,65.2355,61.7383,64.5018,48.8489
2018-01-01 14:00:00,EMEP_noBD,64.3076,66.7558,70.0011,65.1029,56.5343,56.3722,57.0592,67.6403,63.1791,65.7872,50.2264
2018-01-01 15:00:00,EMEP_noBD,63.4826,65.6731,69.2495,61.4455,48.4398,47.6485,52.0223,68.1612,66.1871,65.3269,48.7526
2018-01-01 16:00:00,EMEP_noBD,64.6737,65.1137,68.5063,59.1059,41.6382,40.0775,47.4966,68.5495,69.2571,63.8962,46.5487
2018-01-01 17:00:00,EMEP_noBD,64.5936,63.762,68.0299,56.4269,36.1766,31.1084,43.7052,69.145,70.7847,64.3447,43.9554
2018-01-01 18:00:00,EMEP_noBD,63.4605,62.5192,67.9782,52.134,36.5668,20.925,37.7598,69.6078,71.3479,64.5704,42.5792
2018-01-01 19:00:00,EMEP_noBD,62.2777,61.942,67.9788,50.1864,52.3372,7.9539,32.7586,71.5371,70.7567,63.8438,39.4162
2018-01-01 20:00:00,EMEP_noBD,61.4674,61.6988,67.3225,50.0999,58.0947,2.8431,30.6785,71.7189,70.1311,62.6395,36.3814
2018-01-01 21:00:00,EMEP_noBD,60.893,61.6909,66.047,46.7556,53.0547,31.603,27.5203,70.8279,69.4218,61.623,33.052
2018-01-01 22:00:00,EMEP_noBD,60.3327,61.5689,64.2882,41.228,54.3291,44.1826,12.8572,70.0615,68.8191,60.8344,31.0169
2018-01-01 23:00:00,EMEP_noBD,59.4959,61.1559,63.3637,38.1691,54.8954,46.6053,11.0193,69.4589,68.5602,60.1793,29.9739
2018-01-02 00:00:00,EMEP_noBD,58.3391,59.34,65.93,40.9539,57.2839,48.2834,24.3782,68.6988,68.6275,59.4457,29.2199
2018-01-02 01:00:00,EMEP_noBD,56.9043,58.5239,67.6479,41.1861,58.287,50.7562,36.4123,68.6062,70.3693,58.8171,27.9364
2018-01-02 02:00:00,EMEP_noBD,55.3254,58.706,63.6303,42.9579,57.2735,51.9382,39.8907,69.9577,72.0786,58.3631,28.5504
2018-01-02 03:00:00,EMEP_noBD,53.3657,58.6298,62.2291,47.1944,56.3659,52.2601,41.8229,72.1657,72.8434,57.7808,35.5532
2018-01-02 04:00:00,EMEP_noBD,52.365,58.461,63.0552,49.0446,62.2719,52.0233,44.2422,73.7297,73.0411,57.0314,40.8677
2018-01-02 05:00:00,EMEP_noBD,50.4339,57.2039,62.8985,45.6612,63.4514,57.515,42.7108,73.3239,72.5907,56.1566,41.9097
2018-01-02 06:00:00,EMEP_noBD,45.2024,54.9152,61.7224,39.7595,64.1479,56.9424,37.184,71.9086,72.3353,54.9759,43.734
2018-01-02 07:00:00,EMEP_noBD,42.294,53.3389,60.9676,41.2522,64.5665,55.1009,36.8646,70.9387,72.5638,53.0438,47.0706
2018-01-02 08:00:00,EMEP_noBD,43.1663,52.9764,60.6992,47.8347,65.3175,55.4343,40.9845,70.822,73.1896,50.3961,50.44
2018-01-02 09:00:00,EMEP_noBD,45.4869,54.1551,62.4528,54.9068,66.6903,58.2338,47.7118,71.103,73.6108,49.0888,52.0758
2018-01-02 10:00:00,EMEP_noBD,47.3479,55.2874,62.1302,57.0977,68.7734,59.744,51.6542,71.3939,73.8645,49.6685,52.8088
2018-01-02 11:00:00,EMEP_noBD,49.2964,56.4471,62.1523,53.9036,69.0072,57.7728,53.5397,71.751,73.7475,50.43,54.4387
2018-01-02 12:00:00,EMEP_noBD,50.016,56.146,61.2028,53.301,66.3013,55.423,55.3083,72.0025,73.1289,50.2824,56.1754
2018-01-02 13:00:00,EMEP_noBD,49.5124,55.8858,60.7833,56.2965,63.5874,57.187,57.573,72.2762,72.4126,51.124,56.7924
2018-01-02 14:00:00,EMEP_noBD,46.1419,54.8812,60.8239,57.3605,54.1641,49.8034,51.8839,71.8434,71.0,50.9251,56.235
2018-01-02 15:00:00,EMEP_noBD,41.8096,52.2086,59.2337,59.6184,49.5432,48.1594,43.7614,70.2071,68.8847,47.4468,55.7505
2018-01-02 16:00:00,EMEP_noBD,42.2257,51.8068,58.251,64.7641,45.5871,48.7679,48.7524,69.4686,66.8135,42.1275,55.41
