Time,Case,DK-09,DK-10,DK-11,NL10131,NL10444,NL10633,NL10738,NO0001R,SE0014R,SE0020R,SE0022R
2019-01-01 00:00:00,EMEP_noBD,0.1123,0.2086,0.1956,1.5347,0.1379,0.6907,1.7091,0.0222,0.0698,0.0704,0.031
2019-01-01 01:00:00,EMEP_noBD,0.1524,0.261,0.1943,1.9827,0.1221,0.9129,2.1766,0.004,0.0673,0.0819,0.0272
2019-01-01 02:00:00,EMEP_noBD,0.1521,0.2535,0.1866,2.1811,0.1083,0.8895,2.3145,0.0187,0.065,0.0802,0.0254
2019-01-01 03:00:00,EMEP_noBD,0.1732,0.2537,0.1918,2.3602,0.0947,0.8517,2.3154,0.0164,0.0563,0.0805,0.0234
2019-01-01 04:00:00,EMEP_noBD,0.1948,0.2652,0.1975,2.5313,0.0893,0.8623,2.3549,0.0097,0.053,0.0874,0.0249
2019-01-01 05:00:00,EMEP_noBD,0.2354,0.2966,0.2185,2.7803,0.1352,0.9456,2.7217,0.0065,0.0539,0.102,0.0315
2019-01-01 06:00:00,EMEP_noBD,0.3206,0.3482,0.2562,3.2121,0.1678,1.1158,3.1116,0.0072,0.0579,0.1635,0.0417
2019-01-01 07:00:00,EMEP_noBD,0.3389,0.4069,0.3081,3.8769,0.2041,1.3459,3.8016,0.0089,0.0579,0.2032,0.0507
2019-01-01 08:00:00,EMEP_noBD,0.3155,0.4726,0.3734,4.6761,0.1943,1.554,4.4707,0.0068,0.0581,0.2209,0.0535
2019-01-01 09:00:00,EMEP_noBD,0.3147,0.5061,0.3978,4.9584,0.2229,1.6699,5.2844,0.0055,0.0579,0.2282,0.0561
2019-01-01 10:00:00,EMEP_noBD,0.329,0.5446,0.4385,5.124,0.2509,1.8909,6.334,0.0054,0.0627,0.2355,0.0639
2019-01-01 11:00:00,EMEP_noBD,0.3338,0.559,0.4568,5.4407,0.2658,1.9376,6.6227,0.0067,0.064,0.2356,0.0732
2019-01-01 12:00:00,EMEP_noBD,0.36,0.6041,0.4924,6.7018,0.2848,1.987,6.8244,0.0069,0.0676,0.2451,0.0847
2019-01-01 13:00:00,EMEP_noBD,0.3959,0.6274,0.4829,7.3031,0.2849,1.8638,6.4109,0.0074,0.0666,0.2446,0.0887
2019-01-01 14:00:00,EMEP_noBD,0.4475,0.6098,0.4604,6.741,0.2794,1.6783,5.7307,0.0101,0.0643,0.2343,0.0885
2019-01-01 15:00:00,EMEP_noBD,0.4483,0.5439,0.4254,6.1083,0.2819,1.4978,5.0219,0.011,0.0709,0.2276,0.0834
2019-01-01 16:00:00,EMEP_noBD,0.4014,0.4873,0.3803,5.1395,0.2683,1.3126,4.2296,0.0089,0.062,0.1774,0.0782
2019-01-01 17:00:00,EMEP_noBD,0.3382,0.4248,0.3334,4.171,0.2036,1.0939,3.4261,0.0075,0.0596,0.1523,0.0894
2019-01-01 18:00:00,EMEP_noBD,0.291,0.3808,0.2881,3.46,0.1463,0.8991,2.7726,0.0069,0.0624,0.1748,0.0785
2019-01-01 19:00:00,EMEP_noBD,0.2419,0.3343,0.2545,3.0145,0.1202,0.7842,2.3423,0.0067,0.0617,0.1855,0.0573
2019-01-01 20:00:00,EMEP_noBD,0.1878,0.3074,0.2358,2.7363,0.1091,0.7401,2.095,0.0065,0.0609,0.1775,0.0452
