Time,Case,DK-09,DK-10,DK-11,NL10131,NL10444,NL10633,NL10738,NO0001R,SE0014R,SE0020R,SE0022R
2019-01-01 00:00:00,EMEP_noBD,0.0293,0.0405,0.0351,0.0381,0.0444,0.0398,0.0376,0.0342,0.0383,0.0235,0.0308
2019-01-01 01:00:00,EMEP_noBD,0.0293,0.0393,0.0345,0.0364,0.0488,0.0429,0.0381,0.013,0.0399,0.0218,0.0292
2019-01-01 02:00:00,EMEP_noBD,0.0285,0.0367,0.0324,0.028,0.0515,0.055,0.0418,0.0058,0.0393,0.0239,0.0269
2019-01-01 03:00:00,EMEP_noBD,0.0239,0.0346,0.0308,0.025,0.0523,0.0603,0.0814,0.0061,0.0308,0.0168,0.025
2019-01-01 04:00:00,EMEP_noBD,0.023,0.0343,0.0283,0.0391,0.0539,0.0619,0.0657,0.0089,0.0253,0.0254,0.0239
2019-01-01 05:00:00,EMEP_noBD,0.0329,0.0385,0.0276,0.0568,0.0601,0.0706,0.0366,0.011,0.0228,0.0462,0.0248
2019-01-01 06:00:00,EMEP_noBD,0.0494,0.0421,0.0272,0.06,0.0823,0.0748,0.044,0.0105,0.0216,0.0556,0.0261
2019-01-01 07:00:00,EMEP_noBD,0.0511,0.0412,0.0265,0.0701,0.1548,0.0831,0.0771,0.0114,0.024,0.0472,0.0238
2019-01-01 08:00:00,EMEP_noBD,0.0508,0.0407,0.026,0.1087,0.1631,0.1619,0.1101,0.0116,0.0269,0.0343,0.0217
2019-01-01 09:00:00,EMEP_noBD,0.0535,0.0401,0.0256,0.1678,0.1684,0.298,0.1152,0.0103,0.0286,0.0272,0.02
2019-01-01 10:00:00,EMEP_noBD,0.0568,0.039,0.026,0.1225,0.1481,0.4069,0.079,0.0084,0.0275,0.0263,0.019
2019-01-01 11:00:00,EMEP_noBD,0.0582,0.0368,0.0254,0.1131,0.1307,0.4672,0.0413,0.0076,0.0247,0.0265,0.0188
2019-01-01 12:00:00,EMEP_noBD,0.0597,0.0326,0.024,0.0733,0.1236,0.4882,0.0442,0.0054,0.0221,0.0269,0.0185
2019-01-01 13:00:00,EMEP_noBD,0.0651,0.0275,0.0225,0.1222,0.1177,0.4838,0.0518,0.004,0.0177,0.0269,0.018
2019-01-01 14:00:00,EMEP_noBD,0.0616,0.025,0.0193,0.1631,0.1056,0.4651,0.0482,0.0041,0.0178,0.0249,0.0138
2019-01-01 15:00:00,EMEP_noBD,0.044,0.0223,0.0174,0.1897,0.102,0.4223,0.0434,0.004,0.0298,0.0179,0.0094
2019-01-01 16:00:00,EMEP_noBD,0.0358,0.0232,0.0174,0.1438,0.1137,0.4146,0.0408,0.0038,0.0368,0.0132,0.0195
2019-01-01 17:00:00,EMEP_noBD,0.0424,0.0272,0.017,0.0843,0.1299,0.4014,0.0384,0.0037,0.0556,0.0184,0.0599
2019-01-01 18:00:00,EMEP_noBD,0.0352,0.03,0.0159,0.0479,0.1476,0.3661,0.0349,0.0038,0.0752,0.0379,0.0599
2019-01-01 19:00:00,EMEP_noBD,0.0278,0.0304,0.0139,0.0319,0.1731,0.3293,0.0344,0.0045,0.0909,0.0489,0.0287
2019-01-01 20:00:00,EMEP_noBD,0.0274,0.0317,0.0132,0.0285,0.2008,0.288,0.0358,0.0062,0.1083,0.0409,0.0263
2019-01-01 21:00:00,EMEP_noBD,0.0258,0.0298,0.0125,0.029,0.2221,0.2388,0.0302,0.0087,0.1143,0.0288,0.0297
2019-01-01 22:00:00,EMEP_noBD,0.0212,0.0231,0.0122,0.0276,0.2255,0.2051,0.0231,0.0112,0.1084,0.0177,0.0208
2019-01-01 23:00:00,EMEP_noBD,0.0262,0.0207,0.0137,0.0229,0.237,0.1785,0.0216,0.0151,0.102,0.0152,0.018
2019-01-02 00:00:00,EMEP_noBD,0.0335,0.0212,0.0158,0.0201,0.2559,0.161,0.0224,0.0205,0.0968,0.0169,0.0207
2019-01-02 01:00:00,EMEP_noBD,0.0352,0.0222,0.0179,0.0199,0.2935,0.1452,0.0228,0.0257,0.0934,0.0184,0.0288
2019-01-02 02:00:00,EMEP_noBD,0.0358,0.023,0.0203,0.0204,0.341,0.1343,0.0236,0.0289,0.0906,0.0201,0.0336
2019-01-02 03:00:00,EMEP_noBD,0.0356,0.0236,0.0231,0.0204,0.3982,0.1252,0.0238,0.0283,0.0883,0.0212,0.0359
2019-01-02 04:00:00,EMEP_noBD,0.0358,0.0259,0.0268,0.0207,0.4577,0.1263,0.0256,0.0291,0.0889,0.0218,0.0421
2019-01-02 05:00:00,EMEP_noBD,0.0458,0.0372,0.0322,0.0234,0.5269,0.1331,0.0339,0.0336,0.09,0.0228,0.0509
2019-01-02 06:00:00,EMEP_noBD,0.0554,0.0493,0.0368,0.0281,0.6036,0.1547,0.0429,0.0394,0.095,0.024,0.0543
2019-01-02 07:00:00,EMEP_noBD,0.0583,0.0578,0.0398,0.0322,0.6863,0.172,0.0468,0.0426,0.1077,0.0251,0.0591
2019-01-02 08:00:00,EMEP_noBD,0.0589,0.0633,0.0414,0.0346,0.7733,0.1801,0.046,0.0436,0.1134,0.0274,0.0657
2019-01-02 09:00:00,EMEP_noBD,0.0599,0.0647,0.0426,0.0344,0.8733,0.1822,0.0442,0.0436,0.1123,0.0302,0.0768
2019-01-02 10:00:00,EMEP_noBD,0.0602,0.0613,0.0436,0.0321,0.9764,0.1672,0.043,0.0393,0.1132,0.0319,0.0837
2019-01-02 11:00:00,EMEP_noBD,0.0591,0.0563,0.0456,0.0295,1.0014,0.1512,0.0419,0.0342,0.1159,0.0321,0.0871
2019-01-02 12:00:00,EMEP_noBD,0.0587,0.0503,0.0475,0.0276,1.0191,0.1448,0.0404,0.0293,0.1124,0.0307,0.0932
2019-01-02 13:00:00,EMEP_noBD,0.0601,0.0487,0.0513,0.0275,1.1132,0.15,0.0407,0.0262,0.112,0.0292,0.1156
2019-01-02 14:00:00,EMEP_noBD,0.0629,0.0516,0.0516,0.0292,1.1779,0.1613,0.0427,0.025,0.1181,0.0304,0.1137
2019-01-02 15:00:00,EMEP_noBD,0.0623,0.0469,0.0298,0.0305,1.2114,0.1674,0.0457,0.0249,0.1286,0.0305,0.0661
2019-01-02 16:00:00,EMEP_noBD,0.0603,0.0596,0.0274,0.0349,1.266,0.1865,0.0507,0.0246,0.131,0.028,0.0414
2019-01-02 17:00:00,EMEP_noBD,0.0619,0.0856,0.032,0.0379,1.3229,0.2096,0.056,0.0229,0.1295,0.0272,0.036
2019-01-02 18:00:00,EMEP_noBD,0.0628,0.1423,0.047,0.0374,1.3498,0.2461,0.0586,0.0187,0.1211,0.0279,0.0306
2019-01-02 19:00:00,EMEP_noBD,0.0586,0.1688,0.052,0.0377,1.2395,0.299,0.0602,0.0126,0.0837,0.0266,0.0282
2019-01-02 20:00:00,EMEP_noBD,0.0531,0.1793,0.0562,0.0408,1.0826,0.3567,0.0594,0.009,0.0527,0.0251,0.0391
2019-01-02 21:00:00,EMEP_noBD,0.0434,0.1839,0.0474,0.0471,0.9371,0.4134,0.0545,0.0079,0.0413,0.025,0.0729
2019-01-02 22:00:00,EMEP_noBD,0.0282,0.1737,0.0477,0.0452,0.8122,0.4171,0.0427,0.0079,0.0417,0.0475,0.122
2019-01-02 23:00:00,EMEP_noBD,0.0251,0.1584,0.0549,0.041,0.7047,0.4044,0.0353,0.0085,0.0446,0.0433,0.1638
2019-01-03 00:00:00,EMEP_noBD,0.0293,0.1653,0.1065,0.0371,0.6306,0.382,0.0319,0.0085,0.0522,0.0169,0.177
2019-01-03 01:00:00,EMEP_noBD,0.0609,0.1524,0.1597,0.0371,0.6788,0.4303,0.0319,0.0082,0.0769,0.013,0.1721
2019-01-03 02:00:00,EMEP_noBD,0.0666,0.1348,0.11,0.0382,0.7817,0.4632,0.0329,0.0072,0.1322,0.0218,0.1713
2019-01-03 03:00:00,EMEP_noBD,0.0548,0.1241,0.0309,0.0411,0.947,0.4926,0.0346,0.0059,0.2381,0.0401,0.1742
2019-01-03 04:00:00,EMEP_noBD,0.0625,0.1238,0.02,0.0443,1.2342,0.4632,0.0397,0.0048,0.3351,0.0678,0.1851
2019-01-03 05:00:00,EMEP_noBD,0.0714,0.1533,0.0236,0.0525,1.5406,0.3646,0.0547,0.0056,0.3855,0.0755,0.2052
2019-01-03 06:00:00,EMEP_noBD,0.0693,0.1468,0.0298,0.0665,1.7657,0.2781,0.0818,0.0067,0.3914,0.0632,0.2245
2019-01-03 07:00:00,EMEP_noBD,0.0675,0.1501,0.037,0.0852,1.9433,0.2719,0.1001,0.0074,0.4051,0.0513,0.203
2019-01-03 08:00:00,EMEP_noBD,0.08,0.1544,0.0413,0.1002,2.142,0.3264,0.1085,0.0076,0.408,0.0439,0.1406
2019-01-03 09:00:00,EMEP_noBD,0.1115,0.1858,0.0455,0.1011,2.3484,0.3789,0.1018,0.0072,0.3718,0.0408,0.0754
2019-01-03 10:00:00,EMEP_noBD,0.1225,0.1727,0.0403,0.0728,2.391,0.319,0.0719,0.0067,0.3783,0.0378,0.0482
2019-01-03 11:00:00,EMEP_noBD,0.0998,0.1543,0.0383,0.0564,2.3242,0.2902,0.062,0.0069,0.484,0.0372,0.0588
2019-01-03 12:00:00,EMEP_noBD,0.0836,0.1349,0.0335,0.0522,2.2241,0.2766,0.0602,0.0091,0.5648,0.0339,0.0664
2019-01-03 13:00:00,EMEP_noBD,0.0859,0.1177,0.0268,0.0517,2.2538,0.2915,0.0598,0.0131,0.4852,0.0388,0.0549
2019-01-03 14:00:00,EMEP_noBD,0.0957,0.0973,0.0213,0.0484,2.1422,0.294,0.0576,0.0156,0.3086,0.044,0.0417
