LC,LAI,SAI,T2,RH,VPD,PS,ZEN,RAIN,dsnow,PARdbh,PARdif,PARsun,PARshade,Hd,LE,UREF,USTmod,UST,LAIsunfrac,Fphen,Flight,Fsun,Ftemp,Fvpd,FSW,Fenv,gsto,gsun,FstO3,Ra,Rb,Gns,Gsto,Rsur,Vg3NH3,NH3_ppb,Time
9,2.011,2.511,6.644,0.952,0.047,986.9,146.3,0.8485,3.469e-16, 0.000E+00,0.0,0.0,0.0,-16.81,-6.092,4.578,0.3107,0.2384,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,80.54,28.67,0.04468,0.0,22.38,0.01248,0.1782,2018-01-01 00:00:00
9,2.011,2.511,6.644,0.952,0.047,986.9,142.0,0.8485,3.469e-16, 0.000E+00,0.0,0.0,0.0,-16.81,-6.092,4.578,0.3107,0.2384,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,80.54,28.67,0.0355,0.0,28.17,0.01248,0.2729,2018-01-01 01:00:00
9,2.011,2.511,6.644,0.952,0.047,986.9,135.5,0.8485,3.469e-16, 0.000E+00,0.0,0.0,0.0,-16.81,-6.092,4.578,0.3107,0.2384,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,80.54,28.67,0.0355,0.0,28.17,0.01248,0.3141,2018-01-01 02:00:00
9,2.011,2.511,6.644,0.952,0.047,986.9,127.7,0.1277,3.469e-16, 0.000E+00,0.0,0.0,0.0,-32.75,4.292,4.578,0.5369,0.2583,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,68.63,26.47,0.0355,0.0,28.17,0.01356,0.3017,2018-01-01 03:00:00
9,2.011,2.511,6.499,0.936,0.062,986.6,119.3,0.1277,3.469e-16, 0.000E+00,0.0,0.0,0.0,-32.75,4.292,5.987,0.5368,0.3377,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,52.48,20.24,0.02689,0.0,37.19,0.01726,0.3693,2018-01-01 04:00:00
9,2.011,2.511,6.355,0.92,0.077,986.4,110.9,0.1277,3.469e-16, 0.000E+00,0.0,0.0,0.0,-32.75,4.292,7.526,0.5367,0.4246,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.75,16.1,0.02176,0.0,45.95,0.02095,0.4758,2018-01-01 05:00:00
9,2.011,2.511,6.21,0.904,0.091,986.2,102.8,0.01558,3.469e-16, 0.000E+00,0.0,0.0,0.0,-46.91,11.21,9.13,0.6679,0.5218,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,33.53,13.1,0.01649,0.0,60.65,0.02466,0.669,2018-01-01 06:00:00
9,2.011,2.511,5.956,0.901,0.093,986.3,95.34,0.01558,3.469e-16, 0.000E+00,0.0,0.0,0.0,-46.91,11.21,9.046,0.6676,0.517,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,33.85,13.22,0.01674,0.0,59.74,0.02436,0.8196,2018-01-01 07:00:00
9,2.011,2.511,5.702,0.897,0.094,986.4,88.85,0.01558,3.469e-16, 3.838E-04,2.889,1.288,1.279,-46.91,11.21,8.992,0.6672,0.5138,0.01989,1.0,0.05124,0.05161,0.01,1.0,1.0,0.0005124,3.207e-06,3.23e-06,0.0,34.06,13.3,0.01474,8.844e-06,67.8,0.02413,0.7921,2018-01-01 08:00:00
9,2.011,2.511,5.447,0.894,0.096,986.4,83.69,0.1677,3.469e-16, 3.733E-01,11.19,6.673,4.973,-16.97,29.9,8.968,0.7296,0.527,0.1092,1.0,0.191,0.24,0.01,1.0,1.0,0.00191,1.194e-05,1.501e-05,0.0,32.29,12.97,0.01499,3.294e-05,66.58,0.02459,0.8093,2018-01-01 09:00:00
9,2.011,2.511,5.428,0.895,0.095,986.6,80.2,0.1677,3.469e-16, 1.036E+00,21.12,12.44,9.403,-16.97,29.9,9.397,0.7295,0.5523,0.1689,1.0,0.3342,0.4006,0.01,1.0,1.0,0.003342,2.09e-05,2.505e-05,0.0,30.81,12.38,0.0139,5.763e-05,71.65,0.0256,0.7608,2018-01-01 10:00:00
9,2.011,2.511,5.408,0.896,0.094,986.8,78.62,0.1677,3.469e-16, 1.387E+00,25.92,15.06,11.54,-16.97,29.9,9.967,0.7294,0.5857,0.195,1.0,0.3942,0.4617,0.01,1.0,1.0,0.003942,2.465e-05,2.887e-05,0.0,29.05,11.67,0.01289,6.798e-05,77.17,0.0269,0.75,2018-01-01 11:00:00
9,2.011,2.511,5.389,0.896,0.093,987.0,79.11,0.02812,3.469e-16, 2.808E+01,42.78,94.69,20.39,-39.79,38.09,10.65,0.8009,0.6209,0.187,1.0,0.6448,0.9796,0.01,1.0,1.0,0.006448,4.032e-05,6.126e-05,0.0,27.63,11.01,0.01291,0.0001112,76.81,0.02824,0.8111,2018-01-01 12:00:00
9,2.011,2.511,5.239,0.877,0.109,987.9,81.61,0.02812,3.469e-16, 1.634E+01,32.39,71.22,15.22,-39.79,38.09,10.23,0.8004,0.5963,0.145,1.0,0.535,0.9466,0.01,1.0,1.0,0.00535,3.344e-05,5.916e-05,0.0,28.77,11.46,0.009077,9.22e-05,109.1,0.02648,0.9367,2018-01-01 13:00:00
9,2.011,2.511,5.09,0.857,0.126,988.7,85.93,0.02812,3.469e-16, 2.153E+00,14.62,21.76,6.597,-39.79,38.09,9.812,0.7998,0.5718,0.07062,1.0,0.2626,0.5914,0.01,1.0,1.0,0.002626,1.64e-05,3.694e-05,0.0,30.01,11.95,0.006894,4.523e-05,144.1,0.02474,1.143,2018-01-01 14:00:00
9,2.011,2.511,4.94,0.837,0.141,989.6,91.75,0.01058,3.469e-16, 0.000E+00,0.0,0.0,0.0,-30.0,15.71,9.394,0.6267,0.5416,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32.02,12.62,0.005655,0.0,176.8,0.02283,1.141,2018-01-01 15:00:00
