T2,RH,USTgrid,MOLgrid,H0,LE,HMIX,RAIN,dsnow,USTmod,MOL,PARsun,PARshade,Ra,Rb,Rinc,Rext,Gns,LAI,LAIsun,SAI,Fphen,Flight,Ft,Fvpd,Vg,Rsur,NH3,SO2,NH3_ppb,SO2_ppb,Time,PS,UV10
6.7900000000000205,0.968,0.097,25.0,-17.378,1.185,195.8,0.873,0.0,0.2,63.1,0.0,0.0,106.8,38.4,42.3,0.0,0.0314,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.005,31.9,0.243,0.147,0.33744438,0.05422242,2018-01-01 00:00:00,989.58,4.8
6.960000000000036,0.948,0.119,25.0,-19.372,1.515,241.6,0.873,0.0,0.258,109.7,0.0,0.0,74.2,29.7,32.7,0.0,0.0353,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.007,28.3,0.245,0.127,0.3402217,0.04684522,2018-01-01 01:00:00,989.22,5.72
7.1200000000000045,0.928,0.145,25.0,-21.364,1.845,287.4,0.287,0.0,0.323,178.4,0.0,0.0,55.9,23.7,26.1,0.0,0.0249,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.008,40.2,0.195,0.116,0.2707887,0.04278776000000001,2018-01-01 02:00:00,988.87,6.83
7.1299999999999955,0.909,0.185,31.9,-22.513,1.976,310.1,0.287,0.0,0.397,284.2,0.0,0.0,43.8,19.3,21.3,0.0,0.0196,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.009,51.1,0.226,0.141,0.31383716,0.052009259999999995,2018-01-01 03:00:00,988.48,7.23
7.1299999999999955,0.903,0.203,38.8,-23.661,2.105,332.7,0.287,0.0,0.423,322.3,0.0,0.0,40.8,18.1,20.0,0.0,0.0183,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.009,54.6,0.319,0.206,0.44298254000000004,0.07598516,2018-01-01 04:00:00,988.1,7.65
7.1299999999999955,0.897,0.223,47.2,-24.808,2.232,355.3,0.01,0.0,0.45,366.0,0.0,0.0,38.1,17.0,18.8,0.0,0.0171,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.009,58.6,0.381,0.323,0.5290794600000001,0.11914178000000002,2018-01-01 05:00:00,987.71,8.09
6.710000000000036,0.891,0.244,57.2,-20.235,2.393,365.1,0.01,0.0,0.479,416.0,0.0,0.0,35.6,16.0,17.6,0.0,0.0179,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.009,55.9,0.418,0.511,0.5804598799999999,0.18848746000000002,2018-01-01 06:00:00,987.8,8.08
6.2900000000000205,0.887,0.251,73.5,-15.658,2.557,374.9,0.01,0.0,0.481,507.5,0.0,0.0,35.1,15.9,17.5,0.0,0.0221,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.011,45.2,0.371,0.558,0.51519286,0.20582388000000004,2018-01-01 07:00:00,987.88,8.06
5.8700000000000045,0.882,0.257,99.7,-11.084,2.716,384.7,0.214,0.0,0.484,652.6,0.1,0.0,34.7,15.8,17.5,0.0,0.0256,2.0,0.0,2.0,1.0,0.0,0.01,1.0,0.011,39.1,0.387,0.521,0.53741142,0.19217606,2018-01-01 08:00:00,987.96,8.05
5.970000000000027,0.875,0.263,148.3,-7.743,3.076,412.7,0.214,0.0,0.486,917.5,47.1,4.4,34.1,15.8,17.4,0.0,0.0217,2.0,0.2,2.0,1.0,0.239,0.01,1.0,0.011,46.1,0.449,0.508,0.62350834,0.18738088,2018-01-01 09:00:00,988.31,8.67
