LC,LAI,SAI,T2,RH,VPD,PS,ZEN,RAIN,dsnow,PARdbh,PARdif,PARsun,PARshade,Hd,LE,UREF,USTmod,UST,LAIsunfrac,Fphen,Flight,Fsun,Ftemp,Fvpd,FSW,Fenv,gsto,gsun,FstO3,Ra,Rb,Gns,Gsto,Rsur,Vg3NH3,NH3_ppb,Time
9,2.006,2.506,1.181,0.988,0.008,986.1,141.1,0.1135,0.01144, 0.000E+00,0.0,0.0,0.0,-22.71,11.13,3.668,0.5892,0.2119,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,81.66,32.25,0.03444,0.0,29.04,0.008796,0.07414,2018-01-01 00:00:00
9,2.006,2.506,1.181,0.988,0.008,986.1,136.8,0.1135,0.01144, 0.000E+00,0.0,0.0,0.0,-22.71,11.13,3.668,0.5892,0.2119,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,81.66,32.25,0.03444,0.0,29.04,0.008796,0.0847,2018-01-01 01:00:00
9,2.006,2.506,1.181,0.988,0.008,986.1,130.8,0.1135,0.01144, 0.000E+00,0.0,0.0,0.0,-22.71,11.13,3.668,0.5892,0.2119,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,81.66,32.25,0.03444,0.0,29.04,0.008796,0.09268,2018-01-01 02:00:00
9,2.006,2.506,1.181,0.988,0.008,986.1,123.8,0.005405,0.01144, 0.000E+00,0.0,0.0,0.0,-14.5,0.2967,3.668,0.3936,0.2056,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,86.8,33.25,0.03304,0.0,30.26,0.008491,0.09483,2018-01-01 03:00:00
9,2.006,2.506,1.296,0.99,0.006,985.8,116.4,0.005405,0.01119, 0.000E+00,0.0,0.0,0.0,-14.5,0.2967,3.347,0.3938,0.1876,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,95.12,36.44,0.03526,0.0,28.36,0.008048,0.1048,2018-01-01 04:00:00
9,2.006,2.506,1.412,0.993,0.005,985.5,109.0,0.005405,0.01094, 0.000E+00,0.0,0.0,0.0,-14.5,0.2967,3.036,0.3939,0.1702,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,104.9,40.17,0.03406,0.0,29.36,0.007403,0.1318,2018-01-01 05:00:00
9,2.006,2.506,1.527,0.995,0.003,985.2,101.9,0.0,0.01068, 0.000E+00,0.0,0.0,0.0,-10.75,-3.58,2.738,0.2842,0.1455,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,129.3,46.98,0.03284,0.0,30.45,0.006463,0.1735,2018-01-01 06:00:00
9,2.006,2.506,1.581,0.996,0.003,985.1,95.55,0.0,0.01068, 0.000E+00,0.0,0.0,0.0,-10.75,-3.58,2.541,0.2843,0.135,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,139.4,50.63,0.03257,0.0,30.7,0.006075,0.2402,2018-01-01 07:00:00
9,2.006,2.506,1.635,0.997,0.002,984.9,90.19,0.0,0.01068, 0.000E+00,0.0,0.0,0.0,-10.75,-3.58,2.393,0.2844,0.1272,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,148.0,53.76,0.03231,0.0,30.95,0.005775,0.2674,2018-01-01 08:00:00
9,2.006,2.506,1.689,0.998,0.001,984.7,86.15,0.009908,0.01068, 3.327E-02,4.664,2.317,2.069,-2.06,-1.505,2.304,0.2912,0.134,0.06691,1.0,0.0822,0.09089,0.01,1.0,1.0,0.000822,5.072e-06,5.608e-06,0.0,128.3,51.01,0.03206,1.395e-05,31.18,0.006062,0.2385,2018-01-01 09:00:00
9,2.006,2.506,1.865,0.998,0.001,984.3,83.68,0.009908,0.01043, 1.554E-01,9.531,4.938,4.232,-2.06,-1.505,2.193,0.2913,0.1276,0.1097,1.0,0.1624,0.1838,0.01,1.0,1.0,0.001624,1.003e-05,1.135e-05,0.0,134.7,53.58,0.03603,2.758e-05,27.73,0.005943,0.1714,2018-01-01 10:00:00
9,2.006,2.506,2.041,0.998,0.002,983.9,82.96,0.009908,0.01017, 2.046E-01,11.19,5.803,4.968,-2.06,-1.505,2.086,0.2915,0.1213,0.1222,1.0,0.1882,0.2123,0.01,1.0,1.0,0.001882,1.163e-05,1.312e-05,0.0,141.7,56.34,0.04172,3.197e-05,23.95,0.005823,0.04976,2018-01-01 11:00:00
9,2.006,2.506,2.217,0.997,0.002,983.5,84.04,0.386,0.009919, 1.329E-01,8.735,4.519,3.878,-10.47,-1.906,1.981,0.2678,0.1035,0.1035,1.0,0.1497,0.1696,0.01,1.0,1.0,0.001497,9.256e-06,1.048e-05,0.0,185.1,66.06,0.04318,2.546e-05,23.15,0.005046,0.03821,2018-01-01 12:00:00
9,2.006,2.506,2.2,0.998,0.002,983.2,86.85,0.386,0.008647, 1.512E-02,3.587,1.728,1.591,-10.47,-1.906,1.994,0.2678,0.1041,0.05478,1.0,0.06362,0.06862,0.01,1.0,1.0,0.0006362,3.932e-06,4.241e-06,0.0,183.9,65.65,0.05046,1.082e-05,19.81,0.005161,0.1658,2018-01-01 13:00:00
9,2.006,2.506,2.184,0.998,0.001,982.8,91.18,0.386,0.007376, 0.000E+00,0.0,0.0,0.0,-10.47,-1.906,2.033,0.2678,0.1062,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,180.3,64.37,0.04239,0.0,23.59,0.00515,0.2784,2018-01-01 14:00:00
9,2.006,2.506,2.168,0.999,0.001,982.5,96.76,0.7978,0.006104, 0.000E+00,0.0,0.0,0.0,-5.998,-1.66,2.099,0.1574,0.1,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,233.6,68.35,0.04721,0.0,21.18,0.00485,0.3613,2018-01-01 15:00:00
