T2,RH,USTgrid,MOLgrid,H0,LE,HMIX,RAIN,dsnow,USTmod,MOL,PARsun,PARshade,Ra,Rb,Rinc,Rext,Gns,LAI,LAIsun,SAI,Fphen,Flight,Ft,Fvpd,X_tot,Vg,Rsur,NH3,SO2,NH3_ppb,SO2_ppb,Time
7.4500000000000455,0.897,0.269,79.4,-26.796,2.726,400.6,0.038,0.0,0.508,525.8,0.0,0.0,33.2,15.1,16.6,8.2,0.1249,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.018,8.0,0.489,0.308,0.67905474,0.11360888000000001,2019-01-01 00:00:00
7.6200000000000045,0.891,0.301,96.1,-30.065,2.925,431.8,0.038,0.0,0.554,590.4,0.0,0.0,30.4,13.8,15.3,8.7,0.1181,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.02,8.5,0.488,0.326,0.67766608,0.12024836000000001,2019-01-01 01:00:00
7.78000000000003,0.884,0.336,118.1,-33.336,3.117,463.0,0.0,0.0,0.603,673.1,0.0,0.0,27.8,12.7,14.0,9.1,0.1118,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.021,8.9,0.465,0.344,0.6457269,0.12688784,2019-01-01 02:00:00
7.360000000000014,0.877,0.376,146.6,-42.219,3.106,480.8,0.0,0.0,0.657,776.4,0.0,0.0,25.4,11.7,12.9,9.7,0.1058,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.022,9.5,0.458,0.353,0.63600628,0.13020758,2019-01-01 03:00:00
6.939999999999998,0.834,0.4,140.2,204.897,3.091,498.5,0.0,0.0,0.694,725.1,0.0,0.0,24.1,11.0,12.2,13.9,0.0735,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.021,13.6,0.481,0.281,0.66794546,0.10364966000000002,2019-01-01 04:00:00
6.520000000000039,0.787,0.427,141.2,196.011,3.084,516.2,0.0,0.0,0.734,708.5,0.0,0.0,22.8,10.4,11.5,20.6,0.0499,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.019,20.0,0.411,0.218,0.57073926,0.08041148000000001,2019-01-01 05:00:00
6.430000000000007,0.736,0.458,147.5,-45.566,3.753,559.6,0.0,0.0,0.777,713.8,0.0,0.0,21.5,9.9,10.9,31.3,0.0331,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.017,30.2,0.336,0.185,0.46658976,0.0682391,2019-01-01 06:00:00
6.350000000000023,0.72,0.491,236.1,-31.143,4.423,602.9,0.0,0.0,0.814,1000.0,0.0,0.0,20.4,9.4,10.4,36.0,0.0288,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.016,34.7,0.302,0.142,0.41937532,0.05237812,2019-01-01 07:00:00
6.270000000000039,0.703,0.524,416.0,-16.722,5.099,646.2,0.0,0.0,0.847,1000.0,0.2,0.0,19.6,9.1,10.0,41.5,0.0251,2.0,0.0,2.0,1.0,0.001,0.01,1.0,0.0,0.015,39.8,0.307,0.124,0.42631862,0.045738640000000004,2019-01-01 08:00:00
6.189999999999998,0.686,0.557,925.6,-7.662,5.712,968.5,0.0,0.0,0.882,1000.0,179.4,16.8,18.8,8.7,9.6,47.8,0.0219,2.0,0.2,2.0,1.0,0.552,0.01,1.0,0.001,0.014,45.5,0.279,0.108,0.38743614000000004,0.039836880000000005,2019-01-01 09:00:00
