LC,LAI,SAI,T2,RH,VPD,PS,ZEN,RAIN,dsnow,PARdbh,PARdif,PARsun,PARshade,Hd,LE,UREF,USTmod,UST,LAIsunfrac,Fphen,Flight,Fsun,Ftemp,Fvpd,FSW,Fenv,gsto,gsun,FstO3,Ra,Rb,Gns,Gsto,Rsur,Vg3NH3,NH3_ppb,Time
9,2.011,2.511,6.856,0.923,0.076,1028.0,151.2,0.0537,3.469e-16,0.0,0.0,0.0,0.0,-18.88,14.95,5.198,0.541,0.3002,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,57.67,22.77,0.01683,0.0,59.43,0.008392,2.357,2019-01-01 00:00:00
9,2.011,2.511,6.856,0.923,0.076,1028.0,147.5,0.0537,3.469e-16,0.0,0.0,0.0,0.0,-18.88,14.95,5.198,0.541,0.3002,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,57.67,22.77,0.01559,0.0,64.16,0.008071,3.932,2019-01-01 01:00:00
9,2.011,2.511,6.856,0.923,0.076,1028.0,140.8,0.0537,3.469e-16,0.0,0.0,0.0,0.0,-18.88,14.95,5.198,0.541,0.3002,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,57.67,22.77,0.01559,0.0,64.16,0.008071,4.415,2019-01-01 02:00:00
9,2.011,2.511,6.856,0.923,0.076,1028.0,132.4,0.01121,3.469e-16,0.0,0.0,0.0,0.0,-21.95,17.14,5.198,0.5765,0.3005,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,57.55,22.74,0.01559,0.0,64.16,0.008075,4.761,2019-01-01 03:00:00
9,2.011,2.511,6.806,0.917,0.082,1027.0,123.2,0.01121,3.469e-16,0.0,0.0,0.0,0.0,-21.95,17.14,5.345,0.5766,0.309,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,55.97,22.12,0.01355,0.0,73.82,0.007584,5.157,2019-01-01 04:00:00
9,2.011,2.511,6.756,0.91,0.088,1027.0,113.9,0.01121,3.469e-16,0.0,0.0,0.0,0.0,-21.95,17.14,5.492,0.5767,0.3175,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,54.47,21.53,0.01358,0.0,73.63,0.007686,5.554,2019-01-01 05:00:00
9,2.011,2.511,6.705,0.904,0.094,1026.0,104.9,0.03428,3.469e-16,0.0,0.0,0.0,0.0,-23.84,18.97,5.639,0.609,0.3267,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,52.83,20.92,0.01181,0.0,84.71,0.007164,6.287,2019-01-01 06:00:00
9,2.011,2.511,6.844,0.904,0.095,1026.0,96.33,0.03428,3.469e-16,0.0,0.0,0.0,0.0,-23.84,18.97,5.708,0.6092,0.3307,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,52.19,20.67,0.01172,0.0,85.33,0.007166,7.49,2019-01-01 07:00:00
9,2.011,2.511,6.983,0.904,0.096,1026.0,88.71,0.03428,3.469e-16,3.833e-05,1.347,0.5969,0.596,-23.84,18.97,5.785,0.6094,0.3352,0.02232,1.0,0.02422,0.02425,0.01,1.0,1.0,0.0002422,1.523e-06,1.525e-06,0.0,51.49,20.39,0.01164,4.199e-06,85.91,0.007173,9.042,2019-01-01 08:00:00
9,2.011,2.511,7.123,0.904,0.097,1026.0,82.36,0.06977,3.469e-16,12.95,29.1,62.31,13.59,-11.75,25.19,5.869,0.638,0.3449,0.1321,1.0,0.4935,0.9229,0.01,1.0,1.0,0.004935,3.105e-05,5.807e-05,0.0,49.33,19.82,0.01248,8.562e-05,79.61,0.007603,10.08,2019-01-01 09:00:00
9,2.011,2.511,7.649,0.898,0.107,1026.0,77.67,0.06977,3.469e-16,35.44,48.09,106.1,23.08,-11.75,25.19,5.651,0.6387,0.3321,0.2104,1.0,0.6917,0.9873,0.01,1.0,1.0,0.006917,4.361e-05,6.223e-05,0.0,51.23,20.58,0.009769,0.0001202,101.1,0.00645,10.39,2019-01-01 10:00:00
9,2.011,2.511,8.175,0.892,0.118,1025.0,75.0,0.06977,3.469e-16,50.1,58.21,125.0,28.19,-11.75,25.19,5.597,0.6394,0.329,0.2521,1.0,0.764,0.9941,0.01,1.0,1.0,0.00764,4.825e-05,6.278e-05,0.0,51.72,20.78,0.009546,0.000133,103.3,0.006339,10.77,2019-01-01 11:00:00
9,2.011,2.511,8.701,0.886,0.129,1025.0,74.59,0.03402,3.469e-16,47.19,61.23,118.2,29.37,-21.87,34.82,5.713,0.6514,0.3331,0.2583,1.0,0.7764,0.9923,0.01,1.0,1.0,0.007764,4.912e-05,6.278e-05,0.0,51.5,20.52,0.008099,0.0001354,121.4,0.005706,12.47,2019-01-01 12:00:00
9,2.011,2.511,8.366,0.843,0.173,1025.0,76.48,0.03402,3.469e-16,37.69,53.73,106.3,25.65,-21.87,34.82,5.753,0.6509,0.3354,0.2293,1.0,0.7288,0.9874,0.01,1.0,1.0,0.007288,4.606e-05,6.24e-05,0.0,51.14,20.38,0.005,0.000127,195.0,0.004025,14.02,2019-01-01 13:00:00
9,2.011,2.511,8.031,0.8,0.216,1026.0,80.5,0.03402,3.469e-16,19.07,36.97,75.14,17.38,-21.87,34.82,5.889,0.6504,0.3433,0.1638,1.0,0.5834,0.9545,0.01,1.0,1.0,0.005834,3.683e-05,6.025e-05,0.0,49.97,19.91,0.005,0.0001015,196.0,0.004029,13.02,2019-01-01 14:00:00
9,2.011,2.511,7.696,0.757,0.256,1026.0,86.31,0.007319,3.469e-16,1.311,13.01,16.01,5.835,-35.14,22.29,6.112,0.6757,0.3534,0.0641,1.0,0.2306,0.4823,0.01,1.0,1.0,0.002306,1.454e-05,3.041e-05,0.0,48.93,19.34,0.005,4.009e-05,198.4,0.004014,11.57,2019-01-01 15:00:00
9,2.011,2.511,7.363,0.723,0.285,1026.0,93.52,0.007319,3.469e-16,0.0,0.0,0.0,0.0,-35.14,22.29,6.22,0.6751,0.3596,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,48.09,19.01,0.005,0.0,200.0,0.004002,9.905,2019-01-01 16:00:00
9,2.011,2.511,7.03,0.689,0.312,1027.0,101.8,0.007319,3.469e-16,0.0,0.0,0.0,0.0,-35.14,22.29,6.327,0.6745,0.3658,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,47.28,18.68,0.005,0.0,200.0,0.004016,8.019,2019-01-01 17:00:00
