LC,LAI,SAI,T2,RH,VPD,PS,ZEN,RAIN,dsnow,PARdbh,PARdif,PARsun,PARshade,Hd,LE,UREF,USTmod,UST,LAIsunfrac,Fphen,Flight,Fsun,Ftemp,Fvpd,FSW,Fenv,gsto,gsun,FstO3,Ra,Rb,Gns,Gsto,Rsur,Vg3NH3,NH3_ppb,Time
9,2.006,2.506,4.729,0.944,0.048,983.9,141.1,0.0,0.03586, 0.000E+00,0.0,0.0,0.0,-84.6,-11.66,6.35,0.8746,0.3655,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,47.53,18.7,0.01429,0.0,70.0,0.01868,0.09637,2019-01-01 00:00:00
9,2.006,2.506,4.729,0.944,0.048,983.9,136.8,0.0,0.03586, 0.000E+00,0.0,0.0,0.0,-84.6,-11.66,6.35,0.8746,0.3655,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,47.53,18.7,0.01429,0.0,70.0,0.01868,0.07257,2019-01-01 01:00:00
9,2.006,2.506,4.729,0.944,0.048,983.9,130.8,0.0,0.03586, 0.000E+00,0.0,0.0,0.0,-84.6,-11.66,6.35,0.8746,0.3655,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,47.53,18.7,0.01429,0.0,70.0,0.01868,0.06788,2019-01-01 02:00:00
9,2.006,2.506,4.729,0.944,0.048,983.9,123.8,0.07905,0.03586, 0.000E+00,0.0,0.0,0.0,-110.9,-5.011,6.35,0.7483,0.3536,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,50.79,19.33,0.01429,0.0,70.0,0.01807,0.06256,2019-01-01 03:00:00
9,2.006,2.506,3.854,0.939,0.05,983.2,116.4,0.07905,0.03459, 0.000E+00,0.0,0.0,0.0,-110.9,-5.011,5.777,0.7474,0.3216,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,55.86,21.25,0.01429,0.0,70.0,0.0165,0.0626,2019-01-01 04:00:00
9,2.006,2.506,2.979,0.933,0.051,982.4,109.0,0.07905,0.03332, 0.000E+00,0.0,0.0,0.0,-110.9,-5.011,5.408,0.7465,0.3009,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,59.71,22.71,0.01429,0.0,70.0,0.01546,0.07551,2019-01-01 05:00:00
9,2.006,2.506,2.104,0.927,0.052,981.7,101.9,0.06923,0.03205, 0.000E+00,0.0,0.0,0.0,-79.4,18.63,5.283,0.6453,0.292,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,61.96,23.41,0.01429,0.0,70.0,0.01497,0.09938,2019-01-01 06:00:00
9,2.006,2.506,1.69,0.93,0.048,981.8,95.55,0.06923,0.03154, 0.000E+00,0.0,0.0,0.0,-79.4,18.63,4.708,0.6448,0.2602,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,69.56,26.27,0.01429,0.0,70.0,0.01347,0.1204,2019-01-01 07:00:00
9,2.006,2.506,1.276,0.933,0.045,981.9,90.21,0.06923,0.03103, 0.000E+00,0.0,0.0,0.0,-79.4,18.63,4.166,0.6443,0.2302,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,78.63,29.7,0.01429,0.0,70.0,0.01203,0.1305,2019-01-01 08:00:00
9,2.006,2.506,0.862,0.936,0.042,982.0,86.17,0.001719,0.03052, 2.689E+00,15.66,27.22,7.099,-43.41,11.27,3.673,0.4624,0.1964,0.06665,1.0,0.2812,0.6735,0.01,1.0,1.0,0.002812,1.73e-05,4.143e-05,0.0,95.24,34.81,0.01255,4.758e-05,79.39,0.01033,0.1367,2019-01-01 09:00:00
9,2.006,2.506,0.97,0.925,0.049,982.4,83.7,0.001719,0.03052, 1.259E+01,25.28,69.28,11.91,-43.41,11.27,3.684,0.4624,0.197,0.1094,1.0,0.4481,0.9421,0.01,1.0,1.0,0.004481,2.757e-05,5.798e-05,0.0,94.95,34.7,0.01387,7.584e-05,71.68,0.01032,0.1501,2019-01-01 10:00:00
9,2.006,2.506,1.079,0.915,0.056,982.9,82.98,0.001719,0.03052, 1.655E+01,27.95,81.02,13.31,-43.41,11.27,3.713,0.4624,0.1985,0.1218,1.0,0.4877,0.9643,0.01,1.0,1.0,0.004877,3.002e-05,5.936e-05,0.0,94.2,34.43,0.01429,8.257e-05,69.6,0.01035,0.1614,2019-01-01 11:00:00
9,2.006,2.506,1.188,0.905,0.063,983.4,84.07,0.0,0.03052, 1.086E+01,24.26,63.92,11.37,-73.41,25.16,3.759,0.5655,0.2025,0.103,1.0,0.4305,0.9279,0.01,1.0,1.0,0.004305,2.651e-05,5.714e-05,0.0,91.63,33.75,0.01429,7.293e-05,69.64,0.0105,0.1739,2019-01-01 12:00:00
9,2.006,2.506,1.026,0.894,0.07,984.4,86.88,0.0,0.02823, 1.197E+00,12.99,16.83,5.828,-73.41,25.16,4.14,0.565,0.2231,0.05428,1.0,0.2287,0.4994,0.01,1.0,1.0,0.002287,1.408e-05,3.074e-05,0.0,83.21,30.64,0.01429,3.871e-05,69.81,0.01141,0.1766,2019-01-01 13:00:00
9,2.006,2.506,0.864,0.883,0.076,985.4,91.21,0.0,0.02594, 0.000E+00,0.0,0.0,0.0,-73.41,25.16,4.602,0.5646,0.2479,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,74.88,27.57,0.01257,0.0,79.54,0.01247,0.1701,2019-01-01 14:00:00
9,2.006,2.506,0.702,0.872,0.082,986.5,96.79,0.0,0.02365, 0.000E+00,0.0,0.0,0.0,-99.03,30.79,5.123,0.8275,0.2915,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,60.31,23.45,0.011,0.0,90.88,0.01435,0.1547,2019-01-01 15:00:00
9,2.006,2.506,1.096,0.857,0.095,987.9,103.3,0.0,0.02365, 0.000E+00,0.0,0.0,0.0,-99.03,30.79,5.525,0.8275,0.3144,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,55.91,21.74,0.01429,0.0,70.0,0.01509,0.1237,2019-01-01 16:00:00
9,2.006,2.506,1.491,0.842,0.108,989.4,110.5,0.0,0.02365, 0.000E+00,0.0,0.0,0.0,-99.03,30.79,6.006,0.8274,0.3417,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,51.42,20.0,0.01429,0.0,70.0,0.0159,0.137,2019-01-01 17:00:00
9,2.006,2.506,1.886,0.827,0.121,990.8,117.9,0.06597,0.02365, 0.000E+00,0.0,0.0,0.0,-55.06,29.23,6.548,1.22,0.386,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43.95,17.71,0.01429,0.0,70.0,0.01722,0.1466,2019-01-01 18:00:00
9,2.006,2.506,1.245,0.775,0.15,993.0,125.3,0.06597,0.02365, 0.000E+00,0.0,0.0,0.0,-55.06,29.23,7.377,1.217,0.4348,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,39.02,15.72,0.01429,0.0,70.0,0.01695,0.09087,2019-01-01 19:00:00
9,2.006,2.506,0.604,0.724,0.176,995.3,132.1,0.06597,0.02365, 0.000E+00,0.0,0.0,0.0,-55.06,29.23,8.231,1.214,0.4852,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.97,14.09,0.01023,0.0,97.74,0.01562,0.07541,2019-01-01 20:00:00
9,2.006,2.506,-0.037,0.673,0.199,997.5,137.8,0.1219,0.02365, 0.000E+00,0.0,0.0,0.0,-43.45,23.56,9.105,1.456,0.5389,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31.35,12.68,0.007012,0.0,142.6,0.01347,0.06658,2019-01-01 21:00:00
9,2.006,2.506,-0.217,0.67,0.198,999.1,141.6,0.1219,0.02416, 0.000E+00,0.0,0.0,0.0,-43.45,23.56,9.301,1.455,0.5505,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30.69,12.42,0.006445,0.0,155.2,0.01346,0.06036,2019-01-01 22:00:00
9,2.006,2.506,-0.396,0.668,0.197,1001.0,142.8,0.1219,0.02467, 0.000E+00,0.0,0.0,0.0,-43.45,23.56,9.503,1.453,0.5624,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30.04,12.15,0.005963,0.0,167.7,0.01344,0.05673,2019-01-01 23:00:00
9,2.016,2.516,-0.575,0.666,0.196,1002.0,141.1,0.01732,0.02518, 0.000E+00,0.0,0.0,0.0,-95.6,47.05,9.708,1.615,0.5734,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29.53,11.92,0.005547,0.0,180.3,0.01344,0.05201,2019-01-02 00:00:00
9,2.016,2.516,-0.857,0.625,0.216,1004.0,136.8,0.01732,0.0295, 0.000E+00,0.0,0.0,0.0,-95.6,47.05,9.8,1.613,0.5788,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29.25,11.81,0.005,0.0,200.0,0.01102,0.05712,2019-01-02 01:00:00
9,2.016,2.516,-1.14,0.583,0.234,1006.0,130.8,0.01732,0.03383, 0.000E+00,0.0,0.0,0.0,-95.6,47.05,9.896,1.611,0.5845,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28.97,11.7,0.001429,0.0,700.0,0.008851,0.06605,2019-01-02 02:00:00
9,2.016,2.516,-1.422,0.542,0.252,1007.0,123.8,0.001531,0.03815, 0.000E+00,0.0,0.0,0.0,-106.1,35.14,9.996,1.444,0.5886,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28.85,11.61,0.001429,0.0,700.0,0.007004,0.06189,2019-01-02 03:00:00
9,2.016,2.516,-1.655,0.539,0.25,1009.0,116.4,0.001531,0.03789, 0.000E+00,0.0,0.0,0.0,-106.1,35.14,9.669,1.442,0.5693,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29.83,12.01,0.001429,0.0,700.0,0.006822,0.06953,2019-01-02 04:00:00
9,2.016,2.516,-1.889,0.536,0.247,1010.0,108.9,0.001531,0.03764, 0.000E+00,0.0,0.0,0.0,-106.1,35.14,9.342,1.441,0.5501,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30.88,12.43,0.001429,0.0,700.0,0.006643,0.0819,2019-01-02 05:00:00
9,2.016,2.516,-2.122,0.532,0.245,1012.0,101.9,0.003859,0.03739, 0.000E+00,0.0,0.0,0.0,-68.3,35.74,9.016,1.291,0.5314,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31.93,12.86,0.001429,0.0,700.0,0.004352,0.1114,2019-01-02 06:00:00
9,2.016,2.516,-2.087,0.531,0.246,1013.0,95.52,0.003859,0.03713, 0.000E+00,0.0,0.0,0.0,-68.3,35.74,8.58,1.29,0.5056,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,33.56,13.52,0.001429,0.0,700.0,0.00432,0.137,2019-01-02 07:00:00
9,2.016,2.516,-2.051,0.529,0.248,1014.0,90.16,0.003859,0.03688, 0.000E+00,0.0,0.0,0.0,-68.3,35.74,8.144,1.289,0.4799,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,35.36,14.24,0.001429,0.0,700.0,0.004284,0.1471,2019-01-02 08:00:00
9,2.016,2.516,-2.016,0.527,0.249,1016.0,86.1,0.0009603,0.03662, 2.663E+00,16.24,26.92,7.331,-44.67,30.76,7.708,1.107,0.4542,0.06742,1.0,0.2879,0.6696,0.01,1.0,1.0,0.002879,1.752e-05,4.076e-05,0.0,37.37,15.05,0.001429,4.846e-05,677.0,0.004279,0.1537,2019-01-02 09:00:00
9,2.016,2.516,-2.06,0.534,0.245,1016.0,83.62,0.0009603,0.03662, 1.256E+01,26.11,68.73,12.24,-44.67,30.76,7.339,1.107,0.4324,0.1102,1.0,0.4557,0.9408,0.01,1.0,1.0,0.004557,2.773e-05,5.725e-05,0.0,39.25,15.81,0.001429,7.669e-05,664.3,0.004263,0.1723,2019-01-02 10:00:00
9,2.016,2.516,-2.104,0.54,0.241,1017.0,82.89,0.0009603,0.03662, 1.659E+01,28.9,80.68,13.69,-44.67,30.76,6.975,1.106,0.4109,0.1228,1.0,0.496,0.9638,0.01,1.0,1.0,0.00496,3.018e-05,5.864e-05,0.0,41.3,16.63,0.001429,8.345e-05,661.4,0.004228,0.1852,2019-01-02 11:00:00
9,2.016,2.516,-2.148,0.547,0.237,1017.0,83.96,0.0,0.03662, 1.080E+01,24.79,62.89,11.56,-69.62,15.88,6.615,0.7866,0.3796,0.1043,1.0,0.4355,0.9247,0.01,1.0,1.0,0.004355,2.649e-05,5.626e-05,0.0,45.9,18.01,0.001429,7.326e-05,665.9,0.004156,0.1987,2019-01-02 12:00:00
9,2.016,2.516,-2.739,0.59,0.205,1018.0,86.76,0.0,0.03383, 1.264E+00,13.53,17.23,6.054,-69.62,15.88,5.842,0.7854,0.3353,0.05605,1.0,0.2365,0.5078,0.01,1.0,1.0,0.002365,1.436e-05,3.083e-05,0.0,51.98,20.39,0.001429,3.97e-05,681.1,0.00403,0.2188,2019-01-02 13:00:00
9,2.016,2.516,-3.331,0.634,0.175,1019.0,91.08,0.0,0.03103, 0.000E+00,0.0,0.0,0.0,-69.62,15.88,5.151,0.7843,0.2956,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,58.97,23.13,0.001429,0.0,700.0,0.003894,0.2466,2019-01-02 14:00:00
9,2.016,2.516,-3.922,0.677,0.148,1019.0,96.66,0.00128,0.02823, 0.000E+00,0.0,0.0,0.0,-47.9,5.356,4.578,0.5689,0.2557,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,70.0,26.73,0.001429,0.0,700.0,0.003753,0.22,2019-01-02 15:00:00
9,2.016,2.516,-3.863,0.709,0.134,1020.0,103.2,0.00128,0.02823, 0.000E+00,0.0,0.0,0.0,-47.9,5.356,4.328,0.5689,0.2418,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,74.04,28.27,0.001429,0.0,700.0,0.003697,0.1841,2019-01-02 16:00:00
9,2.016,2.516,-3.804,0.74,0.12,1020.0,110.3,0.00128,0.02823, 0.000E+00,0.0,0.0,0.0,-47.9,5.356,4.079,0.5689,0.2279,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,78.55,29.99,0.001429,0.0,700.0,0.003636,0.1593,2019-01-02 17:00:00
9,2.016,2.516,-3.745,0.772,0.106,1020.0,117.8,0.001854,0.02823, 0.000E+00,0.0,0.0,0.0,-40.99,3.494,3.832,0.5141,0.2121,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,85.22,32.23,0.001429,0.0,700.0,0.003558,0.1377,2019-01-02 18:00:00
9,2.016,2.516,-3.688,0.798,0.094,1021.0,125.1,0.001854,0.02823, 0.000E+00,0.0,0.0,0.0,-40.99,3.494,3.902,0.5141,0.2159,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,83.7,31.66,0.001429,0.0,700.0,0.003578,0.1232,2019-01-02 19:00:00
9,2.016,2.516,-3.632,0.825,0.082,1021.0,132.0,0.001854,0.02823, 0.000E+00,0.0,0.0,0.0,-40.99,3.494,3.977,0.5141,0.2201,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,82.11,31.06,0.001429,0.0,700.0,0.003598,0.116,2019-01-02 20:00:00
9,2.016,2.516,-3.576,0.851,0.07,1021.0,137.7,0.003015,0.02823, 0.000E+00,0.0,0.0,0.0,-46.25,1.254,4.058,0.5206,0.2233,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,81.41,30.62,0.001429,0.0,700.0,0.003613,0.1342,2019-01-02 21:00:00
9,2.016,2.516,-3.758,0.864,0.063,1022.0,141.5,0.003015,0.02823, 0.000E+00,0.0,0.0,0.0,-46.25,1.254,3.984,0.5203,0.2191,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,82.95,31.19,0.001429,0.0,700.0,0.003593,0.1757,2019-01-02 22:00:00
9,2.016,2.516,-3.939,0.876,0.057,1022.0,142.7,0.003015,0.02823, 0.000E+00,0.0,0.0,0.0,-46.25,1.254,3.912,0.52,0.2152,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,84.49,31.77,0.001429,0.0,700.0,0.003573,0.196,2019-01-02 23:00:00
9,2.027,2.527,-4.121,0.889,0.05,1023.0,141.0,0.0001072,0.02823, 0.000E+00,0.0,0.0,0.0,-38.16,0.8315,3.843,0.4994,0.2125,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,85.13,32.17,0.001429,0.0,700.0,0.00356,0.2034,2019-01-03 00:00:00
9,2.027,2.527,-4.229,0.888,0.05,1023.0,136.7,0.0001072,0.02696, 0.000E+00,0.0,0.0,0.0,-38.16,0.8315,3.738,0.4992,0.2067,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,87.52,33.08,0.001429,0.0,700.0,0.00353,0.1893,2019-01-03 01:00:00
9,2.027,2.527,-4.337,0.887,0.05,1024.0,130.8,0.0001072,0.02569, 0.000E+00,0.0,0.0,0.0,-38.16,0.8315,3.636,0.499,0.201,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,90.0,34.01,0.001429,0.0,700.0,0.0035,0.1788,2019-01-03 02:00:00
