PS,UV10,T2,RH,USTgrid,MOLgrid,H0,LE,HMIX,RAIN,dsnow,USTmod,MOL,PARsun,PARshade,Ra,Rb,Rinc,Rext,Gns,LAI,LAIsun,SAI,Fphen,Flight,Ft,Fvpd,X_tot,Vg,Rsur,NH3,SO2,NH3_ppb,SO2_ppb,Time
988.75,5.25,3.830000000000041,0.952,0.13,25.0,-24.304,1.968,286.2,0.024,0.04,0.281,109.2,0.0,0.0,68.2,27.3,30.1,34.8,0.0387,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.008,25.8,0.012,0.048,0.01666392,0.01770528,2019-01-01 00:00:00
986.85,5.3,3.7100000000000364,0.95,0.132,25.0,-23.932,2.011,276.3,0.024,0.04,0.285,114.4,0.0,0.0,66.7,26.9,29.6,34.8,0.0388,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.008,25.8,0.007,0.059,0.009720620000000001,0.02176274,2019-01-01 01:00:00
984.94,5.36,3.590000000000032,0.947,0.133,25.0,-23.559,2.055,266.4,0.0,0.04,0.289,119.9,0.0,0.0,65.2,26.5,29.2,34.8,0.0388,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.008,25.8,0.004,0.062,0.0055546400000000004,0.022869320000000002,2019-01-01 02:00:00
984.03,5.39,3.6200000000000045,0.943,0.135,25.0,-37.055,1.606,242.1,0.0,0.04,0.294,125.7,0.0,0.0,63.8,26.1,28.8,34.8,0.0389,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.009,25.7,0.005,0.064,0.0069433,0.023607040000000003,2019-01-01 03:00:00
983.13,5.43,3.640000000000043,0.924,0.136,25.0,205.444,1.153,217.7,0.0,0.04,0.278,78.2,0.0,0.0,72.9,27.6,30.3,34.8,0.0387,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.008,25.8,0.007,0.066,0.009720620000000001,0.024344760000000003,2019-01-01 04:00:00
982.22,5.46,3.670000000000016,0.905,0.137,25.0,191.947,0.701,193.4,0.057,0.04,0.264,56.0,0.0,0.0,82.7,29.0,31.9,34.8,0.0385,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.007,26.0,0.011,0.068,0.015275259999999999,0.025082480000000004,2019-01-01 05:00:00
982.13,4.85,2.4399999999999977,0.885,0.138,25.0,202.138,0.722,178.9,0.057,0.04,0.252,42.9,0.0,0.0,93.6,30.5,33.6,34.8,0.0384,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.006,26.1,0.015,0.069,0.0208299,0.025451340000000003,2019-01-01 06:00:00
982.03,4.3,1.2100000000000364,0.907,0.12,25.0,-43.668,512.735,164.4,0.057,0.04,0.211,34.1,0.0,0.0,120.5,36.3,40.0,34.8,0.0378,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.005,26.4,0.02,0.065,0.0277732,0.0239759,2019-01-01 07:00:00
981.94,3.81,-0.01999999999998181,0.925,0.105,25.0,-33.48,0.755,150.0,0.212,0.04,0.177,27.5,0.0,0.0,156.0,43.4,47.8,34.8,0.0372,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.004,26.9,0.025,0.054,0.034716500000000004,0.019918440000000003,2019-01-01 08:00:00
982.38,3.95,0.75,0.94,0.092,25.0,-25.503,513.142,172.6,0.212,0.04,0.153,25.0,30.1,2.7,188.0,50.3,55.3,70.5,0.0193,2.0,0.1,2.0,1.0,0.144,0.0,0.0,0.0,0.003,51.9,0.027,0.047,0.03749382,0.01733642,2019-01-01 09:00:00
982.81,4.09,1.5200000000000387,0.906,0.096,25.0,-17.531,513.535,195.1,0.212,0.04,0.179,39.6,71.0,6.6,134.8,42.9,47.2,43.5,0.0304,2.0,0.2,2.0,1.0,0.314,0.0,0.0,0.0,0.004,32.9,0.03,0.044,0.0416598,0.01622984,2019-01-01 10:00:00
983.25,4.23,2.3000000000000114,0.873,0.1,25.0,-9.55,513.919,217.8,0.104,0.04,0.208,71.1,81.0,7.7,99.0,36.8,40.6,34.8,0.0378,2.0,0.2,2.0,1.0,0.352,0.0,0.0,0.0,0.006,26.5,0.03,0.037,0.0416598,0.01364782,2019-01-01 11:00:00
984.29,4.42,2.0200000000000387,0.841,0.103,25.0,-15.316,513.842,220.1,0.104,0.04,0.237,155.0,79.7,7.4,76.9,32.3,35.6,34.8,0.0382,2.0,0.2,2.0,1.0,0.332,0.0,0.0,0.0,0.007,26.2,0.031,0.028,0.04304846,0.010328080000000002,2019-01-01 12:00:00
985.32,4.61,1.75,0.852,0.108,25.0,-21.074,513.764,222.6,0.104,0.04,0.238,107.5,20.9,1.9,80.3,32.2,35.4,34.8,0.0382,2.0,0.1,2.0,1.0,0.099,0.0,0.0,0.0,0.007,26.2,0.034,0.02,0.04721444,0.0073772,2019-01-01 13:00:00
986.36,4.81,1.4700000000000273,0.862,0.114,25.0,-26.833,1.689,225.0,0.098,0.04,0.242,87.2,20.9,1.9,81.9,31.7,34.9,34.8,0.0383,2.0,0.1,2.0,1.0,0.0,0.0,0.0,0.0,0.007,26.1,0.036,0.017,0.049991759999999996,0.006270620000000001,2019-01-01 14:00:00
987.86,5.28,1.8900000000000432,0.873,0.119,25.0,-26.355,513.995,275.8,0.098,0.04,0.248,76.8,20.9,1.9,82.0,31.0,34.1,34.8,0.0383,2.0,0.1,2.0,1.0,0.0,0.0,0.0,0.0,0.007,26.1,0.035,0.03,0.0486031,0.0110658,2019-01-01 15:00:00
989.37,5.79,2.3100000000000023,0.867,0.133,25.0,-25.883,2.305,326.5,0.098,0.04,0.285,106.9,20.9,1.9,67.3,27.0,29.7,34.8,0.0388,2.0,0.1,2.0,1.0,0.0,0.0,0.0,0.0,0.008,25.8,0.035,0.069,0.0486031,0.025451340000000003,2019-01-01 16:00:00
990.87,6.36,2.730000000000018,0.86,0.147,25.0,-25.403,2.614,377.2,0.136,0.04,0.323,147.3,20.9,1.9,56.8,23.7,26.1,34.8,0.0391,2.0,0.1,2.0,1.0,0.0,0.0,0.0,0.0,0.009,25.6,0.038,0.134,0.052769079999999996,0.049427240000000004,2019-01-01 17:00:00
993.08,7.11,1.6400000000000432,0.853,0.164,25.0,-26.809,3.087,466.4,0.136,0.04,0.364,199.7,20.9,1.9,48.9,21.1,23.2,34.8,0.0394,2.0,0.1,2.0,1.0,0.0,0.0,0.0,0.0,0.011,25.3,0.037,0.169,0.051380419999999996,0.062337340000000005,2019-01-01 18:00:00
995.29,7.96,0.5500000000000114,0.807,0.191,28.9,-28.21,3.56,555.6,0.136,0.04,0.414,265.9,20.9,1.9,42.0,18.5,20.4,34.8,0.0398,2.0,0.1,2.0,1.0,0.0,0.0,0.0,0.0,0.012,25.1,0.034,0.147,0.04721444,0.05422242,2019-01-01 19:00:00
997.5,8.9,-0.5399999999999636,0.748,0.234,46.1,-29.616,4.038,644.8,0.023,0.04,0.47,355.1,20.9,1.9,36.4,16.3,18.0,50.5,0.0282,2.0,0.1,2.0,1.0,0.0,0.0,0.0,0.0,0.012,35.5,0.032,0.121,0.044437120000000004,0.04463206,2019-01-01 20:00:00
999.1,9.25,-0.39999999999997726,0.674,0.281,71.7,-29.983,4.228,659.4,0.023,0.04,0.532,475.2,20.9,1.9,31.7,14.4,15.9,88.4,0.0165,2.0,0.1,2.0,1.0,0.0,0.0,0.0,0.0,0.01,60.7,0.021,0.107,0.02916186,0.03946802,2019-01-01 21:00:00
